FOLIO,ID_INC,MES,FECHA,DIA_SEM,HORA,MINUTOS,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,TIPO_VIAL2,NOM_VIAL2,TIPO_VIALP,NOM_VIALP,DESTACAMEN,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,DETENIDO,LESIONADO,T_VEH_SOS,DESCRIP,HORARIO,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,MEC_ROBO,MODALIDAD,TIPO_VEHIC,MARCA_AFEC,SUBMA_AFEC,CORP_ACUD,CIERRE_COR,OID,INCIDENTE,LONG,LAT
1013,30403,1,2019-01-01,2,16,27,1,COLONIA,LAS FLORES,1072,CALLE,LOS LAURELES,NA,",,,",CALLE,TULIPANES,CALLE,CAMELIAS,AVENIDA,DE LAS ORQUIDEAS,2,true,false,9,"H, PLAYERA NEGRA",ND,0,0,AUTOMOVIL,"SENTRA, GRIS",22,41,0,0,false,4,4,AUTOMOVIL,NISSAN,SENTRA,1,7,1,Robo de autopartes y cristalazo,-102.30408835,21.87486768
1541,30403,1,2019-01-02,3,0,17,1,FRACCIONAMIENTO,VILLAS DE NUESTRA SEÑORA DE LA ASUNCION (SECTOR GUADALUPE),402,AVENIDA,JOSE DE JESUS GONZALEZ GARCIA,NA,",,,",PRIVADA,RINCON DE GUADALUPE,CALLE,ELIAS DE LARA,CALLE,ELIAS DE LARA,5,false,false,9,ND,ND,0,0,N,N,15,"22,38",0,2000,false,4,3,AUTOMOVIL,PONTIAC,ND,1,1,2,Robo de autopartes y cristalazo,-102.25238383,21.92902673
1709,30403,1,2019-01-02,3,10,27,1,CONDOMINIO,OJOCALIENTE INEGI,740,AVENIDA,OJOCALIENTE,NA,",,,",CALLE,LOS CONOS,ANDADOR,NINGUNO,ANDADOR,NINGUNO,4,false,false,9,ND,ND,0,0,N,N,27,"27,24,11",0,0,false,4,3,CAMIONETA,ND,ND,1,6,3,Robo de autopartes y cristalazo,-102.25078296,21.87772876
1959,30403,1,2019-01-02,3,16,50,1,COLONIA,LAS FLORES,1072,CALLE,CAMELIAS,NA,",,,",CALLE,LAURELES,AVENIDA,DE LAS ORQUIDEAS,CALLE,TULIPANES,2,false,false,9,ND,ND,0,0,N,N,27,"22,3,26",0,7000,false,4,3,CAMIONETA,NISSAN,ND,1,1,4,Robo de autopartes y cristalazo,-102.30411839,21.87475167
3445,30403,1,2019-01-04,5,11,46,1,FRACCIONAMIENTO,VILLAS DE NUESTRA SEÑORA DE LA ASUNCION (SECTOR ALAMEDA),516,CALLE,RODRIGO RINCON GALLARDO,NA,",,,",CALLE,DOMINGO VELASCO,CALLE,MANUEL CHAVEZ,PRIVADA,PEDRO VITAL,5,false,false,9,ND,ND,0,0,N,N,27,41,0,0,false,4,4,CAMIONETA,ND,ND,1,1,5,Robo de autopartes y cristalazo,-102.26373494,21.93325594
3470,30403,1,2019-01-04,5,12,27,1,FRACCIONAMIENTO,SAN CAYETANO,1118,CALLE,SAN CLEMENTE,NA,",,,",CALLE,SAN COSME,CALLE,SAN JOSE,AVENIDA,UNIVERSIDAD,6,false,false,9,ND,ND,0,0,N,N,15,"12,26",0,7000,false,4,1,AUTOMOVIL,NISSAN,SENTRA,1,20,6,Robo de autopartes y cristalazo,-102.30861454,21.90070352
4160,30403,1,2019-01-05,6,1,59,1,BARRIO,EL ENCINO,1096,CALLE,SEMERIA,NA,"148,,,",AVENIDA,PASEO DE LA CRUZ,CALLE,SANTANA,CALLE,JOSEFA ORTIZ DE DOMINGUEZ,3,false,false,9,ND,ND,0,0,N,N,25,"38,24",0,0,false,4,3,AUTOMOVIL,CHEVROLET,CHEVY,1,28,7,Robo de autopartes y cristalazo,-102.29048345,21.87238443
5411,30403,1,2019-01-06,7,6,22,1,FRACCIONAMIENTO,OJO DE AGUA,1080,AVENIDA,AYUNTAMIENTO,NA,"315,,,",CALLE,NAYARIT,CALLE,PLAZA MICHOACAN,ANDADOR,FRANICSCO PEREZ RIOS,3,false,false,9,ND,ND,0,0,N,N,27,"22,23,24",0,8000,false,4,2,AUTOMOVIL,DODGE,ATOS,1,1,8,Robo de autopartes y cristalazo,-102.27944670,21.86473805
6973,30403,1,2019-01-07,1,21,23,1,FRACCIONAMIENTO,JARDINES DE LA CONCEPCION I,848,CALLE,CERRO DE LA BUFA,NA,"401,,,",PROLONGACION,GENERAL IGNACIO ZARAGOZA,CALLE,VALLE DE GUADALUPE,CALLE,CERRO DEL LAUREL,6,false,false,9,ND,ND,0,0,N,N,23,"6,26,27,3",0,50000,false,4,1,AUTOMOVIL,CHEVROLET,SONIC,1,1,9,Robo de autopartes y cristalazo,-102.30635531,21.92382445
7222,30403,1,2019-01-08,2,4,32,1,BARRIO,EL ENCINO,1096,CALLE,FORTUNA,NA,",,,",CALLE,JOSEFA ORTIZ DE DOMINGUEZ,CALLE,ALEGRIA,CALLE,ALEGRIA,1,false,false,9,ND,ND,0,0,N,N,26,41,0,0,false,4,4,AUTOMOVIL,ND,ND,1,28,10,Robo de autopartes y cristalazo,-102.28930201,21.87432905
