FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,HORA,MINUTOS,HORARIO,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,SEX_AGRE,SEX_AFECT,CAT_SOS,TRASL_HOSP,FALLECIDOS,DETENIDO,DET_SPM,LESIONADO,T_VEH_SOS,DESCRIP,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,MEC_ROBO,MODALIDAD,TIPO_VEHIC,MARCA_AFEC,SUBMA_AFEC,CORP_ACUD,CIERRE_COR,LON,CASIOPEA,OID,LONG,LAT
231672274,30307,AUTOPARTES,12,2023-12-16,50,6,20,19,23,1,COLONIA,COL SAN MARCOS,145,AVENIDA,DE LA CONVENCION DE 1914 PONIENTE,0,NA,",,,",CALLE,PUEBLITO,6,true,false,9,2 HOMBRES,ND,H,H,8,false,0,0,ND,0,AUTOMOVIL,BORA DE COLOR AZUL,39,0,0,false,1,2,AUTOMOVIL,ND,ND,1,13,-102.31240000,0,1,-102.31248468,21.87841735
231694576,50107,AUTOPARTES,12,2023-12-21,51,4,12,23,21,1,FRACCIONAMIENTO,LOMA DE LOS NEGRITOS,389R,CARRETERA,71,0,NA,",,,",CALLE,ND,2,false,false,9,1 HOMBRE,ND,ND,H,8,false,0,1,ND,0,N,N,37,0,0,false,5,2,AUTOMOVIL,ND,ND,1,4,-102.34400000,0,2,-102.34401989,21.87063699
231697733,30307,AUTOPARTES,12,2023-12-22,51,5,0,21,1,1,FRACCIONAMIENTO,LOMAS DE SAN JOSE DE LOS POCITOS,642,AVENIDA,EUGENIO GARZA SADA,0,NA,",,,",CALLE,SANTA MONICA,6,false,false,9,ND,ND,ND,A,8,false,0,0,ND,0,N,N,37,0,0,false,5,2,AUTOMOVIL,ND,ND,1,13,-102.33830000,0,3,-102.33830000,21.92700000
231705960,50107,AUTOPARTES,12,2023-12-23,51,6,17,30,22,1,FRACCIONAMIENTO,MORELOS I,598,AVENIDA,AGUASCALIENTES SUR,0,NA,",,,",CALLE,HERMANOS GALEANA,5,true,false,9,1 HOMBRE,AUTOLAVADO,H,H,7,false,0,0,ND,0,N,N,28,500,0,false,3,1,AUTOMOVIL,HONDA,CIVIC,1,1,-102.26530000,0,4,-102.26536262,21.85967384
231721074,30904,AUTOPARTES,12,2023-12-26,52,2,3,31,21,1,COLONIA,MARTINEZ DOMINGUEZ,514,CALLE,RAFAEL OROPEZA MARISCAL,0,NA,"208,,,",CALLE,SARGENTO IGNACIO ADAME,2,false,false,9,2 HOMBRES,ND,H,M,8,false,0,0,ND,0,N,N,39,0,0,false,1,2,AUTOMOVIL,ND,ND,1,6,-102.29790000,0,5,-102.29795106,21.85477276
231725158,30904,AUTOPARTES,12,2023-12-27,52,3,3,12,21,3,BARRIO,CHICAGO,794,CALLE,GUANAJUATO,0,NA,",,,",CALLE,20 DE NOVIEMBRE,7,false,false,9,1 HOMBRE,ND,H,A,8,false,0,0,ND,0,N,N,39,0,0,false,1,5,AUTOMOVIL,ND,ND,1,2,-102.72230000,0,6,-102.72232219,21.84319636
231727237,30904,AUTOPARTES,12,2023-12-27,52,3,17,21,23,5,COLONIA,AYUNTAMIENTO,1049,CALLE,LAZARO CARDENAS,0,NA,",,,",CALLE,CENTENARIO,7,false,false,9,3 HOMBRES,ND,H,H,8,false,0,0,ND,0,N,N,22,0,0,false,4,2,AUTOMOVIL,ND,ND,1,1,-102.34910000,0,7,-102.34910588,21.96298313
231728377,50305,AUTOPARTES,12,2023-12-27,52,3,21,33,24,1,FRACCIONAMIENTO,INFONAVIT MORELOS,93,AVENIDA,AGUASCALIENTES SUR,0,NA,",,,",CALLE,CHICHENITZA,5,false,false,9,ND,ND,ND,H,8,false,0,0,ND,0,N,N,39,0,0,false,4,5,AUTOMOVIL,ND,ND,1,6,-102.25410000,0,8,-102.25413433,21.86117009
231735977,30446,AUTOPARTES,12,2023-12-29,52,5,16,52,22,1,FRACCIONAMIENTO,JOSE LOPEZ PORTILLO,175,CALLE,CORONEL JOSE FERRERO,0,NA,",,,",CALLE,JOSE MARIA BOCANEGRA,2,true,false,9,1 HOMBRE,ND,H,H,8,false,0,0,ND,0,N,N,3,0,6000,false,3,1,CAMIONETA,ND,ND,1,1,-102.32420000,0,9,-102.32428852,21.85406976
231737217,30904,AUTOPARTES,12,2023-12-29,52,5,21,5,24,1,UNIDAD HABITACIONAL,LOS VOLCANES,324,CALLE,IZTACCIHUALT,0,NA,",,,",CALLE,AURORA,5,true,false,9,1 HOMBRE,ND,H,H,8,false,0,0,ND,0,N,N,39,0,0,false,4,2,CAMIONETA,DODGE,CARAVAN,1,13,-102.26820000,0,10,-102.26826380,21.87566217
231738062,30904,AUTOPARTES,12,2023-12-30,52,6,0,32,25,1,FRACCIONAMIENTO,JESUS TERAN PEREDO,249,AVENIDA,DE LAS PALMAS,0,NA,",,,",CALLE,CUAUHTEMOC,5,false,false,9,1 HOMBRE,ND,H,H,8,false,0,0,ND,0,N,N,39,0,0,false,1,5,AUTOMOVIL,ND,ND,1,13,-102.27240000,0,11,-102.27246282,21.87134297
231707668,30904,AUTOPARTES,12,2023-12-23,51,6,22,37,24,1,FRACCIONAMIENTO,LINDAVISTA,258,CALLE,MUGUEL CALDERA,0,NA,"101,,,",CALLE,HERNAN GONZALEZ,2,false,false,9,1 HOMBRE,ND,H,H,8,false,0,0,ND,0,N,N,46,0,0,false,2,2,AUTOMOVIL,ND,ND,1,13,-102.32020000,0,12,-102.32020527,21.83429694
231736801,30411,AUTOPARTES,12,2023-12-29,52,5,19,45,23,1,FRACCIONAMIENTO,RANCHO SANTA MONICA,384,AVENIDA,SIGLO XXI,0,NA,",,,",AVENIDA,DE LOS MAESTROS,2,false,false,9,ND,ND,ND,M,8,false,0,0,ND,0,N,N,"6,13",0,1500,false,1,1,AUTOMOVIL,VOLKSWAGEN,GOLF,1,1,-102.32390000,0,13,-102.32391618,21.83759570
231742462,30411,AUTOPARTES,12,2023-12-31,52,6,0,21,3,5,FRACCIONAMIENTO,LA TOMATINA,1078,TERRACERIA,A LA TOMATINA,0,NA,",,,",CALLE,SIN NOMBRE,7,false,false,9,ND,ND,ND,M,8,false,0,0,ND,0,N,N,"22,23,31,12,38,28,27",10000,16000,false,1,1,AUTOMOVIL,ND,ND,1,2,-102.72380000,0,14,-102.72382348,21.84051364
231742947,30403,AUTOPARTES,12,2023-12-31,52,6,1,57,25,3,FRACCIONAMIENTO,EMILIANO ZAPATA,795,CARRETERA,AGUASCALIENTES A JALPA,0,NA,",,,",PROLONGACION,ALAMEDA,7,false,false,9,ND,ND,ND,H,8,false,0,0,ND,0,N,N,22,0,0,false,4,2,AUTOMOVIL,ND,ND,1,13,-102.72370000,0,15,-102.72372386,21.83929335
231743210,30411,AUTOPARTES,12,2023-12-31,52,6,3,29,26,1,FRACCIONAMIENTO,SAN ANGEL II,422,CIRCUITO,SANTA MARIA,0,NA,"158,,,",CALLE,PALMA ALEJANDRA,5,true,false,9,1 HOMBRE,ND,ND,H,8,false,0,0,ND,0,N,N,"24,27,38",0,0,false,1,3,AUTOMOVIL,ND,ND,1,1,-102.23860000,0,16,-102.23866142,21.86432327
231743409,30411,AUTOPARTES,12,2023-12-31,52,6,4,33,26,1,FRACCIONAMIENTO,VILLA LOMA DORADA,75,CALLE,VILLA CORONA,0,NA,"308,,,",CALLE,VILLA SERRANA,3,false,false,9,ND,ND,ND,H,8,false,0,0,ND,0,N,N,24,0,1600,false,1,2,AUTOMOVIL,ND,ND,1,1,-102.24770000,0,17,-102.24777073,21.92510242
231745169,30403,AUTOPARTES,12,2023-12-31,52,6,16,8,22,1,FRACCIONAMIENTO,CUMBRES III,674,CALLE,15 NORTE,0,NA,",,,",CALLE,34 ORIENTE,2,false,false,9,ND,ND,ND,H,8,false,0,0,ND,0,N,N,41,0,0,false,4,4,CAMIONETA,CHEVROLET,TORNADO,1,1,-102.23100000,0,18,-102.23109300,21.92623419
231745776,30411,AUTOPARTES,12,2023-12-31,52,6,18,21,23,1,FRACCIONAMIENTO,MORELOS II,188,AVENIDA,MARIANO HIDALGO,0,NA,",,,",CALLE,JOSE GONZALEZ CARRILLO,5,false,false,9,ND,ND,ND,M,8,false,0,0,ND,0,N,N,"22,6",0,0,false,3,3,CAMIONETA,CHEVROLET,BLAZER,1,1,-102.25580000,0,19,-102.25585828,21.85123531
231747623,30411,AUTOPARTES,12,2023-12-31,52,6,23,28,24,1,FRACCIONAMIENTO,MORELOS I,598,CALLE,ARTILLERO MIER,0,NA,"345,,,",AVENIDA,MARIANO HIDALGO,5,false,false,9,ND,ND,ND,M,8,false,0,0,ND,0,N,N,"24,22",0,0,false,1,2,AUTOMOVIL,VOLKSWAGEN,JETTA,1,2,-102.25750000,0,20,-102.25757375,21.85641863
231722278,30403,AUTOPARTES,12,2023-12-26,52,2,13,7,21,1,COLONIA,LA CRUZ,182,AVENIDA,GENERAL MARIANO HIDALGO,0,NA,",,,",CALLE,BAHIA DE KINO,5,false,false,9,ND,ND,ND,H,8,false,0,0,ND,0,N,N,"26,28,27",50,0,false,4,1,AUTOMOVIL,ND,ND,1,1,-102.27510000,0,21,-102.27512547,21.86390772
231727483,30411,AUTOPARTES,12,2023-12-27,52,3,18,24,23,5,COLONIA,CENTRO,938,CALLE,MARIANO MATAMOROS,0,NA,",,,",CALLE,SAN MIGUEL,7,false,false,9,1 HOMBRE,EL PELON,H,A,8,false,0,0,ND,0,N,N,"24,22",0,4000,false,1,2,AUTOMOVIL,TOYOTA,CAMBRI,1,1,-102.34320000,0,22,-102.34322376,21.96241781
231636353,30904,AUTOPARTES,12,2023-12-09,49,6,8,57,19,5,LOCALIDAD,EL LLANO,1068,PROLONGACION,GENERAL IGNACIO ZARAGOZA,0,NA,",,,",CALLE,MIGUEL ALEMAN,7,false,false,9,ND,ND,ND,H,8,false,0,0,ND,0,N,N,6,0,0,false,1,2,CAMIONETA,GMC,SIERRA,1,1,-102.30850000,0,23,-102.30855295,21.93779177
231636123,30101,AUTOPARTES,12,2023-12-09,49,6,6,20,19,1,NO APLICA,DESARROLLO ESPECIAL BULEVAR A ZACATECAS,609,AVENIDA,AGUASCALIENTES NORTE,0,NA,",,,",BOULEVARD,A ZACATECAS,3,false,false,9,ND,ND,ND,H,8,false,0,0,ND,0,N,N,37,0,0,false,5,2,AUTOMOVIL,RENAULT,SANDERO,1,13,-102.29080000,0,24,-102.29080013,21.91632654
231644587,30904,AUTOPARTES,12,2023-12-10,50,7,20,24,23,1,FRACCIONAMIENTO,LAS AMERICAS,262,CALLE,REPUBLICA DE ARGENTINA,0,NA,"609,,,",CALLE,REPUBLICA DE GUATEMALA,2,true,false,9,4 HOMBRES,H,ND,M,8,false,0,0,ND,0,AUTOMOVIL,"NISSAN. MARCH DE COLOR AZUL, PLACAS: AEZ117C",39,0,0,false,1,5,AUTOMOVIL,MAZDA,ND,1,6,-102.29720000,0,25,-102.29724613,21.86529092
231647235,30446,AUTOPARTES,12,2023-12-11,50,1,10,51,20,1,FRACCIONAMIENTO,LAS AMERICAS,262,CALLE,REPUBLICA DE ARGENTINA,0,NA,"407,,,",CALLE,REPUBLICA DE PANAMA,2,false,false,9,ND,ND,ND,M,8,false,0,0,ND,0,N,N,"25,46",0,0,false,2,2,CAMIONETA,GMC,YUKON,1,1,-102.29690000,0,26,-102.29695814,21.86690562
231655420,30904,AUTOPARTES,12,2023-12-13,50,3,4,12,26,1,FRACCIONAMIENTO,OJOCALIENTE III,191,CALLE,EL SALERO,0,NA,",,,",CALLE,OCOTE,4,true,false,9,1 HOMBRE,ND,H,A,8,false,0,0,ND,0,N,N,39,0,0,false,1,5,CAMIONETA,ND,ND,1,13,-102.24670000,5420,27,-102.24673147,21.87782044
231658430,30307,AUTOPARTES,12,2023-12-13,50,3,20,25,23,1,BARRIO,EL ENCINO,517,CALLE,ABASOLO,0,NA,"16,,,",CALLE,CRISTOBAL COLON,1,true,false,9,1  HOMBRE,ND,ND,A,8,false,0,0,ND,0,N,N,"22,23",0,0,false,1,2,AUTOMOVIL,ND,ND,1,13,-102.29280000,0,28,-102.29287253,21.87448826
231662630,30404,AUTOPARTES,12,2023-12-14,50,4,21,28,24,5,FRACCIONAMIENTO,JARDINES DE CAMPO REAL,932,AVENIDA,INDEPENDENCIA,0,NA,",,,",CALLE,MOLUCA,7,false,false,9,ND,ND,ND,M,8,false,0,0,ND,0,N,N,"26,12",0,0,false,1,2,AUTOMOVIL,VOLKSWAGEN,JETTA,1,1,-102.29450000,0,29,-102.29452009,21.96160953
231662935,30446,AUTOPARTES,12,2023-12-14,50,4,22,43,24,5,COLONIA,EL TORITO,1071,AVENIDA,ALEJANDRO DE LA CRUZ SAUCEDO,0,NA,",,,",CALLE,15 DE SEPTIEMBRE,7,false,false,9,21 HOMBRE,EL MAL HECHO,H,M,1,false,0,0,ND,0,N,N,3,0,4500,false,1,2,CAMIONETA,ND,ND,1,1,-102.35380000,0,30,-102.35382220,21.96924691
