FOLIO,FOLIO_REL,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,ID_ASEN,ID_COL,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,RANGO,HORARIO,PROCESO,VIOLENCIA,ARMA_US,ARMA,PER_SOSP,ALIAS,SEX_AGRE,SEX_AFEC,CAT_SOS,DETENIDO,DET_SPM,MOT_DET,LESION_AFE,LESION_PR,TRASL_HOSP,FALLECIDOS,T_VEH_SOS,DESCRIP,OBJ_ROBADO,HECHOS,CANTIDAD,MONTO,RECUP_ART,MEC_ROBO,MODALIDAD,TIPO_VEHIC,MARCA_AFEC,SUBMA_AFEC,CORP_ACUD,CIERRE_COR,DEN_CASIO,OID,LONG,LAT
252364454,0,30904,AUTOPARTES,12,2025-12-06,49,6,5,COLONIA,LA ESCALERA,1064,1064,CALLE,FELIPE GAYTAN,0,NA,",,,",CALLE,VISTA ALEGRE,7,4,1,26,03:00-05:59,true,false,9,Ninguna,2 HOMBRES,ND,ND,M,8,0,ND,ND,0,0,false,0,AUTOMOVIL,VOLKSWAGEN JETTA DE COLOR AZUL MARIANO,39,sin datos,0.00000,0.000000,false,4,1,AUTOMOVIL,NISSAN,VERSA,1,1,0,1,-102.34828688,21.97034022
252394086,0,30411,AUTOPARTES,12,2025-12-10,50,3,1,FRACCIONAMIENTO,LOMAS DEL CAMPESTRE II,131,131,CALLE,POTREROS,0,NA,"100,,,",CALLE,GRANEROS,6,0,0,4,19:00-23:59,false,false,9,Ninguna,ND,ND,ND,M,8,0,ND,ND,0,0,false,0,N,N,"31,2,27","mochila, computo, documentacion",0.00000,0.000000,false,4,1,AUTOMOVIL,NISSAN,MARCH,1,6,0,2,-102.31809084,21.92651420
252394446,0,30403,AUTOPARTES,12,2025-12-10,50,3,1,FRACCIONAMIENTO,MISION DEL CAMPANARIO,651,651,CALLE,MISION DE SANTA CRUZ,0,NA,"108,,,",CALLE,CALZADA DE LA MISION,6,0,0,24,21:30-23:59,false,false,9,Ninguna,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,"31,38","mochila, otros",0.00000,0.000000,false,4,1,AUTOMOVIL,VOLKSWAGEN,CROSSFOX,1,6,0,3,-102.32046259,21.93305936
252392200,0,30411,AUTOPARTES,12,2025-12-10,50,3,1,FRACCIONAMIENTO,"VILLA DE NUESTRA SEÑORA DE LA ASUNCION, SECTOR GUADALUPE",342,342,CALLE,JOSE FEMAT GUTIERREZ,0,NA,",,,",CALLE,ROGELIO GALINDO DE LA TORRE,3,0,0,27,sin datos,false,false,9,Ninguna,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,24,bateria,0.00000,0.000000,false,1,2,CAMIONETA,TOYOTA,ND,1,2,0,4,-102.25749048,21.92812835
252392822,0,30403,AUTOPARTES,12,2025-12-10,50,3,1,FRACCIONAMIENTO,JARDINES DE LA ASUNCION,516,516,CALLE,JOSE MARIA CHAVEZ,0,NA,",,,",CALLE,JUAN TOSALA,5,0,0,22,15:30_18:59,false,false,9,Ninguna,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,24,bateria,0.00000,0.000000,false,1,2,AUTOMOVIL,NISSAN,TSURU,1,1,0,5,-102.29283255,21.85859458
252389942,0,30411,AUTOPARTES,12,2025-12-10,50,3,1,ZONA,ZONA CENTRO,501,501,CALLE,XOCHITL,0,NA,"124,,,",CALLE,INDEPENDENCIA DE MEXICO,1,0,0,27,sin datos,false,false,9,Ninguna,ND,ND,ND,M,8,0,ND,ND,0,0,false,0,N,N,"31,12","mochila, ropa",0.00000,30000.000000,false,1,1,AUTOMOVIL,RENAULT,KWID,1,1,0,6,-102.29081100,21.88991700
252389516,0,30411,AUTOPARTES,12,2025-12-10,50,3,1,FRACCIONAMIENTO,OJOCALIENTE III,191,191,AVENIDA,SIGLO XXI,0,NA,",,,",AVENIDA,SAN GABRIEL,4,0,33,25,00:00-02:59,false,false,9,Ninguna,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,"11,46","herramienta, accesorios",0.00000,0.000000,false,4,1,CAMIONETA,CHEVROLET,SILVERADO,1,2,0,7,-102.24634775,21.87400044
252319674,0,30904,AUTOPARTES,11,2025-11-29,48,6,2,COMUNIDAD,PILOTOS,747,747,CALLE,FRANCISCO VILLA,0,NA,"18,,,",CALLE,5 DE MAYO,7,0,0,1,dias solo,false,false,9,Ninguna,ND,ND,ND,M,8,0,ND,ND,0,0,false,0,N,N,3,celular,0.00000,0.000000,false,4,1,CAMIONETA,ND,ND,1,13,0,8,-101.95859636,22.03780406
252333489,0,30411,AUTOPARTES,12,2025-12-01,49,1,1,FRACCIONAMIENTO,VILLAS DE SAN NICOLAS,511,511,AVENIDA,INDEPENDENCIA,0,NA,"1892,B,,,",CALLE,POTREROS,6,0,0,1,dias solo,false,false,9,Ninguna,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,24,bareria,0.00000,0.000000,false,1,2,CAMIONETA,NISSAN,FRONTIER,1,1,0,9,-102.29825895,21.92694218
252334231,0,30403,AUTOPARTES,12,2025-12-01,49,1,1,COLONIA,TROJES DE ALONSO,508,508,AVENIDA,INDEPENDENCIA,0,NA,",,,",CALLE,NIÑOS HEROES,6,0,0,5,00:00-05:59,false,false,9,Ninguna,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,24,bateria,0.00000,0.000000,false,4,2,AUTOMOVIL,TOYOTA,TACOMA,1,1,0,10,-102.29691434,21.93753257
