FOLIO,FOLIO_REL,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,ID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,RANGO,HORARIO,PROCESO,VIOLENCIA,ARMA_US,PER_SOSP,ALIAS,SEX_AGRE,SEX_AFEC,CAT_SOS,DETENIDO,DET_SPM,MOT_DET,LESION_AFE,LESION_PR,TRASL_HOSP,FALLECIDOS,T_VEH_SOS,DESCRIP,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,MEC_ROBO,MODALIDAD,TIPO_VEHIC,MARCA_AFEC,SUBMA_AFEC,CORP_ACUD,CIERRE_COR,DEN_CASIO,OID,LONG,LAT
260004789,0,30411,AUTOPARTES,1,2026-01-01,1,4,1,FRACCIONAMIENTO,JOSE GUADALUPE PERALTA GAMEZ,334,CALLE,URBANISMO,NA,NA,"90,,,",CALLE,CATEDRATICOS,4,0,0,27,sin datos,false,false,9,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,11,0.00000,0.000000,false,1,1,CAMIONETA,NISSAN,ND,1,13,0,1,-102.24022373,21.87281939
260010860,0,30403,AUTOPARTES,1,2026-01-02,1,5,1,FRACCIONAMIENTO,PIRAMIDES,626,AVENIDA,MONTEALBAN,NA,NA,",,,",AVENIDA,HEROE DE NACOZARI,5,0,0,16,19:00-05:59,false,false,9,ND,ND,ND,M,8,0,ND,ND,0,0,false,0,N,N,"12,15,28,38",0.00000,100000.000000,false,4,1,CAMIONETA,KIA,K3,1,1,0,2,-102.28222331,21.85603297
260019836,0,30411,AUTOPARTES,1,2026-01-03,1,6,1,BARRIO,EL ENCINO,517,CALLE,VICENTA TRUJILLO,NA,NA,",,,",CALLE,CRISTOBAL COLON,1,0,0,10,06:00-18:59,false,false,9,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,"22,24",0.00000,0.000000,false,1,2,AUTOMOVIL,CHEVROLET,CHEVY,1,6,0,3,-102.29398953,21.87598230
260017176,0,30403,AUTOPARTES,1,2026-01-03,1,6,1,FRACCIONAMIENTO,VILLA DE LAS FUENTES,385,CALLE,CULTURA PIMANA,NA,307,",86,,",AVENIDA,LOMA DEL CARDENAL,3,0,0,27,sin datos,false,false,9,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,12,0.00000,0.000000,false,1,2,AUTOMOVIL,CHEVROLET,CHEVY,1,1,0,4,-102.23477825,21.91264493
260025838,0,30411,AUTOPARTES,1,2026-01-04,1,7,1,BARRIO,EL ENCINO,517,CALLE,HEROES DE CHAPULTEPEC,NA,NA,",,,",CALLE,CRISTOBAL DE COLON,1,0,0,27,sin datos,false,false,9,ND,ND,ND,M,8,0,ND,ND,0,0,false,0,N,N,"22,23",0.00000,15000.000000,false,1,2,AUTOMOVIL,GMC,SONOMA,1,1,0,5,-102.29462119,21.87817056
260024588,0,30403,AUTOPARTES,1,2026-01-04,1,7,1,FRACCIONAMIENTO,PILAR BLANCO,142,BULEVARD,AGUILA,NA,NA,",,,",ANDADOR,BUITRE,2,0,0,27,sin datos,false,false,9,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,12,0.00000,0.000000,false,2,1,AUTOMOVIL,VOLKSWAGEN,JETTA,1,1,0,6,-102.30066182,21.84973839
260023535,0,30403,AUTOPARTES,1,2026-01-04,1,7,1,CONJUNTO HABITACIONAL,VILLA TAURINA,390,CALLE,MARIANO SALAS 130,NA,NA,",16,,",CALLE,MARIANO SALAS,5,0,39,25,00:00-02:59,true,false,9,1 HOMBRE,ND,H,H,8,0,ND,ND,0,0,false,0,N,N,39,0.00000,0.000000,false,4,5,AUTOMOVIL,RENAULT,KWID,1,1,0,7,-102.24830228,21.85952221
260028200,0,30411,AUTOPARTES,1,2026-01-04,1,7,1,FRACCIONAMIENTO,MORELOS I,598,AVENIDA,MARIANO HIDALGO,NA,NA,",,,",AVENIDA,SIGLO XXI,5,18,44,22,15:30-18:59,false,false,9,1 HOMBRE,ND,H,M,8,0,ND,ND,0,0,false,0,BICICLETA,BMX DE COLOR MORADO,"22,23,3,26",0.00000,0.000000,false,1,3,AUTOMOVIL,VOLKSWAGEN,JETTA,1,2,0,8,-102.25690706,21.85549642
260026332,0,30403,AUTOPARTES,1,2026-01-04,1,7,11,RURAL,VIÑEDOS RIVIER,1321,CALLE,CONCEPCION QUEZADA,NA,NA,",,,",CALLE,GUADALUPE,7,0,0,27,sin datos,false,false,9,3 HOMBRES,"EL HUEVO, EL CHUYITO, MACANES",ND,H,8,0,ND,ND,0,0,false,0,N,N,"2,22",0.00000,27000.000000,false,1,2,CAMIONETA,GMC,ND,1,1,0,9,-102.28523464,21.97776764
260032645,0,30411,AUTOPARTES,1,2026-01-05,2,1,1,FRACCIONAMIENTO,VISTA DEL SOL II,571,CALLE,CENIT,NA,NA,"421,,,",CALLE,PUESTA PICACHO,5,0,0,27,sin datos,false,false,9,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,54,0.00000,0.000000,false,2,2,CAMIONETA,DODGE,DURANGO,1,23,4956,10,-102.27197225,21.86297373
260031948,0,30411,AUTOPARTES,1,2026-01-05,2,1,1,FRACCIONAMIENTO,LOS BOSQUES,298,CALLE,SIERRA MADRE OCCIDENTAL,NA,NA,"133,,,",CALLE,MONTE EVEREST,6,0,0,27,sin datos,false,false,9,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,"26,3",0.00000,0.000000,false,1,1,AUTOMOVIL,ND,ND,1,1,0,11,-102.31339309,21.92101546
