FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,INGRESO,DESHABITAD,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,CAT_SOS,DETENIDO,MOT_DET,DET_SPM,LESIONADO,FALLECIDOS,TRASL_HOSP,T_VEH_SOS,DESCRIP,REROBADO,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,LON,OID,LONG,LAT
220000078,30414,ROBO A CASA,1,2022-01-01,52,6,1,FRACCIONAMIENTO,MUNICIPIO LIBRE,223,CALLE,PASTORES,NA,NA,"242,,,",CALLE,PESCADORES,4,0,5,25,9,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,1,0,0,false,1,20,-102.26240000,1,-102.26247038,21.89557290
220001511,30414,ROBO A CASA,1,2022-01-01,52,6,7,FRACCIONAMIENTO,EL POTRERO,1200,CALLE,POTRERO DEL REY,NA,NA,"331,,,",CALLE,20 DE NOVIEMBRE,7,0,0,15,5,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,SI1,"2,28",36000,37500,false,1,1,-102.30940000,2,-102.30942079,22.22424539
220002413,30414,ROBO A CASA,1,2022-01-01,52,8,2,COMUNIDAD,EL EPAZOTE,715,CALLE,GOMEZ VILLANUEVA,NA,NA,",,,",CALLE,2 AMIGOS,7,0,0,27,8,DESHABITADA,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,"8,11,14",0,3000,false,1,1,-101.86960000,3,-101.86960739,22.04457529
220003544,30414,ROBO A CASA,1,2022-01-01,52,8,1,FRACCIONAMIENTO,OJOCALIENTE I,190,CALLE,PALO ALTO,NA,NA,"419,,,",AVENIDA,OJOCALIENTE,4,0,0,1,3,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,"1,11",0,0,false,1,1,-102.25510000,4,-102.25517788,21.88538769
220004180,30414,ROBO A CASA,1,2022-01-01,52,6,1,FRACCIONAMIENTO,JARDINES DE AGUASCALIENTES,255,CALLE,PASEO DE LA ASUNCION NORTE,NA,NA,"315,,,",CALLE,JARDIN DE SAN MARCOS,5,0,0,18,5,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,"2,6,12,15",0,40000,false,1,1,-102.28630000,5,-102.28634939,21.86358998
220005128,30414,ROBO A CASA,1,2022-01-01,52,6,9,COMUNIDAD,CARBONERAS,1255,CALLE,BENITO JUAREZ,17,NA,",,,",CALLE,SD,7,0,0,18,9,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,"5,11",0,5000,false,1,1,-102.24520000,6,-102.24523957,22.18060058
220005659,30414,ROBO A CASA,1,2022-01-01,52,8,1,FRACCIONAMIENTO,EL PUERTECITO,407,CALLE,PUERTO COATZACOALCOS,NA,NA,"215,,,",CALLE,PUERTO DE ENSENADA,3,0,0,27,9,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,"1,2",0,0,false,1,1,-102.24720000,7,-102.24727052,21.93749657
220002493,30414,ROBO A CASA,1,2022-01-01,52,6,1,FRACCIONAMIENTO,BENITO PALOMINO DENA,220,CALLE,JOSE MEDINA,NA,NA,"207,,,",CALLE,GILBERTO LOPEZ VELARDE,3,0,0,20,9,NO,false,false,9,2 HOMBRES 2 MUJERES,ND,8,0,N,N,0,0,false,REMOLQUE,N,NO,39,0,0,false,1,1,-102.25220000,8,-102.25228325,21.91547328
220010402,30414,ROBO A CASA,1,2022-01-02,52,7,1,CONJUNTO HABITACIONAL,VILLA TAURINA,390,CALLE,FERMIN ESPINOZA ARMILLITA,NA,120,",,,B",CALLE,MARIANO SALAS,5,23,16,24,4,NO,false,false,9,ND,ND,8,0,N,N,0,0,false,N,N,NO,39,0,0,false,1,6,-102.24810000,9,-102.24812398,21.86094547
220011557,30414,ROBO A CASA,1,2022-01-03,1,1,11,FRACCIONAMIENTO,LA RIBERA,1340,CALLE,SAN ANTONIO TLAYAPAN,NA,NA,"211,,,",AVENIDA,RIVERA DE CHAPALA,7,9,25,20,9,DESHABITADA,true,false,9,ND,ND,8,1,POSESION DROGA,N,0,0,false,N,N,NO,10,0,0,false,1,4,-102.25090000,10,-102.25092848,21.95271693
