FOLIO,MES,FECHA,DIA_SEM,MUNICIPIO,LOCALIDAD,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,ED_INC,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1_INC,VIAL_2_INC,VIAL_P_INC,DESTACAMEN,HORA,MINUTOS,H_DIAS_S,H_MR_0_6,H_M_6_12,H_T_12_19,H_N_19_24,H_MR_MA,H_MR_TAR,H_MR_NO,H_MAN_TAR,H_MAN_NOC,H_MAN_MR,H_TAR_MR,H_TAR_MA,H_TAR_NOC,H_NOC_MR,H_NOC_MA,H_NOC_TA,H_DIA_SOLA,H_MED_MA_A,H_MED_MA_B,H_MED_TA_A,H_MED_TA_B,H_MED_NO_A,H_MED_NO_B,H_MED_MR_A,H_MED_MR_B,SIN_DAT,EN_PROCESO,C_VIOLENC,TIPO_ARMA,DETENIDO,SOSPECHOSO,RECUPERADO,I_AZOTEA,I_DOMO,I_PAR_TRAS,I_PAR_DELA,I_VENTANA,I_BOQUETE,SIN_INF,DINERO,CANTIDAD,PANTALLA,COMPUTO,CELULAR,DVD_BLU,EST_TEA_BO,TECNOLOG,SE_TV_PAGA,ELECTRODOM,MOBILIARIO,ACABADOS,HERRAM,ROPA,JUGUETERIA,BICI_TRIC,JOYERIA,UTENS_COC,CAJAFUERTE,ACC_VEHIC,TANQUE_GAS,MAT_CONSTR,MASCOTAS,VEHICULO,OTROS,SIN_DATOS,MONTO_APRO,OID,FERIA,INCIDENTE,LONG,LAT
15,ENERO,2017-01-01,DOMINGO,SAN FRANCISCO DE LOS ROMO,RURAL,FRACCIONAMIENTO,URBIVILLA DEL VERGEL,348P,AMPLIACION,SAN DONATO,0,214,NULO,0,NULO,SAN JERONIMO,CALZADA SANTA FE,SAN DIEGO,SAN FRANCISCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,Robo a casa habitación,-102.27724876,22.02950958
391,ENERO,2017-01-01,DOMINGO,AGUASCALIENTES,URBANA,COLONIA,SAN PABLO,921,CALLE,MARINA NACIONAL,0,410,NULO,4,NULO,MARINA NACIONAL,RIO PAPALOAPAN,LIBERTAD,POCITOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,,Robo a casa habitación,-102.29852334,21.89318354
444,ENERO,2017-01-01,DOMINGO,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOMAS DEL CHAPULIN,594,CALLE,ACANTO,0,144,NULO,0,NULO,GUAYACAN,ARROYO,ZACATECO,MORELOS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,,Robo a casa habitación,-102.24615407,21.86201666
610,ENERO,2017-01-01,DOMINGO,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VISTAS DEL SOL I,771,CALLE,CREPUSCULO,0,144,NULO,0,NULO,PUESTA PICACHO,30 DE SEPTIEMBRE,AURORA BOREAL,MORELOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,0,1,0,0,1,8000,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27600,4,,Robo a casa habitación,-102.27192945,21.86119411
666,ENERO,2017-01-01,DOMINGO,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,PROGRESO,450,CALLE,GENERAL PASCUAL CORNEJO BRUN,0,608,NULO,0,NULO,GUADALUPE RIBERA,JUAN DOMINGUEZ,GENERAL LAZARO CARDENAS,TERAN NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,1,0,0,0,1,2000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2000,5,,Robo a casa habitación,-102.26489744,21.90541119
813,ENERO,2017-01-01,DOMINGO,JESUS MARIA,RURAL,FRACCIONAMIENTO,RUISEÑORES,338P,CALLE,SIN NOMBRE,0,113,A,0,NULO,RUISEÑORES,NINGUNO,HALCON,JESUS MARIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15000,6,,Robo a casa habitación,-102.32946432,21.96601833
842,ENERO,2017-01-01,DOMINGO,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,PILAR BLANCO,981,ANDADOR,CODORNIZ,2MI,0,NULO,14,NULO,CANARIO,PASEO DE LA ASUNCION,GORRION,INSURGENTES,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2500,7,,Robo a casa habitación,-102.30038715,21.85078240
907,ENERO,2017-01-01,DOMINGO,AGUASCALIENTES,URBANA,CONDOMINIO,OJOCALIENTE II,740,AVENIDA,OJOCALIENTE,0,1421,NULO,0,NULO,EL MOCHO,COPETILLO,LA GUAYANA,TERAN SUR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,,Robo a casa habitación,-102.24864105,21.87562157
946,ENERO,2017-01-01,DOMINGO,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LAS BRISAS,677,CALLE,MAR DEL NORTE,0,220,NULO,0,NULO,MAR MEDITERRANEO,JOSE MARIA ELIZALDE,MAR CANTABRICO,POCITOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,1,0,0,0,1,30000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30000,9,,Robo a casa habitación,-102.31632767,21.89487434
1035,ENERO,2017-01-01,DOMINGO,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLAS DEL PUERTECITO,508R,CALLE,PUERTO DE BALBOA,0,122,A,0,NULO,RODRIGO RINCON GALLARDO,RODRIGO RINCON GALLARDO 701,RODRIGO RINCON GALLARDO 701,TERAN NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,,Robo a casa habitación,-102.26665742,21.93520436
