FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,ID_ASENT,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,PROCESO,VIOLENCIA,ARMA,CUENTA_HAB,NOM_SUCUR,SUC_CAJER,UBIC_SUCUR,FALLECIDOS,PER_SOSP,ALIAS,CAT_SOSP,DET_SPM,MOT_DET,DETENIDO,LESIONADO,TRASL_HOSP,GEN_AFE,CARR_S_N,T_VEH_SOSP,DESCRIP,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,ESPACIO,OID,LONG,LAT
220001741,30421,ROBO TRANSEUNTE,1,2022-01-01,52,6,1,COLONIA,ALTAVISTA,234,AVENIDA,FUNDICION,0,NA,",,,",AVENIDA,DE LA CONVENCION DE 1914 PONIENTE,6,5,27,0,false,true,3,NA,NA,0,NA,0,7 PERSONAS,N,,N,,0,1,false,,NO,N,N,"12,29",0,0,false,1,57,1,1,-102.31075438,21.89506460
220002427,30421,ROBO TRANSEUNTE,1,2022-01-01,52,6,1,FRACCIONAMIENTO,NATURA,371,CALLE,LUCIERNAGA,0,NA,",,,",CALLE,PERICO,3,9,1,0,false,true,3,NA,NA,0,NA,0,ND,N,,N,,0,1,true,,NO,N,N,"3,12",0,0,false,1,1,1,2,-102.25235772,21.93302591
220002494,30421,ROBO TRANSEUNTE,1,2022-01-01,52,6,1,COLONIA,DEL TRABAJO,246,AVENIDA,DE LA CONVENCION DE 1914 ORIENTE,0,NA,",,,",CALLE,57,4,27,0,0,false,true,8,NA,NA,0,NA,0,1 HOMBRE,N,,N,,0,0,false,,NO,COCHE,ND,40,0,0,false,1,1,1,3,-102.27299359,21.88707951
220002719,30422,ROBO TRANSEUNTE,1,2022-01-01,52,6,5,COLONIA,EL CHAVEÑO II,928,CALLE,BUGAMBILIA,0,NA,",,,",CALLE,NINGUNO,7,10,58,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE,ND,,N,,0,0,false,,NO,N,N,3,0,0,false,1,13,1,4,-102.36448952,21.96579465
220002819,30421,ROBO TRANSEUNTE,1,2022-01-01,52,6,1,FRACCIONAMIENTO,OJOCALIENTE III,191,CALLE,CAÑADA GRANDE,0,NA,",,,",CALLE,ESTACION CA-ÑADA,4,11,32,0,false,true,1,NA,NA,0,NA,0,1 HOMBRE,ALEJANDRO RODRIGUEZ DIAZ,,ALEJANDRO RODRIGUEZ DIAZ,ROBO TUMBADOR,1,0,false,,NO,N,N,3,0,4300,false,1,1,1,5,-102.24695318,21.88130677
220003303,30422,ROBO TRANSEUNTE,1,2022-01-01,52,6,1,FRACCIONAMIENTO,LOMAS DE VISTABELLA,339,CALLE,VISTA DE LA LOMA,0,NA,",,,",AVENIDA,AJEDRECISTAS,5,13,45,0,false,false,9,NA,NA,0,NA,0,2 HOMBRES,N,,N,,0,0,false,,NO,COCHE,UN COCHE COLOR ROJO Y OTRO COLOR BLANCO,"28,29",800,800,false,1,25,1,6,-102.25857754,21.84503676
220004055,30421,ROBO TRANSEUNTE,1,2022-01-01,52,6,5,COLONIA,EL TORITO,1071,CALLE,SOR JUANA INES DE LA CRUZ,0,NA,"100,,,",CALLE,CHUCATA,7,16,45,0,false,true,3,NA,NA,0,NA,0,2 HOMBRES,ND,,N,,0,1,false,,NO,N,N,13,0,1500,false,1,1,1,7,-102.35517585,21.96716725
220004582,30421,ROBO TRANSEUNTE,1,2022-01-01,52,6,1,FRACCIONAMIENTO,MUNICIPIO LIBRE,223,CALLE,VISTA HERMOSA,0,NA,"302,,,",CALLE,REINAS DE LA FERIA,4,18,37,0,true,true,3,NA,NA,0,NA,0,ND,N,,N,,0,0,false,,NO,N,N,"26,28",0,0,false,1,1,6,8,-102.25022432,21.89804698
220005572,30421,ROBO TRANSEUNTE,1,2022-01-01,52,6,1,COLONIA,DEL CARMEN,236,CALLE,BENJAMIN DE LA MORA,0,NA,",,,",CALLE,ALAMAN,1,21,49,0,false,true,3,NA,NA,0,NA,0,1 HOMBRE,N,,N,,0,0,false,,NO,N,N,3,0,0,false,1,2,1,9,-102.30468473,21.88829210
220006248,30421,ROBO TRANSEUNTE,1,2022-01-01,52,6,1,FRACCIONAMIENTO,HACIENDAS DE AGUASCALIENTES,530,CALLE,HACIENDA LA GUAYANA,0,NA,"254,,,",CALLE,HACIENDA REFUGIO DE AGUA ZARCA,4,23,36,0,false,true,"1,3",NA,NA,0,NA,0,ND,N,,N,,0,0,false,,NO,N,N,"3,29",0,0,false,1,1,1,10,-102.24771813,21.89343216
220007224,30421,ROBO TRANSEUNTE,1,2022-01-02,52,7,1,FRACCIONAMIENTO,"VILLA DE NUESTRA SEÑORA DE LA ASUNCION, SECTOR ESTACION",354,CALLE,ND,0,NA,",,,",N,N,3,5,2,0,false,true,3,NA,NA,0,NA,0,ND,N,0,N,,0,0,false,,NO,N,N,"3,28,29",400,400,false,1,1,1,11,-102.25977192,21.93626374
220008893,30422,ROBO TRANSEUNTE,1,2022-01-02,52,7,1,COLONIA,MACIAS ARELLANO,608,AVENIDA,PASEO DE LA SOLIDARIDAD,0,NA,",,,",CALLE,CAMINO AL COBANO,3,17,20,0,false,false,9,NA,NA,0,NA,0,1 HOMBRE COMPLEXION DELGADO TEZ MORENO,ND,,N,,0,0,false,,NO,N,N,"12,28",50,50,false,1,1,1,12,-102.28455132,21.90523226
220009481,30421,ROBO TRANSEUNTE,1,2022-01-02,52,7,1,FRACCIONAMIENTO,FIDEL VELAZQUEZ,216,AVENIDA,FUENTE DE HERCULES,0,NA,"135,,,",CALLE,PASEO OJOCALIENTE,4,19,44,0,false,true,3,NA,NA,0,NA,0,1 HOMBRE,EDGAR EDUARDO SILVA,,N,,1,0,false,,NO,N,N,3,0,7500,true,1,4,1,13,-102.25840000,21.89229540
