FOLIO,ID_INC,MES,FECHA,DIA_SEM,HORA,MINUTOS,HORARIO,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,TIPO_VIAL2,NOM_VIAL2,TIPO_VIALP,NOM_VIALP,DESTACAMEN,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,DETENIDO,LESIONADO,T_VEH_SOS,DESCRIP,RECUP_ART,OBJ_ROBADO,CANTIDAD,MONTO,CORP_ACUD,CIERRE_COR,GIRO_NEG,NOM_NEG,REPARTIDOR,INGRESO,INCIDENTE,OID,LONG,LAT
471,30420,1,01/01/2019,2,4,28,26,1,CC,AGROPECUARIO,837,BOULEVARD,A ZACATECAS,NA,",,,",AVENIDA,AGUASCALIENTES NORTE,AVENIDA,ARNULFO M. VALDES,AVENIDA,INDEPENDENCIA,6,Verdadero,Falso,9,2 HOMBRES,ND,0,0,N,N,Falso,36,0,0,1,2,TRANSPORTE PUBLICO,TAXI 309,0,7,ROBO TRANSPORTE PUBLICO,1,-102.29225816,21.91500000
6307,30420,1,07/01/2019,1,1,24,25,5,COLONIA,SAN MIGUELITO,227,CALLE,SAN MIGUEL,NA,",,,",CALLE,LA CARDONA,AVENIDA,ALEJANDRO DE LA CRUZ SAUCEDO,CALLE,SIGLO XXI,7,Verdadero,Falso,9,2 HOMBRES,ND,0,0,N,N,Falso,"28,36",0,0,1,1,TRANSPORTE PUBLICO,TAXI 1469,0,7,ROBO TRANSPORTE PUBLICO,2,-102.33074977,21.95900000
7533,30420,1,08/01/2019,2,14,42,21,11,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,IXTLAHUACAN,NA,"710,,,",CALLE,CUTZEO,CALLE,HUEXOTLA,CALLE,SANTIAGO,7,Verdadero,Falso,9,1 PERSONA,ND,0,0,N,N,Falso,36,0,0,1,2,TRANSPORTE PUBLICO,TAXI 1329,0,7,ROBO TRANSPORTE PUBLICO,3,-102.24600230,21.96000000
10230,30420,1,11/01/2019,5,0,0,22,1,FRACCIONAMIENTO,EL PUERTECITO,700,CALLE,PUERTO MORELOS,NA,",,,",CALLE,PASEO DEL PUERTECITO,CALLE,DEL PUERTO,CALLE,PUERTO DE COZUMEL,5,Falso,Falso,9,EMPLEADO,CHOFER,0,0,N,N,Falso,28,3000,3000,1,1,TRANSPORTE PUBLICO,CAMION URBANO 211,0,4,ROBO TRANSPORTE PUBLICO,4,-102.24475010,21.93900000
16062,30420,1,17/01/2019,4,0,0,23,1,FRACCIONAMIENTO,LOMA DE LA ASUNCION,485,CALLE,JUAN LOPEZ ELIZALDE,NA,"403,,,",CALLE,BERNABE BALLESTEROS,CALLE,JUAN SORIANO,AVENIDA,SIGLO XXI,5,Falso,Falso,9,ND,ND,0,0,N,N,Falso,36,0,0,1,1,TRANSPORTE PUBLICO,TAXI 1009,0,7,ROBO TRANSPORTE PUBLICO,5,-102.26202160,21.92400000
17121,30420,1,18/01/2019,5,0,0,25,1,COLONIA,PRIMO VERDAD,810,CALLE,GUADALUPE GONZALEZ,NA,",,,",AVENIDA,AGUASCALIENTES PONIENTE,CALLE,PANTALEON VALTIERRA,CALLE,GENARO COVARRUBIAS,6,Falso,Falso,9,1 HOMBRE,ND,0,0,N,N,Falso,36,0,0,1,1,TRANSPORTE PUBLICO,TAXI 3849,0,7,ROBO TRANSPORTE PUBLICO,6,-102.31776996,21.90900000
17132,30420,1,19/01/2019,6,1,15,25,6,COLONIA,PROGRESO SUR,96,CALLE,NICOLAS ESPARZA SUSTAITA NORTE,NA,",,,",BOULEVARD,ENRIQUE OLIVARES SANTANA,CALLE,FRANCISCO VITAL RODRIGUEZ,CALLE,NARCISO PERALES AVILA,7,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,Falso,36,0,0,1,2,TRANSPORTE PUBLICO,TAXI 4123,0,7,ROBO TRANSPORTE PUBLICO,7,-102.28561327,22.14700000
23166,30420,1,25/01/2019,5,2,29,25,1,FRACCIONAMIENTO,MISION DE SANTA LUCIA,586,CALLE,MISION DE SAN MIGUEL DE LA MORA,NA,"132,,,",CALLE,MISION DE SAN CRISTOBAL MAGALLANES JARA,CALLE,JESUS RIVERA FRANCO,CALLE,SAN RODRIGO AGUILAR ALEMAN,3,Falso,Falso,9,1 HOMBRE,ND,0,0,N,N,Falso,36,0,0,1,2,TRANSPORTE PUBLICO,TAXI 3436,0,7,ROBO TRANSPORTE PUBLICO,8,-102.27105186,21.84500000
24959,30420,1,26/01/2019,6,21,31,24,1,CONDOMINIO,TROJES DE CRISTAL,900,BOULEVARD,LICENCIADO MIGUEL DE LA MADRID HURTADO,NA,",,,",CALLE,EL MOLINO NORTE,CALLE,MISION DEL CAMPANARIO,CALLE,ARROYO EL MOLINO 420,6,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,Falso,36,0,150,1,1,TRANSPORTE PUBLICO,TAXI 3686,0,7,ROBO TRANSPORTE PUBLICO,9,-102.32392273,21.93600000
26454,30420,1,28/01/2019,1,0,0,16,1,FRACCIONAMIENTO,VILLAS DE NUESTRA SE¥ORA DE LA ASUNCION SECTOR GUADALUPE,402,CALLE,PROFIRIO PADILLA ENRIQUEZ,88,",,C,",CALLE,FEDERICO MENDEZ,CALLE,CELIA MARIA MARTINEZ,CALLE,RUPERTO SILVA,5,Falso,Falso,9,ND,ND,0,0,N,N,Falso,28,600,600,1,6,TRANSPORTE PUBLICO,TAXI 3310,0,7,ROBO TRANSPORTE PUBLICO,10,-102.25297849,21.93200000
28074,30420,1,29/01/2019,2,23,23,24,1,SIN TIPO,DESARROLLO SIN DELIMITACION OFICIAL NO. 17 (FCO. VILLA),731,BOULEVARD,LICENCIADO ADOLFO RUIZ CORTINES,NA,",,,",CALLE,DEL VALLE,CALLE,NINGUNO,CALLE,NINGUNO,6,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,Falso,36,0,150,1,2,TRANSPORTE PUBLICO,TAXI 2046,0,7,ROBO TRANSPORTE PUBLICO,11,-102.32594518,21.87200000
28765,30419,1,30/01/2019,3,19,54,23,1,FRACCIONAMIENTO,VALLE DE LOS CACTUS,725,ANDADOR,RECINTO JOCONOSTLE 601,NA,",,,",CALLE,JUVENTINO DE LA TORRE,CALLE,ANGELA MARIA MACIAS,ANDADOR,RECINTO JOCONOSTLE 601,4,Falso,Verdadero,4,3 HOMBRES,ND,0,0,N,N,Falso,"3,28",500,500,1,1,TRANSPORTE PUBLICO,TAXI 280,0,7,ROBO TRANSPORTE PUBLICO,12,-102.23144942,21.86600000
29236,30420,1,31/01/2019,4,12,10,21,1,COLONIA,SAN JOSE DEL ARENAL,818,AVENIDA,UNIVERSIDAD,NA,",,,",CALLE,ASIENTOS,CALLE,TEPEZALA,CALLE,SAN JUAN DE LOS LAGOS,6,Verdadero,Falso,9,1 HOMBRE,ND,1,0,N,N,Falso,36,0,0,1,4,TRANSPORTE PUBLICO,TAXI 3489,0,7,ROBO TRANSPORTE PUBLICO,13,-102.30899443,21.90600000
7207,30420,1,08/01/2019,1,3,29,26,1,COLONIA,OLIVARES SANTANA,721,CALLE,MIGUEL RUELAS,NA,"808,,,",CALLE,BENITO DIAZ,CALLE,MAR DE GALILEA,CALLE,BENJAMIN DE LA MORA,6,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,Falso,36,0,0,1,1,TRANSPORTE PUBLICO,TAXI 2073,0,7,ROBO TRANSPORTE PUBLICO,14,-102.31553107,21.89300000
13795,30420,1,15/01/2019,1,4,38,26,1,CONDOMINIO,OJOCALIENTE INEGI,740,AVENIDA,OJOCALIENTE,NA,",,,",CALLE,LOS CONOS,CALLE,EL NOVILLO,CALLE,LAS NORIAS,4,Verdadero,Falso,9,1 MUJER,ND,0,0,N,N,Falso,36,0,0,1,1,TRANSPORTE PUBLICO,TAXI,0,7,ROBO TRANSPORTE PUBLICO,15,-102.25110733,21.87800000
19565,30420,1,21/01/2019,7,8,33,19,1,COLONIA,LA SOLEDAD,729,CALLE,SANTOS DEGOLLADO,NA,",,,",AVENIDA,ABELARDO RODRIGUEZ,CALLE,ATOTONILCO,CALLE,ATENQUIQUE,6,Verdadero,Falso,9,ND,ND,0,0,N,N,Falso,36,0,35,1,1,TRANSPORTE PUBLICO,TAXI 172,0,7,ROBO TRANSPORTE PUBLICO,16,-102.33443117,21.87700000
