FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,ID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,DETENIDO,DET_SPM,CAT_SOSP,SEXO_AGRE,SEXO_AFECT,LESIONADO,TRASL_HOSP,FALLECIDOS,T_VEH_SOS,DESCRIP,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,GIRO_NEG,NOM_NEG,TRANSP_PUB,FARDERO,INGRESO,REPARTIDOR,FERIA,REROBADO,MOT_DET,CARRETERA,OPORUNISTA,FOLIO_REL,DEN_CASIO,TRANSPTTA,OID,LONG,LAT
230219782,30422,ROBO A TRANSPORTE PUBLICO,2,2023-02-20,8,1,5,COLONIA,OJOS DE AGUA,,PRIVADA,AGUA AZUL,NA,NA,"98,,,",CALLE,OJO DE AGUA,7,8,47,19,true,false,10,ND,ND,0,N,0,ND,,0,false,0,,N,39,0,0,false,1,1,TRANSPORTE PUBLICO,TAXI DE PLATAFORMA,0,false,0,0,0,,N,false,0,0,0,,1,-102.35002807,21.96052355
230270642,30422,ROBO A TRANSPORTE PUBLICO,3,2023-03-03,9,5,5,COLONIA,EL TORITO,1071,CALLE,ALEJANDRO DE LA CRUZ,NA,NA,",,,",CALLE,FRANCISCO I MADERO,7,20,40,23,false,false,9,1 HOMBRE,EL AGUACATE,0,N,0,H,,0,false,0,,N,3,0,20000,false,1,1,TRANSPORTE PUBLICO,DIDI,0,false,0,0,0,,N,false,0,0,0,,2,-102.35426851,21.96876049
230387830,30422,ROBO A TRANSPORTE PUBLICO,3,2023-03-29,13,3,1,COLONIA,TALAMANTES PONCE,510,CALLE,MIGUEL HIDALGO,NA,NA,",,,",CALLE,FRAY BARTOLOME DE LAS CASAS,6,15,27,21,false,false,9,ND,ND,0,N,0,ND,,0,false,0,,N,"3,29",0,0,false,1,1,TRANSPORTE PUBLICO,TAXI DE PLATAFORMA,0,false,0,0,0,,N,false,0,0,0,,3,-102.29596032,21.93431205
231009380,30421,ROBO A TRANSPORTE PUBLICO,7,2023-07-31,31,1,5,COLONIA,LUIS DONALDO COLOSIO,1045,CALLE,LUIS DONALDO COLOSIO,NA,NA,",,,",AVENIDA,ALEJANDRO DE LA CRUZ,7,21,26,23,false,true,1,3 HOMBRES,ND,0,N,0,H,,0,false,0,,N,3,0,9500,false,1,1,TRANSPORTE PUBLICO,UBER,0,false,0,0,0,,N,false,0,0,0,,4,-102.35398810,21.97120299
230005932,30419,ROBO A TRANSPORTE PUBLICO,1,2023-01-01,1,7,1,COLONIA,TALAMANTES PONCE,510,CALLE,FRAY BARTOLOME DE LAS CASAS,NA,NA,"127,,,",CALLE,MIGUEL HIDALGO,6,0,0,24,false,true,1,2 HOMBRES,ND,0,N,0,H,H,0,false,0,N,N,3,0,7000,false,1,69,TRANSPORTE PUBLICO,UBER,1,false,4,0,0,NO,ND,false,0,0,0,,5,-102.29610274,21.93446772
230017482,30419,ROBO A TRANSPORTE PUBLICO,1,2023-01-04,1,3,1,FRACCIONAMIENTO,LAS CUMBRES,218,CALLE,CUATRO MILPAS,NA,NA,",,,",AVENIDA,PENSADORES MEXICANOS ORIENTE,3,16,30,22,false,true,1,"2 HOMBRES,1 CON BARBA",ND,0,N,0,H,H,0,false,0,N,N,28,500,500,false,1,69,TRANSPORTE PUBLICO,TAXI 39,1,false,4,0,0,NO,ND,false,0,0,0,,6,-102.26625067,21.91225310
230023728,30419,ROBO A TRANSPORTE PUBLICO,1,2023-01-05,1,4,1,FRACCIONAMIENTO,NATURA,371,CALLE,TALUD,NA,NA,"112,C,,",CALLE,GEODESIA,3,23,47,24,false,true,1,1 HOMBRE,ND,0,N,0,H,H,0,false,0,N,N,3,0,0,false,1,69,TRANSPORTE PUBLICO,TAXI 4167,1,false,4,0,0,NO,ND,false,0,0,0,,7,-102.24873332,21.93308616
230072644,30419,ROBO A TRANSPORTE PUBLICO,1,2023-01-17,3,2,1,ESPECIAL,PARQUE NATURAL LOS GRINGOS,104,CALLE,OMICRON,NA,NA,",,,",CALLE,BLAS E ROMO,3,11,18,20,false,true,"2,3",1 HOMBRE,ND,0,N,0,H,H,0,false,0,N,N,28,450,450,false,1,1,TRANSPORTE PUBLICO,TAXI 1626,1,false,4,0,0,NO,ND,false,0,0,0,,8,-102.26171320,21.90781655
230113710,30419,ROBO A TRANSPORTE PUBLICO,1,2023-01-26,4,4,1,FRACCIONAMIENTO,TROJES DE ORIENTE II,116,AVENIDA,INDEPENDENCIA,NA,NA,"2002,,,",CALLE,SILOS,6,22,31,24,false,true,1,2 HOMBRES,ND,0,N,0,H,H,0,false,0,N,N,30,0,0,false,1,1,TRANSPORTE PUBLICO,TAXI DE PLATAFORMA,0,false,4,0,0,NO,ND,false,0,0,0,,9,-102.29842670,21.92891931
230131440,30419,ROBO A TRANSPORTE PUBLICO,1,2023-01-30,5,1,1,CONDOMINIO HORIZONTAL,CENTRO COMERCIAL PLAZA AGUASCALIENTES,616,CALLE,CHICHIMECO,NA,NA,",,,",AVENIDA,HEROE DE NACOZARI SUR,5,22,50,24,false,true,2,2 HOMBRES,ND,0,N,0,H,H,0,false,0,N,N,28,1500,1500,false,1,1,TRANSPORTE PUBLICO,TAXI 3230,1,false,4,0,0,NO,ND,false,0,0,0,,10,-102.28028463,21.87725394
230123099,30446,ROBO A TRANSPORTE PUBLICO,1,2023-01-29,5,7,1,UNIDAD HABITACIONAL,VIVIENDA POPULAR,268,CALLE,DOCTOR PEDRO DE ALBA,NA,NA,",,,",AVENIDA,LICENCIADO ADOLFO LOPEZ MATEOS PONIENTE,2,0,0,26,false,false,9,1 HOMBRE,ND,0,N,0,H,H,0,false,0,N,N,28,300,300,false,1,69,TRANSPORTE PUBLICO,TAXI 1513,1,false,4,0,0,NO,ND,false,0,0,0,,11,-102.30817976,21.87500880
