FOLIO,FOLIO_REL,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,ID_ASEN,ID_COL,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,RANGO,PROCESO,VIOLENCIA,ARMA_US,ARMA,PER_SOSP,ALIAS,DETENIDO,DET_SPM,MOT_DET,LESION_PR,LESION_AFE,CAT_SOSP,SEXO_AGRE,SEXO_AFECT,LESIONADO,TRASL_HOSP,FALLECIDOS,T_VEH_SOS,DESCRIP,OBJ_ROBADO,HECHOS,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,DEN_CASIO,GIRO_NEG,VEH_AFEC,OID,LONG,LAT
240006272,0,30425,ROBO EN TRANSPORTE PUBLICO INDIVIDUAL,1,2024-01-01,1,1,5,FRACCIONAMIENTO,BUENAVISTA,1070,1070,CALLE,ROSAL,NA,NA,"113,,,",CALLE,CHUCATA,7,22,13,22:13,24,false,true,1,Cortante,1 HOMBRE DELGADO VISTE SUDADERA NEGRO PANTALON DE MEZCLILLA,ND,0,N,ND,0,0,10,H,H,0,false,0,N,N,"3,28","Celular, dinero",300,2300,false,1,1,0,TAXI,"NISSAN,TSURU,BLANCO,PLACASA141AAC",1,-102.35753068,21.97010818
240007279,0,30425,ROBO EN TRANSPORTE PUBLICO INDIVIDUAL,1,2024-01-02,1,2,1,FRACCIONAMIENTO,PILAR BLANCO,142,142,CALLE,DEL FAISAN,NA,NA,",,,",CALLE,GAVIOTAS,2,2,57,02:57,25,false,true,3,Contusa,2 HOMBRES 1 SUDADERA OBSCURA FLOJA,ND,0,N,ND,0,0,10,H,H,0,false,0,N,N,"3,28","Celular, dinero",300,300,false,1,1,0,DIDI,ND,2,-102.29736007,21.84843574
240015906,0,30425,ROBO EN TRANSPORTE PUBLICO INDIVIDUAL,1,2024-01-04,1,4,5,COLONIA,EL TORITO,1071,1071,AVENIDA,ALEJANDRO DE LA CRUZ SAUCEDO,NA,NA,",,,",CALLE,15 DE SEPTIEMBRE,7,3,40,03:40,26,false,true,4,Fuego,2 HOMBRES 20 AÑOS APROX DELGADOS,ND,0,N,ND,0,0,10,H,H,0,false,0,N,N,3,Celular,0,8000,false,1,1,0,UBER,"CHEVROLET,BEAT,NEGRO,PLACAS AAB558A",3,-102.35419147,21.96957365
240033153,0,30425,ROBO EN TRANSPORTE PUBLICO INDIVIDUAL,1,2024-01-07,2,1,1,FRACCIONAMIENTO,VILLA MONTAÑA,601,601,AVENIDA,VALLE DE LOS ROMEROS,NA,NA,",,,",CALLE,MONTE ARAFAT,3,19,28,19:28,23,false,true,1,Cortante,1 HOMBRE,ND,0,N,ND,0,0,10,H,H,0,false,0,N,N,50,Alimentos,0,500,false,1,69,0,TAXI 2441,"NISSAN,MARCH,BLANCO",4,-102.25370082,21.94392942
240034770,0,30426,ROBO EN TRANSPORTE PUBLICO INDIVIDUAL,1,2024-01-08,2,1,1,FRACCIONAMIENTO,PILAR BLANCO,142,142,BOULEVARD,AGUILA,NA,NA,",,,",AVENIDA,DEL FAISAN,2,1,55,01:55,25,false,false,9,Ninguna,1 HOMBRE,ND,0,N,ND,0,0,10,H,H,0,false,0,N,N,3,Celular,0,0,false,1,69,0,UBER,"VENTO,TINTO,PLACAS ACD783C",5,-102.29754861,21.85009155
240043810,0,30425,ROBO EN TRANSPORTE PUBLICO INDIVIDUAL,1,2024-01-10,2,3,5,FRACCIONAMIENTO,EL MEZQUITAL,902,902,AVENIDA,ALEJANDRO DE LA CRUZ SAUCEDO,0,NA,",,,",CALLE,MEZQUITAL,7,0,8,00:08,25,false,true,10,Sin datos,ND,ND,0,N,ND,0,0,10,ND,H,0,false,0,N,N,"3,29","Celular, cartera",0,0,false,1,1,0,UBER,ND,6,-102.35443307,21.96634352
240051633,0,30426,ROBO EN TRANSPORTE PUBLICO INDIVIDUAL,1,2024-01-11,2,4,5,COLONIA,LA ESCALERA,1064,1064,CALLE,LAS FLORES,0,NA,",,,",CALLE,LAGUNA HONDA,7,19,49,19:49,23,false,false,9,Ninguna,1 HOMBRE VISTE SUDADERA BLANCA PANTALON OBSCURO MOCHILA NEGRA,ND,0,0,0,0,0,10,M,M,0,false,0,N,N,3,Celular,0,4000,false,1,1,0,UBER,"FORD,FIGO,AZUL,MODELO 2017,PLACAS ACF372B",7,-102.34678837,21.97135072
240052584,0,30425,ROBO EN TRANSPORTE PUBLICO INDIVIDUAL,1,2024-01-11,2,4,1,FRACCIONAMIENTO,"VILLA DE NUESTRA SEÑORA DE LA ASUNCION, SECTOR ESTACION",354,354,AVENIDA,GERONIMO DE LA CUEVA,0,NA,",,,",AVENIDA,SALVADOR RANGEL LOPEZ,3,23,37,23:37,24,false,true,4,Fuego,"2 HOMBRE SUDADERA BLANCA CACHUCHA ROJA, VESTIMENTA NEGRA",ND,0,0,0,0,0,10,M,M,0,false,0,N,N,3,Celular,0,12000,false,1,1,0,TAXI 3728,"VOLKSWAGEN,VENTO, BLANCO",8,-102.25404850,21.93794612
240039879,0,30425,ROBO EN TRANSPORTE PUBLICO INDIVIDUAL,1,2024-01-09,2,2,1,FRACCIONAMIENTO,INSURGENTES,161,161,CALLE,ABRAHAM GONZALEZ,0,NA,",,,",CALLE,BELISARIO DOMINGUEZ,2,6,57,06:57,26,false,true,1,Cortante,"2 HOMBRES SUDADERA BLANCA CON CAPUCHA PANTS BLANCO DELGADO, PLAYERA AZUL CACHUCHA BEISBOLISTA ESTATURA BAJA TIPO CHOLO",ND,0,0,0,0,0,10,H,H,0,false,0,N,N,"3,27,28","Celular, documentos, dinero",2000,2000,false,1,1,0,TAXI 3495,ND,9,-102.30770385,21.84941604
240055733,0,30425,ROBO EN TRANSPORTE PUBLICO INDIVIDUAL,1,2024-01-12,2,5,1,FRACCIONAMIENTO,VILLA LOMA DORADA,75,75,TERRACERIA,TERRACERIA LOMA DORADA,0,NA,",,,",CALLE,VILLA ROSARIO,3,18,58,18:58,22,false,true,10,Sin datos,ND,ND,0,0,0,0,0,10,ND,H,0,false,0,N,N,3,Celular,0,9000,false,1,1,0,TAXI 832,"NISSAN,MARCH,BLANCO",10,-102.24707842,21.92467349
240058545,0,30425,ROBO EN TRANSPORTE PUBLICO INDIVIDUAL,1,2024-01-13,2,6,1,COMUNIDAD,EL CONEJAL,2,5,CARERTERA,79 FRACCIONAMIENTO OJOCALIENTE EL CONEJAL,0,NA,",,,",NA,NA,4,10,44,10:44,20,false,true,8,Otros,"2 HOMBRES SUDADERA ROJA, SUDADERA VERDE",ND,0,0,0,0,0,10,H,H,0,false,0,N,N,"3,29","Celular, cartera",500,500,false,1,1,0,TAXI 113,ND,11,-102.20658986,21.91724641
240068356,0,30425,ROBO EN TRANSPORTE PUBLICO INDIVIDUAL,1,2024-01-15,3,1,1,FRACCIONAMIENTO,VILLA LOMA DORADA,75,75,CALLE,VILLA DE LA ROTA,0,NA,"125,,,",AVENIDA,CULTURA OTOMI,3,6,23,06:23,19,false,true,10,Sin datos,"2 HOMBRES 17 A 23 AÑOS CAMISA BLANCA PANTALON CAFE, VESTIMENTA DE NEGRO",ND,0,0,0,0,0,10,H,H,0,false,0,N,N,"3,29,30","Celular, cartera, llaves",1500,11500,false,1,1,0,UBER,"MARCH,BLANCO,PLACAS AES228",12,-102.24557623,21.92292723
240078788,0,30425,ROBO EN TRANSPORTE PUBLICO INDIVIDUAL,1,2024-01-17,3,3,5,FRACCIONAMIENTO,BUENAVISTA,1070,1070,CALLE,DALIA,0,NA,",,,",CALLE,JAZMIN,7,15,51,15:51,22,false,true,4,Fuego,1 HOMBRE SUDADERA GRIS PANTALON AZUL DE MEZCLILLA CICATRIZ EN EL OJO DERECHO MORENO DELGADO ALTO,ND,0,0,0,0,0,10,H,M,0,false,0,N,N,"3,28","Celular, dinero",1000,6200,false,1,1,0,UBER,ND,13,-102.35745226,21.97092074
240085054,0,30425,ROBO EN TRANSPORTE PUBLICO INDIVIDUAL,1,2024-01-18,3,4,5,FRACCIONAMIENTO,VISTAS DEL SAUZ,1053,1053,AVENIDA,CIRCUNVALACION A SOLIDARIDAD,0,NA,",,,",BOULEVARD,MANUEL J CLOUTIER,7,23,30,23:30,27,false,true,10,Sin datos,1 HOMBRE CAMISA BLANCA PANTALON NEGRO BARBA CERRADA,ND,0,0,0,0,0,10,H,H,0,false,0,N,N,39,Sin datos,0,0,false,1,2,0,INDRIVER,"SONIC, TINTO",14,-102.33798930,21.95472143
240129162,0,30425,ROBO EN TRANSPORTE PUBLICO INDIVIDUAL,1,2024-01-27,4,6,5,NINGUNO,EL CHAVEÑO II,928,928,CARRETERA,3 JESUS MARIA POSTA ZOOTECNICA,0,NA,",,,",NA,NA,7,22,47,22:47,24,false,true,4,Fuego,"H 27 AÑOS DELGADO 1.60 MTS GORRA BLANCA PANTALON MEZCLILLA  NEGRO Y SUDADERA NEGRA, M",ND,0,0,0,0,0,10,H,H,0,false,0,N,N,"3,28","Celular, dinero",1200,5200,false,1,1,0,UBER,"VERSA, ROJO, PLACAS AAH012C",15,-102.36430973,21.96575241
240135821,0,30425,ROBO EN TRANSPORTE PUBLICO INDIVIDUAL,1,2024-01-29,5,1,1,FRACCIONAMIENTO,"VILLA DE NUESTRA SEÑORA DE LA ASUNCION, SECTOR ENCINO",331,331,AVENIDA,SIGLO XXI,0,NA,",,,",CALLE,MATIAS A DE LA MOTA,3,5,22,05:22,26,false,true,4,Fuego,2 HOMBRES CAMISA MEZCLILLA AZUL,ND,0,0,0,0,0,10,H,H,0,false,0,N,N,"3,29,28","Celular, cartera, dinero",80,0,false,1,1,0,TAXI 2833,ND,16,-102.26676459,21.92679161
