FOLIO,NUM_REP,NUM_OP,MES,FECHA,DIA_SEM,HORA,MINUTOS,MUNICIPIO,LOCALIDAD,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,ED_INC,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1_INC,VIAL_2_INC,VIAL_P_INC,TIPO_ARMA,ARMA_2,CUENT_HAB,DINERO,CANTIDAD,BANCO,UBIC_BANC,BOLSO,CAR_MON,TECNOLOGIA,CELULAR,JOYERIA,ROPA,BICICLETA,OTROS,LESIONADO,VEH_SOSP,C_VIOL,MONTO,PROCESO,DETENIDO,FIL_SOSP,PR_FERIA,TRASL_HOSP,DESTAC_SEG,OID,INCIDENTE,LONG,LAT
1312,4,49,ENERO,2017-01-02,LUNES,5,10,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,INSURGENTES,1046,AVENIDA,CONVENCION,NULO,1301,NULO,0,NULO,HERMANOS FLORES MAGON,BELISARIO DOMINGUEZ,ABRAHAM GONZALEZ,CONTUNDENTE,NULO,NULO,DINERO,3000,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,8000,NULO,0,PANDILLA LOS DRAGONES SUDADERA CON CAPUCHA ROJA,NULO,,,1,Robo a persona,-102.30727067,21.85095233
1583,6,59,ENERO,2017-01-02,LUNES,15,50,JESUS MARIA,RURAL,COMUNIDAD,LOS ARQUITOS,173-P,CARRETERA,52,NULO,0,NULO,0,NULO,NINGUNO,NINGUNO,NINGUNO,FUEGO,CONTUNDENTE,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,SIN DATOS,SI,CAMIONETA BLANCA,SI,2500,NULO,0,NULO,NULO,,,2,Robo a persona,-102.38431339,21.92238397
1777,,,ENERO,2017-01-02,LUNES,21,8,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,EMILIANO ZAPATA,585,CALLE,PLAN DE AYALA,NULO,0,NULO,0,NULO,PROFESOR OTILIO E MONTAðO,JOSE GONZALEZ CARRILLO,CARLOS MARIA DE BUSTAMANTE,CONTUNDENTE,NULO,NULO,DINERO,200,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,3,Robo a persona,-102.25545858,21.85179231
1820,,,ENERO,2017-01-02,LUNES,21,55,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,OJOCALIENTE I,741,AVENIDA,OJOCALIENTE,NULO,0,NULO,0,NULO,SAN FRANCISCO DE LOS VIVEROS,EL GUARDA,SAN FRANCISCO DE LOS VIVEROS,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,CACHUCHA,NO,NULO,NO,,,,,NULO,,,4,Robo a persona,-102.25171636,21.87981126
1966,,,ENERO,2017-01-03,MARTES,2,53,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,GRANJA CHELY,679,CARRETERA,34 ESTATAL,NULO,0,NULO,0,NULO,NINGUNO,NINGUNO,NINGUNO,FUEGO,CONTUNDENTE,NULO,DINERO,800,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,ESTEREO CARRO,NO,CAMIONETA FORD,SI,,,,,NULO,,,5,Robo a persona,-102.32551000,21.90003052
2196,,,ENERO,2017-01-03,MARTES,13,37,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LAS CUMBRES,441,CALLE,ERNESTINA MACIAS CHAVEZ,NULO,0,NULO,0,NULO,AMBROSIO VERASTEGUI,REFUGIO MIRANDA AGUAYO,MARIA GUADALUPE SERNA DIAZ,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,MOTOCICLETA NEGRA,NO,,,,,NULO,,,6,Robo a persona,-102.26298358,21.91333446
2253,,,ENERO,2017-01-03,MARTES,15,20,AGUASCALIENTES,URBANA,COLONIA,MACIAS ARELLANO,505,CALLE,CAMINO AL COBANO,NULO,0,NULO,0,NULO,C,A,SEGUNDA PRIVADA C,CONTUNDENTE,SIN DATOS,NULO,NULO,0,NULO,NULO,BOLSO,NULO,NULO,NULO,NULO,ROPA,NULO,NULO,SI,MOTO SUSKI BCA AE24,SI,,,,,NULO,,,7,Robo a persona,-102.28211925,21.90567387
2489,,,ENERO,2017-01-03,MARTES,19,56,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,BOULEVARES 1A SECCION,1047,PROLONGACION,PASEO DE LA ASUNCION,NULO,0,NULO,0,NULO,PROFESOR ENRIQUE OLIVARES SANTANA,LAURO AGUIRRE,EUGENIO ALCALA,NULO,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,NO,,,,,NULO,,,8,Robo a persona,-102.30122630,21.85344895
2569,,,ENERO,2017-01-03,MARTES,21,12,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,OJO DE AGUA,1080,CALLE,PLAZA MICHOACAN,NULO,313,NULO,0,NULO,PLAZA FERNANDO AMILPA,PLAZA LUIS QUINTERO,TAMAULIPAS,CONTUNDENTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,BICICLETA,NULO,NO,NULO,SI,,,,,NULO,,,9,Robo a persona,-102.28050042,21.86357239
2599,,,ENERO,2017-01-03,MARTES,21,47,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,PRADOS DE VILLASUNCION,946,CALLE,PASEO DE TONATHIU,NULO,403,NULO,0,NULO,DEL CARPINTERO,PARQUE DE LOS EUCALIPTOS,ANDADOR DE LAS GAVIOTAS,CORTANTE,NULO,NULO,NULO,0,NULO,NULO,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,NO,NULO,SI,,,,,NULO,,,10,Robo a persona,-102.29628336,21.84775326
3270,,,ENERO,2017-01-04,MIERCOLES,21,3,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,INSURGENTES,1046,AVENIDA,DE LOS MAESTROS,NULO,0,NULO,0,NULO,CONVENCION,ABRAHAM GONZALEZ,INGENIERO CAMILO ARRIAGA,CORTANTE,NULO,NULO,NULO,0,NULO,NULO,NULO,CARTERA,NULO,CELULAR,NULO,NULO,NULO,NULO,SI,NULO,SI,,,,,NULO,,,11,Robo a persona,-102.31724549,21.85374740
