FOLIO,ID_INC,INCIDENTE,MES,FECHA,DIA_SEM,HORA,MINUTOS,HORARIO,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,TIPO_VIAL2,NOM_VIAL2,TIPO_VIALP,NOM_VIALP,DESTACAMEN,SEC_EST,PROCESO,VIOLENCIA,ARMA,CUENTA_HAB,NOM_SUCUR,SUC_CAJER,UBIC_SUCUR,FALLECIDOS,PER_SOSP,ALIAS,DETENIDO,LESIONADO,TRASL_HOSP,T_VEH_SOSP,DESCRIP,RECUP_ART,OBJ_ROBADO,CANTIDAD,MONTO,CORP_ACUD,ESPACIO,CIERRE_COR,OID,TIPO_ROBO,DET_SPM,MOT_DET,NOM_DET,ORI_DET,LONG,LAT
200001348,30421,ROBO TRANSEUNTE,1,2020-01-01,3,7,31,0,1,COLONIA,MIRAVALLE,750,PRIVADA,ARROYO DE LOS ARELLANO,,NA,",,,",CALLE,PEDRO GARCIA ROJAS,CALLE,ANTONIO AVILA CASTAÑEDA,CALLE,GUILLERMO PRIETO,6,1,true,true,3,NA,NA,0,NA,0,ND,ND,0,0,false,ND,ND,false,3,0,0,1,1,13,1,,,,,,-102.30746151,21.89008100
200003172,30421,ROBO TRANSEUNTE,1,2020-01-01,3,19,41,0,1,SIN TIPO,UNIVERSIDAD AUTONOMA DE AGUASCALIENTES,839,AVENIDA,UNIVERSIDAD,,NA,",,,",AVENIDA,GUADALUPE GONZALEZ,AVENIDA,AGUASCALIENTES NORTE,AVENIDA,AGUASCALIENTES NORTE,6,1,false,true,3,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,ND,ND,false,14,0,0,1,1,1,2,,,,,,-102.31347543,21.91588252
200007105,30421,ROBO TRANSEUNTE,1,2020-01-03,5,0,7,0,1,CC,PLAZA VESTIR,982,BOULEVARD,JOSE MARIA CHAVEZ,,NA,",,,",CALLE,ANTONIO GUTIERREZ SOLA,CALLE,JESUS RIVERA FRANCO,CALLE,ALFONSO BERNAL SANTOS,3,3,false,true,4,NA,NA,0,NA,0,2 MUJERES UNA DE EDAD APROXIMADA DE 19 A 20 AÑOS CABELLO LARGO OTRA EDAD APROXIMADA 40 AÑOS,ND,0,0,false,COCHE,NISSAN TSURU DESPINTADO SIN PLACAS,false,"26,28,40",3400,3400,1,1,1,3,,,,,,-102.28901164,21.83843396
200009743,30421,ROBO TRANSEUNTE,1,2020-01-03,5,20,50,0,1,FRACCIONAMIENTO,LAS CUMBRES,441,CALLE,SIERRA TARAHUMARA,,NA,"141,,,",CALLE,SIERRA DEL MAGUEY,AVENIDA,SIGLO XXI,CALLE,SIERRA DE NACOZARI,5,2,false,true,1,NA,NA,0,NA,0,1 HOMBRE CON TATUAJES EN EL CUELLO,ND,0,0,false,ND,ND,false,3,0,2100,1,1,1,4,,,,,,-102.25920887,21.91155569
200012180,30421,ROBO TRANSEUNTE,1,2020-01-04,6,17,9,0,1,FRACCIONAMIENTO,INSURGENTES,1046,CALLE,BELISARIO DOMINGUEZ,,NA,"108,,,",AVENIDA,DOCTOR MARIANO AZUELA,AVENIDA,CONVENCION,CALLE,HERMANOS FLORES MAGON,2,4,false,true,1,NA,NA,0,NA,0,2 HOMBRES UNO DE ELLOS CABELLO LARGO,ND,0,0,false,ND,ND,false,"3,12,28",100,100,1,1,1,5,TRANSEUNTE,0,N,N,0,-102.30695546,21.85216168
200013981,30421,ROBO TRANSEUNTE,1,2020-01-05,7,1,51,0,1,FRACCIONAMIENTO,MEXICO,1081,NINGUNO,AGUASCALIENTES SUR,,NA,",,,",AVENIDA,AGUASCALIENTES SUR,CALLE,CASA BLANCA,CALLE,COAHUILA,3,3,true,true,"2,3",NA,NA,0,NA,0,8 HOMBRES,ND,2,0,false,CAMIONETA,CARAVAN SIN COLOR,false,"14,28",600,600,1,1,4,6,,,,,,-102.27813213,21.86030503
200012433,30421,ROBO TRANSEUNTE,1,2020-01-04,6,18,32,0,6,BARRIO,CARBONERAS,93,CALLE,HEROE DE NACOZARI,,NA,",,,",AVENIDA,ALVARO OBREGON,CALLE,NIÐOS HEROES SUR,CALLE,REFORMA,7,7,false,true,1,NA,NA,0,NA,0,1 HOMBRE,ND,0,0,false,ND,ND,false,3,0,3000,1,1,1,7,,,,,,-102.27039188,22.14662969
200013938,30421,ROBO TRANSEUNTE,1,2020-01-05,7,1,30,0,5,COLONIA,MARTINEZ ANDRADE,176,AVENIDA,SAN LORENZO,,NA,",,,",CALLE,ALDAMA,PRIVADA,LORENZO,PRIVADA,ALDAMA,7,7,false,true,3,NA,NA,0,NA,0,8 HOMBRES,ND,0,0,false,ND,ND,false,28,0,5150,1,1,2,8,,,,,,-102.34444581,21.95914099
200016267,30421,ROBO TRANSEUNTE,1,2020-01-05,7,18,34,0,1,COLONIA,MACIAS ARELLANO,505,CALLE,A,,NA,"109,,,",CALLE,PRIVADA A,PRIVADA,SEGUNDA A,CALLE,ANTONIO OROZCO,5,2,false,true,3,NA,NA,0,NA,0,3 HOMBRES,ND,0,1,false,ND,ND,false,"6,28",2000,2000,"1,8",1,8,9,,,,,,-102.28203856,21.90651111
200014395,30421,ROBO TRANSEUNTE,1,2020-01-05,7,6,23,0,1,COLONIA,OBRAJE,987,NINGUNO,GALEANA SUR,,NA,",,,",CALLE,REPUBLICA DE ECUADOR,CALLE,BOGOTA,CALLE,LANCEROS DE AGUASCALIENTES,2,4,false,true,3,NA,NA,0,NA,0,2 HOMBRES,ND,0,1,false,ND,ND,false,3,0,10000,1,1,1,10,TRANSEUNTE,0,N,N,0,-102.29755161,21.86999246
