Bien jurídico afectado;(Todas);;;;;;;;;;;;
Tipo de delito;(Todas);;;;;;;;;;;;
Subtipo de delito;(Todas);;;;;;;;;;;;
Modalidad;(Todas);;;;;;;;;;;;
;;;;;;;;;;;;;
Suma de Total;;;Etiquetas de columna;;;;;;;;;;
Etiquetas de fila;Cve# Municipio;Municipio;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Aguascalientes;1001;Aguascalientes;18800;18798;26204;29334;27843;24309;25889;29547;31236;31668;28873
Aguascalientes;1002;Asientos;247;299;409;608;820;863;913;864;935;763;802
Aguascalientes;1003;Calvillo;554;594;924;901;872;737;744;900;900;938;956
Aguascalientes;1004;Cosío;160;44;205;277;341;286;323;410;313;374;388
Aguascalientes;1005;Jesús María;1285;1515;2179;3037;3155;2688;2981;3356;3692;4181;3617
Aguascalientes;1006;Pabellón de Arteaga;747;697;1017;1222;1453;1320;1106;1074;1251;1267;1067
Aguascalientes;1007;Rincón de Romos;595;734;917;1141;1425;1064;1103;1168;1247;1137;932
Aguascalientes;1008;San José de Gracia;60;79;150;199;227;175;311;189;200;239;261
Aguascalientes;1009;Tepezalá;164;26;204;333;349;291;383;255;334;332;338
Aguascalientes;1010;El Llano;168;179;400;388;489;505;426;410;402;448;489
Aguascalientes;1011;San Francisco de los Romo;432;764;939;1394;1455;1388;1466;1397;1806;1642;1568
Baja California;2001;Ensenada;16162;13392;13473;14202;14236;12155;11276;13213;15551;15264;13749
Baja California;2002;Mexicali;43650;40707;40997;36940;35344;30572;32110;36536;38966;34550;31266
Baja California;2003;Tecate;4312;4399;3874;3502;3328;3425;3739;3851;3957;3424;3522
Baja California;2004;Tijuana;52039;46694;50006;45283;47415;42392;45668;49134;53995;46709;36715
Baja California;2005;Playas de Rosarito;3781;3917;3372;3101;3690;3624;4018;4748;5447;4373;3505
Baja California;2006;San Quintín;;;;;;;1279;1475;2372;2151;2286
Baja California;2007;San Felipe;;;;;;;;772;782;926;893
Baja California Sur;3001;Comondú;1682;1580;1767;1911;1704;1415;1236;1337;1560;1481;1483
Baja California Sur;3002;Mulegé;1284;1678;2035;1452;1277;1063;1095;1060;1238;1296;1265
Baja California Sur;3003;La Paz;10263;11437;10632;10524;9929;8076;8656;8914;9353;10339;10454
Baja California Sur;3008;Los Cabos;7863;9400;9220;8973;9129;7232;7274;8762;10223;11410;10948
Baja California Sur;3009;Loreto;323;511;520;578;605;468;416;413;475;474;590
Campeche;4001;Calkiní;32;30;20;25;30;40;138;537;686;231;337
Campeche;4002;Campeche;663;881;877;954;1097;930;2384;11192;11169;5044;1807
Campeche;4003;Carmen;770;991;850;823;747;670;1770;7620;7696;3678;1378
Campeche;4004;Champotón;52;67;74;93;112;100;335;1197;1443;1055;1166
Campeche;4005;Hecelchakán;25;19;8;9;17;15;49;376;476;305;181
Campeche;4006;Hopelchén;22;17;16;21;30;15;87;514;717;369;136
Campeche;4007;Palizada;8;21;12;16;15;15;41;200;120;72;16
Campeche;4008;Tenabo;47;18;10;15;9;4;46;207;166;101;50
Campeche;4009;Escárcega;75;107;112;119;155;120;444;2223;1858;671;71
Campeche;4010;Calakmul;52;26;21;34;37;32;93;406;396;134;19
Campeche;4011;Candelaria;140;60;56;48;63;62;163;706;575;275;75
Campeche;4012;Seybaplaya;;;;;;;61;358;530;297;210
Campeche;4013;Dzitbalché;;;;;;;0;0;17;202;134
Chiapas;7001;Acacoyagua;82;45;53;68;81;42;40;68;33;35;39
Chiapas;7002;Acala;49;37;45;52;54;40;36;46;75;39;8
Chiapas;7003;Acapetahua;125;104;58;89;84;84;116;177;82;59;49
Chiapas;7004;Altamirano;61;29;68;55;37;24;22;16;23;21;11
Chiapas;7005;Amatán;33;19;5;10;10;12;7;20;21;28;15
Chiapas;7006;Amatenango de la Frontera;28;11;14;22;33;15;24;20;9;5;29
Chiapas;7007;Amatenango del Valle;13;2;8;9;11;4;4;6;6;6;1
Chiapas;7008;Angel Albino Corzo;51;45;46;49;53;35;38;68;82;25;34
Chiapas;7009;Arriaga;302;252;219;314;222;170;189;157;187;148;116
