Bien jurídico afectado;(Todas);;
Tipo de delito;(Todas);;
Subtipo de delito;(Todas);;
Modalidad;(Todas);;
;;;
Suma de Total;;;Etiquetas de columna
Etiquetas de fila;Cve# Municipio;Municipio;2026
Aguascalientes;1001;Aguascalientes;9470
Aguascalientes;1002;Asientos;322
Aguascalientes;1003;Calvillo;337
Aguascalientes;1004;Cosío;116
Aguascalientes;1005;Jesús María;1130
Aguascalientes;1006;Pabellón de Arteaga;413
Aguascalientes;1007;Rincón de Romos;391
Aguascalientes;1008;San José de Gracia;77
Aguascalientes;1009;Tepezalá;152
Aguascalientes;1010;El Llano;196
Aguascalientes;1011;San Francisco de los Romo;610
Aguascalientes;1999;No especificado;0
Baja California;2001;Ensenada;4229
Baja California;2002;Mexicali;10801
Baja California;2003;Tecate;1208
Baja California;2004;Tijuana;11788
Baja California;2005;Playas de Rosarito;1049
Baja California;2006;San Quintín;709
Baja California;2007;San Felipe;278
Baja California;2999;No especificado;0
Baja California Sur;3001;Comondú;460
Baja California Sur;3002;Mulegé;418
Baja California Sur;3003;La Paz;3163
Baja California Sur;3008;Los Cabos;3472
Baja California Sur;3009;Loreto;188
Baja California Sur;3999;No especificado;0
Campeche;4001;Calkiní;65
Campeche;4002;Campeche;648
Campeche;4003;Carmen;272
Campeche;4004;Champotón;307
Campeche;4005;Hecelchakán;38
Campeche;4006;Hopelchén;37
Campeche;4007;Palizada;5
Campeche;4008;Tenabo;6
Campeche;4009;Escárcega;27
Campeche;4010;Calakmul;5
Campeche;4011;Candelaria;19
Campeche;4012;Seybaplaya;29
Campeche;4013;Dzitbalché;43
Campeche;4999;No especificado;0
Chiapas;7001;Acacoyagua;5
Chiapas;7002;Acala;5
Chiapas;7003;Acapetahua;13
Chiapas;7004;Altamirano;8
Chiapas;7005;Amatán;6
Chiapas;7006;Amatenango de la Frontera;3
Chiapas;7007;Amatenango del Valle;1
Chiapas;7008;Ángel Albino Corzo;8
Chiapas;7009;Arriaga;41
Chiapas;7010;Bejucal de Ocampo;0
Chiapas;7011;Bella Vista;1
Chiapas;7012;Berriozábal;36
Chiapas;7013;Bochil;7
Chiapas;7014;El Bosque;3
Chiapas;7015;Cacahoatán;24
Chiapas;7016;Catazajá;5
Chiapas;7017;Cintalapa de Figueroa;64
Chiapas;7018;Coapilla;1
Chiapas;7019;Comitán de Domínguez;110
Chiapas;7020;La Concordia;6
Chiapas;7021;Copainalá;4
Chiapas;7022;Chalchihuitán;0
Chiapas;7023;Chamula;9
Chiapas;7024;Chanal;0
Chiapas;7025;Chapultenango;3
Chiapas;7026;Chenalhó;20
Chiapas;7027;Chiapa de Corzo;71
Chiapas;7028;Chiapilla;1
Chiapas;7029;Chicoasén;0
Chiapas;7030;Chicomuselo;0
Chiapas;7031;Chilón;23
Chiapas;7032;Escuintla;12
Chiapas;7033;Francisco León;1
Chiapas;7034;Frontera Comalapa;15
Chiapas;7035;Frontera Hidalgo;2
Chiapas;7036;La Grandeza;1
Chiapas;7037;Huehuetán;28
Chiapas;7038;Huixtán;3
Chiapas;7039;Huitiupán;2
Chiapas;7040;Huixtla;54
Chiapas;7041;La Independencia;3
Chiapas;7042;Ixhuatán;9
Chiapas;7043;Ixtacomitán;2
Chiapas;7044;Ixtapa;3
Chiapas;7045;Ixtapangajoya;3
Chiapas;7046;Jiquipilas;30
Chiapas;7047;Jitotol;1
Chiapas;7048;Juárez;14
Chiapas;7049;Larráinzar;7
Chiapas;7050;La Libertad;2
Chiapas;7051;Mapastepec;23
Chiapas;7052;Las Margaritas;21
Chiapas;7053;Mazapa de Madero;0
Chiapas;7054;Mazatán;30
Chiapas;7055;Metapa;2
Chiapas;7056;Mitontic;0
Chiapas;7057;Motozintla;33
Chiapas;7058;Nicolás Ruíz;1
Chiapas;7059;Ocosingo;72
Chiapas;7060;Ocotepec;3
Chiapas;7061;Ocozocoautla de Espinosa;101
Chiapas;7062;Ostuacán;6
Chiapas;7063;Osumacinta;1
Chiapas;7064;Oxchuc;5
Chiapas;7065;Palenque;79
Chiapas;7066;Pantelhó;2
Chiapas;7067;Pantepec;1
Chiapas;7068;Pichucalco;16
Chiapas;7069;Pijijiapan;16
Chiapas;7070;El Porvenir;1
Chiapas;7071;Villa Comaltitlán;18
Chiapas;7072;Pueblo Nuevo Solistahuacán;14
Chiapas;7073;Rayón;1
Chiapas;7074;Reforma;67
Chiapas;7075;Las Rosas;3
Chiapas;7076;Sabanilla;4
Chiapas;7077;Salto de Agua;10
Chiapas;7078;San Cristóbal de las Casas;159
Chiapas;7079;San Fernando;12
Chiapas;7080;Siltepec;7
Chiapas;7081;Simojovel;10
Chiapas;7082;Sitalá;1
Chiapas;7083;Socoltenango;2
Chiapas;7084;Solosuchiapa;8
Chiapas;7085;Soyaló;2
Chiapas;7086;Suchiapa;22
Chiapas;7087;Suchiate;36
Chiapas;7088;Sunuapa;0
Chiapas;7089;Tapachula;466
Chiapas;7090;Tapalapa;1
Chiapas;7091;Tapilula;5
Chiapas;7092;Tecpatán;3
Chiapas;7093;Tenejapa;4
Chiapas;7094;Teopisca;4
Chiapas;7096;Tila;16
Chiapas;7097;Tonalá;48
Chiapas;7098;Totolapa;0
Chiapas;7099;La Trinitaria;13
Chiapas;7100;Tumbalá;3
Chiapas;7101;Tuxtla Gutiérrez;661
Chiapas;7102;Tuxtla Chico;51
Chiapas;7103;Tuzantán;28
Chiapas;7104;Tzimol;7
Chiapas;7105;Unión Juárez;4
Chiapas;7106;Venustiano Carranza;6
Chiapas;7107;Villa Corzo;16
Chiapas;7108;Villaflores;51
Chiapas;7109;Yajalón;15
Chiapas;7110;San Lucas;1
Chiapas;7111;Zinacantán;7
Chiapas;7112;San Juan Cancuc;14
Chiapas;7113;Aldama;1
Chiapas;7114;Benemérito de las Américas;8
Chiapas;7115;Maravilla Tenejapa;1
Chiapas;7116;Marqués de Comillas;2
Chiapas;7117;Montecristo de Guerrero;0
Chiapas;7118;San Andrés Duraznal;0
Chiapas;7119;Santiago el Pinar;0
Chiapas;7120;Capitán Luis Ángel Vidal;1
Chiapas;7121;Rincón Chamula San Pedro;4
Chiapas;7122;El Parral;4
Chiapas;7123;Emiliano Zapata;2
Chiapas;7124;Mezcalapa;14
Chiapas;7125;Honduras de la Sierra;2
Chiapas;7999;No especificado;0
Chihuahua;8001;Ahumada;57
Chihuahua;8002;Aldama;138
Chihuahua;8003;Allende;28
Chihuahua;8004;Aquiles Serdán;32
Chihuahua;8005;Ascensión;133
Chihuahua;8006;Bachíniva;20
Chihuahua;8007;Balleza;36
Chihuahua;8008;Batopilas de Manuel Gómez Morín;3
Chihuahua;8009;Bocoyna;148
Chihuahua;8010;Buenaventura;67
Chihuahua;8011;Camargo;265
Chihuahua;8012;Carichí;9
Chihuahua;8013;Casas Grandes;62
Chihuahua;8014;Coronado;3
Chihuahua;8015;Coyame del Sotol;6
Chihuahua;8016;La Cruz;4
Chihuahua;8017;Cuauhtémoc;1641
Chihuahua;8018;Cusihuiriachi;25
Chihuahua;8019;Chihuahua;6452
Chihuahua;8020;Chínipas;11
Chihuahua;8021;Delicias;990
Chihuahua;8022;Dr. Belisario Domínguez;12
Chihuahua;8023;Galeana;28
Chihuahua;8024;Santa Isabel;22
Chihuahua;8025;Gómez Farías;18
Chihuahua;8026;Gran Morelos;9
