Bien jurídico afectado;(Todas);;
Tipo de delito;(Todas);;
Subtipo de delito;(Todas);;
Modalidad;(Todas);;
Sexo;(Todas);;
Rango de edad;(Todas);;
;;;
Suma de Total;;;Etiquetas de columna
Etiquetas de fila;Cve# Municipio;Municipio;2026
Aguascalientes;1001;Aguascalientes;10973
Aguascalientes;1002;Asientos;367
Aguascalientes;1003;Calvillo;391
Aguascalientes;1004;Cosío;138
Aguascalientes;1005;Jesús María;1326
Aguascalientes;1006;Pabellón de Arteaga;460
Aguascalientes;1007;Rincón de Romos;452
Aguascalientes;1008;San José de Gracia;88
Aguascalientes;1009;Tepezalá;183
Aguascalientes;1010;El Llano;227
Aguascalientes;1011;San Francisco de los Romo;739
Aguascalientes;1999;No especificado;0
Baja California;2001;Ensenada;4238
Baja California;2002;Mexicali;10805
Baja California;2003;Tecate;1213
Baja California;2004;Tijuana;11829
Baja California;2005;Playas de Rosarito;1052
Baja California;2006;San Quintín;717
Baja California;2007;San Felipe;278
Baja California;2999;No especificado;0
Baja California Sur;3001;Comondú;514
Baja California Sur;3002;Mulegé;511
Baja California Sur;3003;La Paz;3687
Baja California Sur;3008;Los Cabos;3837
Baja California Sur;3009;Loreto;200
Baja California Sur;3999;No especificado;0
Campeche;4001;Calkiní;72
Campeche;4002;Campeche;670
Campeche;4003;Carmen;279
Campeche;4004;Champotón;318
Campeche;4005;Hecelchakán;38
Campeche;4006;Hopelchén;37
Campeche;4007;Palizada;5
Campeche;4008;Tenabo;6
Campeche;4009;Escárcega;30
Campeche;4010;Calakmul;5
Campeche;4011;Candelaria;20
Campeche;4012;Seybaplaya;31
Campeche;4013;Dzitbalché;43
Campeche;4999;No especificado;0
Chiapas;7001;Acacoyagua;9
Chiapas;7002;Acala;16
Chiapas;7003;Acapetahua;14
Chiapas;7004;Altamirano;9
Chiapas;7005;Amatán;6
Chiapas;7006;Amatenango de la Frontera;3
Chiapas;7007;Amatenango del Valle;1
Chiapas;7008;Ángel Albino Corzo;9
Chiapas;7009;Arriaga;44
Chiapas;7010;Bejucal de Ocampo;0
Chiapas;7011;Bella Vista;1
Chiapas;7012;Berriozábal;44
Chiapas;7013;Bochil;8
Chiapas;7014;El Bosque;3
Chiapas;7015;Cacahoatán;27
Chiapas;7016;Catazajá;8
Chiapas;7017;Cintalapa de Figueroa;65
Chiapas;7018;Coapilla;1
Chiapas;7019;Comitán de Domínguez;130
Chiapas;7020;La Concordia;8
Chiapas;7021;Copainalá;4
Chiapas;7022;Chalchihuitán;0
Chiapas;7023;Chamula;10
Chiapas;7024;Chanal;0
Chiapas;7025;Chapultenango;3
Chiapas;7026;Chenalhó;22
Chiapas;7027;Chiapa de Corzo;82
Chiapas;7028;Chiapilla;1
Chiapas;7029;Chicoasén;0
Chiapas;7030;Chicomuselo;0
Chiapas;7031;Chilón;25
Chiapas;7032;Escuintla;15
Chiapas;7033;Francisco León;1
Chiapas;7034;Frontera Comalapa;19
Chiapas;7035;Frontera Hidalgo;2
Chiapas;7036;La Grandeza;1
Chiapas;7037;Huehuetán;29
Chiapas;7038;Huixtán;3
Chiapas;7039;Huitiupán;2
Chiapas;7040;Huixtla;60
Chiapas;7041;La Independencia;3
Chiapas;7042;Ixhuatán;9
Chiapas;7043;Ixtacomitán;2
Chiapas;7044;Ixtapa;3
Chiapas;7045;Ixtapangajoya;3
Chiapas;7046;Jiquipilas;43
Chiapas;7047;Jitotol;2
Chiapas;7048;Juárez;14
Chiapas;7049;Larráinzar;7
Chiapas;7050;La Libertad;2
Chiapas;7051;Mapastepec;25
Chiapas;7052;Las Margaritas;22
Chiapas;7053;Mazapa de Madero;0
Chiapas;7054;Mazatán;37
Chiapas;7055;Metapa;2
Chiapas;7056;Mitontic;0
Chiapas;7057;Motozintla;39
Chiapas;7058;Nicolás Ruíz;1
Chiapas;7059;Ocosingo;98
Chiapas;7060;Ocotepec;3
Chiapas;7061;Ocozocoautla de Espinosa;109
Chiapas;7062;Ostuacán;6
Chiapas;7063;Osumacinta;1
Chiapas;7064;Oxchuc;5
Chiapas;7065;Palenque;87
Chiapas;7066;Pantelhó;3
Chiapas;7067;Pantepec;1
Chiapas;7068;Pichucalco;18
Chiapas;7069;Pijijiapan;16
Chiapas;7070;El Porvenir;1
Chiapas;7071;Villa Comaltitlán;18
Chiapas;7072;Pueblo Nuevo Solistahuacán;17
Chiapas;7073;Rayón;1
Chiapas;7074;Reforma;90
Chiapas;7075;Las Rosas;3
Chiapas;7076;Sabanilla;4
Chiapas;7077;Salto de Agua;10
Chiapas;7078;San Cristóbal de las Casas;167
Chiapas;7079;San Fernando;14
Chiapas;7080;Siltepec;8
Chiapas;7081;Simojovel;11
Chiapas;7082;Sitalá;1
Chiapas;7083;Socoltenango;2
Chiapas;7084;Solosuchiapa;8
Chiapas;7085;Soyaló;2
Chiapas;7086;Suchiapa;22
Chiapas;7087;Suchiate;36
Chiapas;7088;Sunuapa;0
Chiapas;7089;Tapachula;518
Chiapas;7090;Tapalapa;1
Chiapas;7091;Tapilula;5
Chiapas;7092;Tecpatán;3
Chiapas;7093;Tenejapa;5
Chiapas;7094;Teopisca;4
Chiapas;7096;Tila;19
Chiapas;7097;Tonalá;55
Chiapas;7098;Totolapa;0
Chiapas;7099;La Trinitaria;20
Chiapas;7100;Tumbalá;3
Chiapas;7101;Tuxtla Gutiérrez;746
Chiapas;7102;Tuxtla Chico;65
Chiapas;7103;Tuzantán;32
Chiapas;7104;Tzimol;10
Chiapas;7105;Unión Juárez;4
Chiapas;7106;Venustiano Carranza;7
Chiapas;7107;Villa Corzo;20
Chiapas;7108;Villaflores;62
Chiapas;7109;Yajalón;16
Chiapas;7110;San Lucas;1
Chiapas;7111;Zinacantán;7
Chiapas;7112;San Juan Cancuc;15
Chiapas;7113;Aldama;1
Chiapas;7114;Benemérito de las Américas;8
Chiapas;7115;Maravilla Tenejapa;1
Chiapas;7116;Marqués de Comillas;2
Chiapas;7117;Montecristo de Guerrero;0
Chiapas;7118;San Andrés Duraznal;0
Chiapas;7119;Santiago el Pinar;0
Chiapas;7120;Capitán Luis Ángel Vidal;1
Chiapas;7121;Rincón Chamula San Pedro;5
Chiapas;7122;El Parral;17
Chiapas;7123;Emiliano Zapata;3
Chiapas;7124;Mezcalapa;14
Chiapas;7125;Honduras de la Sierra;2
Chiapas;7999;No especificado;0
Chihuahua;8001;Ahumada;64
Chihuahua;8002;Aldama;173
Chihuahua;8003;Allende;31
Chihuahua;8004;Aquiles Serdán;38
Chihuahua;8005;Ascensión;161
Chihuahua;8006;Bachíniva;24
Chihuahua;8007;Balleza;42
Chihuahua;8008;Batopilas de Manuel Gómez Morín;5
Chihuahua;8009;Bocoyna;156
Chihuahua;8010;Buenaventura;75
Chihuahua;8011;Camargo;322
Chihuahua;8012;Carichí;9
Chihuahua;8013;Casas Grandes;72
Chihuahua;8014;Coronado;4
Chihuahua;8015;Coyame del Sotol;9
Chihuahua;8016;La Cruz;4
Chihuahua;8017;Cuauhtémoc;1839
Chihuahua;8018;Cusihuiriachi;27
Chihuahua;8019;Chihuahua;7356
Chihuahua;8020;Chínipas;12
Chihuahua;8021;Delicias;1112
Chihuahua;8022;Dr. Belisario Domínguez;16
Chihuahua;8023;Galeana;31
Chihuahua;8024;Santa Isabel;27
Chihuahua;8025;Gómez Farías;22
