FOLIO,MES,FECHA,DIA_SEM,HORA,MINUTOS,MUN_INC,TIPLOC_INC,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,EDIF,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1,VIAL_2,VIAL_P,DESTACAM,HORA_ROB,PROCESO,VIOLENCIA,ARMA_1,DETENIDO,PER_SOSP,ALIAS,T_VEH_SOS,VEH_SOSP,MEC_ROBO,MODALIDAD,TIPO_VEHIC,MARCA_AFEC,SUBMA_AFEC,ESTEREO,SONIDO,BATERIA,HERRAMIENT,LLANTAS,ACC_LLANTA,ROPA,CELULAR,TECNOLOGIA,BOLSO,DOCUMENTOS,DINERO,CANTIDAD,VARIOS,MONTO,RECUP_ART,CIERRE_PRE,OID,SUB_TIPO,INCIDENTE,LONG,LAT
312,ENERO,2018-01-01,LUNES,3,0,AGUASCALIENTES,URBANA,COLONIA,HEROES,522,AVENIDA,ALAMEDA,0,0,NULO,0,NULO,JUAN ESCUTIA,TENIENTE JUAN DE LA BARREREA,TENIENTE  JUAN DE LA BARRERA,TERAN SUR,MED_MD_A,NO,NO,NULO,0,0,0,0,0,CRISTAL,DAÑOS,AUTOMOVIL,NISSAN,TSURU,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,1,CRISTALAZO,ROBO DE AUTOPARTES,-102.27565291,21.88339112
1021,ENERO,2018-01-01,LUNES,16,12,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LA HUERTA,1113,CALLE,CHICHIMECO,NULO,0,NULO,0,NULO,HEROE DE NACOZARI SUR,NINGUNO,LICENCIADO ADOLFO LOPEZ MATEOS ORIENTE,MORELOS,MED_TAR_B,NO,NO,NULO,0,0,0,0,0,CRISTAL,PERSONALES,CAMIONETA,NISSAN,XTRAIL,0,0,0,0,0,0,0,1,0,1,1,1,0.000000,NULO,3500.000000,NO,,2,CRISTALAZO,ROBO DE AUTOPARTES,-102.28052648,21.87719216
1110,ENERO,2018-01-01,LUNES,17,47,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,PRADOS DEL SUR,1100,CALLE,AJUSCO,NULO,518,NULO,0,NULO,PICO DE ORIZABA,COFRE DE PEROTE,GERTRUDIS BOCANEGRA,INSURGENTES,MED_TAR_B,NO,NO,NULO,0,"1 PAREJA, HOMBRE PLAYERA NEGRA. MUJER VESTIDO AZUL0",0,0,0,CRISTAL,AUTOPARTES,SIN DATOS,SIN DATOS,SIN DATOS,1,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,3,CRISTALAZO,ROBO DE AUTOPARTES,-102.29910243,21.85702577
1791,ENERO,2018-01-02,MARTES,10,43,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,JARDINES DE LA CRUZ,716,PRIVADA,TERCERA CONVENCION,16,0,NULO,0,NULO,CONVENCION DE 1914 ORIENTE,TERCERA CONVENCION,SEGUNDA PRIVADA DE LA CONVENCION,MORELOS,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,AUTOPARTES,AUTOMOVIL,NISSAN,SENTRA,1,0,1,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,4,CRISTALAZO,ROBO DE AUTOPARTES,-102.27077250,21.87617743
2046,ENERO,2018-01-02,MARTES,16,16,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MUJERES ILUSTRES,602,CALLE,ANGELA PERALTA,0,213,NULO,0,NULO,MARGARITA MAZA DE JUAREZ,DE LA ALIANZA,AMALIA GOMEZ ZEPEDA,MORELOS,MED_MD_B,NO,NO,NULO,0,0,0,0,0,CRISTAL,DAÑOS,SIN DATOS,SIN DATOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,5,CRISTALAZO,ROBO DE AUTOPARTES,-102.24819229,21.84766084
2479,ENERO,2018-01-02,MARTES,22,57,AGUASCALIENTES,URBANA,CONDOMINIO,CENTRO COMERCIAL GALERIAS,844,AVENIDA,INDEPENDENCIA,0,0,NULO,0,NULO,MONTES HIMALAYA,NINGUNO,NINGUNO,POCITOS,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,PERSONALES,CAMIONETA,TOYOTA,TACOMA,0,0,0,0,0,0,0,0,0,1,0,0,0.000000,NULO,0.000000,NO,,6,CRISTALAZO,ROBO DE AUTOPARTES,-102.29779969,21.92263809
2874,ENERO,2018-01-03,MIERCOLES,14,3,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOS PIRULES,1053,ANDADOR,DE LAS BEGONIAS,2,0,ME,16,NULO,NINGUNO,DE LAS DALIAS,DE LAS AZUCENAS,INSURGENTES,MED_TAR_A,NO,NO,NULO,0,0,0,0,0,CRISTAL,DAÑOS,AUTOMOVIL,TOYOTA,COROLLA,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,7,CRISTALAZO,ROBO DE AUTOPARTES,-102.31964358,21.86943623
3426,ENERO,2018-01-04,JUEVES,0,30,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOS BOSQUES,780,CALLE,PASEO SIERRA HERMOSA,0,0,NULO,0,NULO,UNIVERSIDAD,MONTE EVEREST,SIERRA MADRE ORIENTAL,POCITOS,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,DAÑOS,AUTOMOVIL,FORD,FIGO,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,8,CRISTALAZO,ROBO DE AUTOPARTES,-102.31466348,21.91966300
3426,ENERO,2018-01-04,JUEVES,0,30,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOS BOSQUES,780,CALLE,PASEO SIERRA HERMOSA,0,0,NULO,0,NULO,UNIVERSIDAD,MONTE EVEREST,SIERRA MADRE ORIENTAL,POCITOS,SIN DATOS,NO,NO,NULO,0,0,0,0,0,CRISTAL,PERSONALES,AUTOMOVIL,FORD,FIESTA,0,0,0,0,0,0,0,0,1,0,0,0,0.000000,NULO,0.000000,NO,,9,CRISTALAZO,ROBO DE AUTOPARTES,-102.31461309,21.91967722
3479,ENERO,2018-01-04,JUEVES,2,26,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,RODOLFO LANDEROS GALLEGOS,459,CALLE,PAZ ROMO DE VIVAR,0,0,NULO,0,NULO,MARIA DE LOURDES FEMAT M,MARIA GUADALUPE TORRES E,PAULA DE J JOMENEZ DE YAÑEZ,TERAN NORTE,MED_MD_A,SI,NO,NULO,0,2 SUJETOS,0,0,0,CRISTAL,AUTOPARTES,CAMIONETA,SIN DATOS,SIN DATOS,0,1,0,0,0,0,0,0,0,0,0,0,0.000000,NULO,0.000000,NO,,10,CRISTALAZO,ROBO DE AUTOPARTES,-102.25653181,21.90289422
