FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,HORA,MINUTOS,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,DETENIDO,LESIONADO,T_VEH_SOS,DESCRIP,HORARIO,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,MEC_ROBO,MODALIDAD,TIPO_VEHIC,MARCA_AFEC,SUBMA_AFEC,CORP_ACUD,CIERRE_COR,OID,LONG,LAT
211375274,30411,AUTOPARTES,11,2021-11-15,46,1,8,40,1,FRACCIONAMIENTO,LAS VIÑAS,487,CALLE,FLORENCIA,0,NA,",,,",CIRCUITO,DE LA MOLIENDA,7,false,false,9,ND,ND,0,0,N,N,23,37,0,0,false,5,2,AUTOMOVIL,NISSAN,TSURU,1,13,1,-102.28405887,21.90048914
211378282,30411,AUTOPARTES,11,2021-11-15,46,1,23,23,1,FRACCIONAMIENTO,LAS AMERICAS,1114,CALLE,REPUBLICA DE PANAMA,0,NA,",,,",CALLE,REPUBLICA DE ARGENTINA,2,false,false,9,ND,ND,0,0,N,N,27,6,0,0,false,1,1,AUTOMOVIL,HONDA,ND,1,13,2,-102.29667640,21.86653250
211388484,30403,CRISTALAZO,11,2021-11-18,46,4,16,52,11,COLONIA,CENTRO,21,CALLE,JOSE MARIA MORELOS Y PAVON,0,NA,",,,",CALLE,FRANCISCO I MADERO,7,false,false,9,ND,ND,0,0,N,N,22,39,0,0,false,4,5,CAMION,ND,ND,1,1,3,-102.27240978,22.07916545
211386575,30403,CRISTALAZO,11,2021-11-18,46,4,4,8,1,FRACCIONAMIENTO,LAS CUMBRES,441,CALLE,REFUGIO MIRANDA AGUAYO,0,NA,",,,",CALLE,CUATRO MILPAS,3,false,false,9,ND,ND,0,0,N,N,26,41,0,0,false,4,4,CAMIONETA,VOLKSWAGEN,SAVEIRO,1,1,4,-102.26569848,21.91101116
211393195,30411,AUTOPARTES,11,2021-11-19,46,5,20,34,11,FRACCIONAMIENTO,SAN JOSE DEL BARRANCO,7,CALLE,JUSTICIA,0,NA,",,,",CALLE,EMPLEO,7,false,false,9,ND,ND,0,0,N,N,23,"26,12,38",0,3000,false,3,1,CAMION,ND,ND,1,1,5,-102.26220209,22.07017160
211395664,30411,AUTOPARTES,11,2021-11-20,46,6,13,6,5,FRACCIONAMIENTO,VALLE DE MARGARITAS,1691,AVENIDA,A SAN ANTONIO DE LOS HORCONES,0,NA,",,,",AVENIDA,MARGARITAS,7,false,false,9,2 HOMBRES,ND,0,0,N,N,21,37,0,0,false,5,2,AUTOMOVIL,NISSAN,TSURU,1,13,6,-102.29374696,21.99288899
211396914,30411,AUTOPARTES,11,2021-11-20,46,6,18,46,1,FRACCIONAMIENTO,LAS AMERICAS,1114,AVENIDA,CONVENCION DE 1914 SUR,0,NA,",,,",CALLE,REPUBLICA DE URUGUAY,2,true,false,9,1 HOMBRE,ND,0,0,N,N,22,"27,22",0,0,true,1,2,AUTOMOVIL,ND,ND,1,4,7,-102.30151457,21.86647833
211396965,30411,AUTOPARTES,11,2021-11-20,46,6,19,1,11,FRACCIONAMIENTO,PIVA,1PR,CALLE,MUNICIPIO DE COSIO,0,NA,",,,",CALLE,MUNICIPIO DE PABELLON DE ARTEAGA,7,false,false,9,ND,ND,0,0,N,N,1,37,0,0,false,5,2,CAMIONETA,ND,ND,1,1,8,-102.28775721,21.96535936
211400521,30403,CRISTALAZO,11,2021-11-21,46,7,13,21,1,FRACCIONAMIENTO,EL REFUGIO DE PEÑUELAS,28P,CALLE,CAMINO REAL,0,NA,",,,",CALLE,EL SAUZ,2,false,false,9,ND,ND,0,0,N,N,27,39,0,0,false,4,5,CAMIONETA,ND,ND,1,2,9,-102.29307721,21.71662853
211381518,30411,AUTOPARTES,11,2021-11-16,46,2,20,37,1,FRACCIONAMIENTO,JARDINES DEL SUR,958,CALLE,PICO DE ROIZABA,0,NA,",,,",PROLONGACION,PASEO DE LA ASUNCION,2,false,false,9,ND,ND,0,0,N,N,23,12,0,0,false,1,2,AUTOMOVIL,FORD,ESCORT,1,6,10,-102.30059915,21.85876284
211382453,30411,AUTOPARTES,11,2021-11-17,46,3,2,47,11,FRACCIONAMIENTO,MONTE VERDE,350PR,CALLE,CULHUACAN,0,NA,",,,",AVENIDA,LA RIVERA,7,false,false,9,ND,ND,0,0,N,N,16,"23,46",0,0,false,1,2,CAMIONETA,NISSAN,PICK-UP,1,1,11,-102.25267458,21.95864734
211382517,30403,CRISTALAZO,11,2021-11-17,46,3,4,12,1,FRACCIONAMIENTO,MUJERES ILUSTRES,602,CALLE,CARMEN MACIAS DE LA PEÑA,0,NA,",,,",CALLE,DE LA ALIANZA,5,true,false,9,ND,ND,0,0,N,N,26,41,0,0,false,4,4,CAMIONETA,CHRYSLER,ND,1,1,12,-102.25141379,21.84776519
211382754,30411,AUTOPARTES,11,2021-11-17,46,3,7,47,5,FRACCIONAMIENTO,CHICAHUALES I,155,CALLE,DAVID GUARDADO,0,NA,",,,",CALLE,SANTIAGO APOSTOL,7,false,false,9,ND,ND,0,0,N,N,27,39,0,0,false,1,5,AUTOMOVIL,CHEVROLET,CHEVY,1,1,13,-102.35089325,21.94729609
211383017,30411,AUTOPARTES,11,2021-11-17,46,3,9,39,1,FRACCIONAMIENTO,OJOCALIENTE III,525,CALLE,OCOTE,0,NA,",,,",CALLE,GABRIEL MENDEZ,4,false,true,9,ND,ND,0,0,N,N,16,"27,26,3,11",0,14000,true,1,1,CAMIONETA,ND,ND,1,6,14,-102.24553566,21.87424288
211385641,30403,CRISTALAZO,11,2021-11-17,46,3,20,58,1,FRACCIONAMIENTO,LAS AMERICAS,114,CALLE,REPUBLICA DE PANAMA,0,NA,",,,",AVENIDA,LAS AMERICAS,2,true,false,9,1 HOMBRE,ND,0,0,N,N,23,39,0,0,false,4,5,AUTOMOVIL,VOLKSWAGEN,SEDAN,1,6,15,-102.30253740,21.86756740
211385944,30411,AUTOPARTES,11,2021-11-17,46,3,22,18,1,FRACCIONAMIENTO,HACIENDAS DE AGUASCALIENTES,410,AVENIDA,HACIENDA DE OJOCALIENTE,0,NA,",,,",AVENIDA,SIGLO XXI,4,false,false,9,ND,ND,0,0,N,N,24,"12,26,27",0,0,false,1,1,CAMIONETA,CHEVROLET,ND,1,1,16,-102.25093055,21.88774757
211386800,30411,AUTOPARTES,11,2021-11-18,46,4,7,30,1,FRACCIONAMIENTO,VNSA GUADALUPE,402,CALLE,JOSE FEMAT GUTIERREZ,0,NA,",,,",AVENIDA,JOSE DE JESUS GONZALEZ GARCIA,3,false,false,9,ND,ND,0,0,N,N,39,"24,12,26",0,5000,false,1,3,AUTOMOVIL,VOLKSWAGEN,CORDOBA,1,1,17,-102.25619710,21.93018206
211388472,30411,AUTOPARTES,11,2021-11-18,46,4,16,47,6,FRACCIONAMIENTO,PLUTARCO ELIAS CALLES,95,CALLE,DIONOSIO MARTINEZ TREJO,0,NA,",,,",CALLE,NARCISO PERALES AVILA MINA,7,false,false,9,ND,ND,0,0,N,N,22,25,0,0,false,2,2,CAMIONETA,FORD,EXPLORER,1,13,18,-102.28642132,22.14429124
211388712,30411,AUTOPARTES,11,2021-11-18,46,4,18,4,1,FRACCIONAMIENTO,JARDINES DE SANTA ELENA 2A SECCION,1046,CALLE,REPUBLICA MEXICANA,0,NA,",,,",AVENIDA,LAS AMERICAS,2,true,false,9,2 HOMBRES,ND,0,0,AUTOMOVIL,SEAT COLOR ROJO,22,"26,38,27",1000,0,false,1,1,AUTOMOVIL,CHEVROLET,AVEO,1,1,19,-102.30317424,21.86428882
211388730,30411,AUTOPARTES,11,2021-11-18,46,4,18,7,7,SIN TIPO,ZONA CENTRO,49,CALLE,MARIANO JIMENEZ,0,NA,",,,",CALLE,PROFESOR ENRIQUE OLIVARES SANTANA,7,false,false,9,ND,ND,0,0,N,N,22,"22,23",0,13000,false,1,2,CAMIONETA,CHEVROLET,ND,1,1,20,-102.33910299,22.17397679
211390130,30403,CRISTALAZO,11,2021-11-19,46,5,0,46,1,FRACCIONAMIENTO,MISION DEL CAMPANARIO,892,CALLE,MISION DEL CAMPANARIO,0,NA,"314,,,",CALLE,DE LA CALZADA,6,false,false,9,ND,ND,0,0,N,N,22,"26,11",0,50000,false,4,1,AUTOMOVIL,KIA,RIO,1,1,21,-102.31829907,21.93339574
211390378,30403,CRISTALAZO,11,2021-11-19,46,5,2,58,1,FRACCIONAMIENTO,GREMIAL,917,CALLE,JESUS CONSUELO,0,NA,",,,",CALLE,ALFREDO LEWIS,6,false,false,9,ND,ND,0,0,N,N,26,41,0,0,false,4,4,CAMIONETA,DODGE,VOYAGUER,1,1,22,-102.28745338,21.90074546
