FOLIO,FOLIO_REL,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,ID_ASEN,ID_COL,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,RANGO,HORARIO,PROCESO,VIOLENCIA,ARMA_US,ARMA,PER_SOSP,ALIAS,SEX_AGRE,SEX_AFEC,CAT_SOS,DETENIDO,DET_SPM,MOT_DET,LESION_AFE,LESION_PR,TRASL_HOSP,FALLECIDOS,T_VEH_SOS,DESCRIP,OBJ_ROBADO,HECHOS,CANTIDAD,MONTO,RECUP_ART,MEC_ROBO,MODALIDAD,TIPO_VEHIC,MARCA_AFEC,SUBMA_AFEC,CORP_ACUD,CIERRE_COR,DEN_CASIO,OID,LONG,LAT
242359991,0,50102,AUTOPARTES,12,2024-12-26,52,4,5,NINGUNO,CENTRO DE ABASTOS VIÐEDOS SAN MARCOS,1015,1015,AVENIDA,INDEPENDENCIA,0,NA,",,,",CALLE,SIN DATOS,7,22,38,24,21:30-23:59,true,false,9,Ninguna,1 HOMBRE,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,35,Gasolina,0.00000,0.000000,false,1,2,CAMION,ND,ND,1,13,0,1,-102.29253000,21.97322200
242374160,0,50102,AUTOPARTES,12,2024-12-29,52,7,1,BARRIO,EL ENCINO,517,517,CALLE,JOSE ORTIZ DE DOMINGUEZ,0,NA,",,,",AVENIDA,PASEO DE LA CRUZ,5,0,0,27,Sin datos,false,false,9,Ninguna,ND,ND,ND,H,8,1,ND,ND,0,0,false,0,N,N,24,Bateria,0.00000,0.000000,false,1,2,ND,ND,ND,1,4,0,2,-102.28890633,21.87334987
242316585,0,30904,AUTOPARTES,12,2024-12-21,51,6,1,ZONA,ZONA CENTRO,501,501,CALLE,GENERAL MIGUEL BARRAGAN,0,NA,",,,",CALLE,JESUS R MACIAS,1,17,15,22,15:30-18:59,true,false,9,Ninguna,1 HOMBRE,ND,ND,H,8,1,ND,ND,0,0,false,0,N,N,"31,38",Maleta. otros,0.00000,0.000000,false,1,1,CAMIONETA,ND,ND,1,4,0,3,-102.28972514,21.89179814
242333628,0,30422,AUTOPARTES,12,2024-12-23,52,1,1,FRACCIONAMIENTO,JARDINES DE SANTA ELENA 2A SECCION,143,143,CALLE,REPUBLICA DEL SALVADOR,0,NA,"1506,,,",CALLE,REPUBLICA MEXICANA,2,20,13,23,19:00-21:29,false,false,9,Ninguna,1 HOMBRE,ND,H,H,8,0,ND,ND,0,0,false,0,N,N,"26,3","Bolso, celular",0.00000,0.000000,false,3,1,AUTOMOVIL,ND,ND,1,1,0,4,-102.30568300,21.86488792
242328417,0,30411,AUTOPARTES,12,2024-12-23,52,1,1,FRACCIONAMIENTO,TROJES DEL COBANO,229,229,CALLE,TAMARINDO,0,NA,"307,,,",CALLE,F,3,23,45,24,21:30-23:59,false,false,9,Ninguna,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,24,Bateria,0.00000,0.000000,false,1,2,AUTOMOVIL,NISSAN,TSURU,1,1,0,5,-102.27927673,21.90894636
242328600,0,30403,AUTOPARTES,12,2024-12-23,52,1,6,COLONIA,ZONA CENTRO,1130,1130,CALLE,PONCIANO ARREAGA,0,NA,",,,",CALLE,16 DE SEPTIEMBRE SUR,7,0,29,25,00:00-02:59,false,false,9,Ninguna,ND,ND,ND,A,8,0,ND,ND,0,0,false,0,N,N,23,Equipo de sonido,0.00000,0.000000,false,1,2,CAMIONETA,CHEVROLET,BLAZER,1,1,0,6,-102.27511838,22.14578281
242328680,0,30403,AUTOPARTES,12,2024-12-23,52,1,6,COLONIA,ZONA CENTRO,1130,1130,CALLE,HEROICO COLEGIO MILITAR,0,NA,"5,,,",CALLE,PLUTARCO ELIAS CALLES,7,0,0,27,Sin datos,false,false,9,Ninguna,1 HOMBRE,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,23,Equipo de sonido,0.00000,6000.000000,false,4,2,CAMIONETA,CHEVROLET,ND,1,1,0,7,-102.28017152,22.14691820
242331046,0,30403,AUTOPARTES,12,2024-12-23,52,1,1,FRACCIONAMIENTO,JOSE LOPEZ PORTILLO,175,175,CALLE,JOSE MARIA BOCANEGRA,0,NA,",,,",CALLE,CORONEL VALENTE ARTEAGA,2,0,0,5,00:00-05:59,false,false,9,Ninguna,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,"26,38,11","Bolsa, otros, herramienta",0.00000,0.000000,false,4,1,AUTOMOVIL,NISSAN,VERSA,1,13,0,8,-102.32598312,21.85447800
242339296,0,30403,AUTOPARTES,12,2024-12-24,52,2,1,FRACCIONAMIENTO,GOMEZ,237,237,AVENIDA,DE LA CONVENCION DE 1914 PONIENTE,0,NA,",,,",AVENIDA,PRESBITERO DOCTOR SALVADOR QUEZADA LIMON,6,18,1,22,15:30-18:59,false,false,9,Ninguna,ND,ND,ND,H,8,0,ND,ND,0,0,false,0,N,N,28,Dinero,0.00000,0.000000,false,4,1,CAMIONETA,FORD,RANGER,1,1,0,9,-102.31269190,21.88535549
242344002,0,30411,AUTOPARTES,12,2024-12-25,52,3,1,FRACCIONAMIENTO,JESUS GOMEZ PORTUGAL,585,585,CALLE,CRUZ DEL SUR,0,NA,",,,",CALLE,VEGA,5,0,0,1,Dias solo,false,false,9,Ninguna,ND,ND,ND,M,8,0,ND,ND,0,0,false,0,N,N,24,Bateria,0.00000,0.000000,false,1,2,AUTOMOVIL,ND,ND,1,6,0,10,-102.26585079,21.87105590
242345554,0,30403,AUTOPARTES,12,2024-12-25,52,3,1,COLONIA,DEL CARMEN,236,236,CALLE,ALAMAN,0,NA,",,,",CALLE,LA LUZ,1,0,0,27,Sin datos,false,false,9,Ninguna,ND,ND,ND,M,8,0,ND,ND,0,0,false,0,N,N,"22,38","Autoestereo, otros",0.00000,0.000000,false,1,3,AUTOMOVIL,ND,ND,1,6,0,11,-102.30470065,21.88929220
