FOLIO,FOLIO_REL,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,INGRESO,DESHABITAD,PROCESO,VIOLENCIA,SEXO_AFEC,ARMA,PER_SOSP,ALIAS,SEXO_AGRE,CAT_SOS,DETENIDO,MOT_DET,DET_SPM,LESIONADO,FALLECIDOS,TRASL_HOSP,T_VEH_SOS,DESCRIP,REROBADO,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,LON,DEN_CASIO,OID,LONG,LAT
230001597,0,30414,ROBO A CASA,1,2023-01-01,1,7,1,FRACCIONAMIENTO,MORELOS II,188,CALLE,MEXICO LIBRE,NA,NA,"1106,,,",CALLE,HERRERA,5,0,0,25,4,NO,false,false,M,9,ND,ALBERTO PEÑALOZA NIEVES 27 AÑOS,H,8,1,SD,ND,0,0,false,N,N,NO,"5,14,21,24",0,0,true,1,1,-102.26450000,,1,-102.26450675,21.85070907
230001747,0,30414,ROBO A CASA,1,2023-01-01,1,7,11,RURAL,PUERTECITO DE LA VIRGEN,1333,CALLE,LUIS ECHEVERRIA,NA,NA,"304,,,",CALLE,NIÑOS HEROES,7,0,0,25,4,NO,false,false,M,9,VECINO,ND,H,6,0,N,N,0,0,false,N,N,NO,"10,15,28,38",27000,39000,false,1,1,-102.26740000,,2,-102.26745429,21.95694662
230002696,0,30414,ROBO A CASA,1,2023-01-01,1,7,6,COLONIA,ZONA CENTRO,1130,CALLE,FRANCISCO I MADERO SUR,NA,NA,"45,,,",CALLE,HEROE DE NACOZARI,7,4,30,26,4,NO,false,false,M,9,2 HOMBRES,ND,H,8,0,N,N,0,0,false,N,N,NO,1,0,17000,false,1,1,-102.27380000,,3,-102.27383274,22.14619494
230003196,0,30414,ROBO A CASA,1,2023-01-01,1,7,1,FRACCIONAMIENTO,EL DORADO 1A SECCION,159,CALLE,NEVADO DE COLIMA,NA,NA,"429,,,",AVENIDA,AGUASCALIENTES SUR,2,0,0,6,9,NO,false,false,M,9,ND,ND,ND,8,0,N,N,0,0,false,N,N,NO,"11,24",0,0,false,1,1,-102.30080000,,4,-102.30087626,21.85952624
230003327,0,30414,ROBO A CASA,1,2023-01-01,1,7,1,COMUNIDAD,EL CONEJAL,2,CALLE,ZENZONTLE,NA,NA,"100,,,",CALLE,GORREON,4,0,0,20,5,NO,false,false,M,9,1 HOMBRE,EL GORDO,H,8,0,N,N,0,0,false,MOTOCICLETA,VERDE,NO,3,0,4000,false,1,2,-102.20950000,,5,-102.20959220,21.91953089
230004305,0,30414,ROBO A CASA,1,2023-01-01,1,7,1,FRACCIONAMIENTO,VISTA ALEGRE,640,CALLE,EL FLOREO,NA,NA,"211,,,",CALLE,LA MANGANA,5,0,0,5,8,NO,false,false,H,9,ND,ND,ND,8,0,N,N,0,0,false,N,N,NO,"1,5,8,9",0,20000,false,1,1,-102.27630000,,6,-102.27639860,21.78927399
230004612,0,30414,ROBO A CASA,1,2023-01-01,1,7,1,FRACCIONAMIENTO,JOSE GUADALUPE PERALTA GAMEZ,334,CALLE,GERARDO MARIN MARTINEZ,NA,NA,"153,,,",CALLE,DECIDERIO MACIA SILVA,4,0,0,3,4,NO,false,false,M,9,ND,ND,ND,8,0,N,N,0,0,false,N,N,NO,"1,5",0,15000,false,1,6,-102.24040000,,7,-102.24044304,21.87156834
230005763,0,30414,ROBO A CASA,1,2023-01-01,1,8,11,FRACCIONAMIENTO,URBIVILLA DEL VERGEL,1329,CALLE,SAN DIEGO PONIENTE,NA,NA,"219,,,",AVENIDA,SAN JERONIMO,7,0,0,1,3,DESHABITADA,false,false,M,9,ND,ND,ND,8,0,N,N,0,0,false,N,N,NO,"1,8,9,10",0,70000,false,1,1,-102.27690000,,8,-102.27694774,22.02984232
230005767,0,30414,ROBO A CASA,1,2023-01-01,1,8,1,FRACCIONAMIENTO,LAS AMERICAS,262,CALLE,REPUBLICA DOMINICANA,NA,NA,"208,,,",AVENIDA,QUINTA AVENIDA,2,0,0,27,4,NO,false,false,H,9,ND,ND,ND,8,0,N,N,0,0,false,N,N,NO,6,0,10000,false,1,1,-102.29740000,,9,-102.29740988,21.86733114
230001974,0,50102,ROBO A CASA,1,2023-01-01,1,7,11,FRACCIONAMIENTO,LA RIBERA,1340,CALLE,TEXCOCO,NA,NA,"1801,,,",CALLE,NAPIZARO,7,4,4,26,9,NO,false,false,M,9,ND,ND,H,8,0,N,N,0,0,false,N,N,NO,"11,13,20",0,0,false,1,1,-102.24740000,,10,-102.24740052,21.95530426
