FOLIO,MES,FECHA,DIA_SEM,MUNICIPIO,LOCALIDAD,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,ED_INC,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1_INC,VIAL_2_INC,VIAL_P_INC,HORA,MINUTOS,H_DIAS_S,H_MR_0_6,H_M_6_12,H_T_12_19,H_N_19_24,H_MR_MA,H_MR_TAR,H_MR_NO,H_MAN_TAR,H_MAN_NOC,H_MAN_MR,H_TAR_MR,H_TAR_MA,H_TAR_NOC,H_NOC_MR,H_NOC_MA,H_NOC_TA,H_DIA_SOLA,H_MED_MA_A,H_MED_MA_B,H_MED_TA_A,H_MED_TA_B,H_MED_NO_A,H_MED_NO_B,H_MED_MR_A,H_MED_MR_B,SIN_DAT,EN_PROCESO,C_VIOLENC,TIPO_ARMA,DETENIDO,SOSPECHOSO,FERIA,I_AZOTEA,I_DOMO,I_PAR_TRAS,I_PAR_DELA,I_VENTANA,I_BOQUETE,SIN_INF,DINERO,CANTIDAD,PANTALLA,COMPUTO,CELULAR,DVD_BLU,EST_TEA_BO,TECNOLOG,SE_TV_PAGA,ELECTRODOM,MOBILIARIO,ACABADOS,HERRAM,ROPA,JUGUETERIA,BICI_TRIC,JOYERIA,UTENS_COC,CAJAFUERTE,ACC_VEHIC,TANQUE_GAS,MAT_CONSTR,MASCOTAS,VEHICULO,OTROS,SIN_DATOS,MONTO_APRO,OID,DELEGACION,INCIDENTE,LONG,LAT
1071,ENERO,2016-01-01,VIERNES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,TIZAPAN,0,206,NULO,0,NULO,RIBERA DE CHAPALA,COYOACAN,TUXCUECA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,1,SAN FRANCISCO,Robo a casa habitación,-102.25391299,21.95652040
9223,ENERO,2016-01-12,MIERCOLES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,URICHO,0,404,NULO,10,NULO,CULHUACAN,SIN DATOS,SIN DATOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,SAN FRANCISCO,Robo a casa habitación,-102.25154019,21.95827877
25511,FEBRERO,2016-02-03,MIERCOLES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,SAN ANTONIO TLAYAPAN,0,424,NULO,1,NULO,TEXCOCO,CULHUCAN,NAPIZARO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,7000,3,SAN FRANCISCO,Robo a casa habitación,-102.24728548,21.95482247
25985,FEBRERO,2016-02-04,JUEVES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,AVENIDA,LA RIBERA,0,1505,NULO,4,NULO,URICHO,SIN DATOS,COYOACAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO,NO,NO,NO,NO,,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,12000,4,SAN FRANCISCO,Robo a casa habitación,-102.25251202,21.95851585
29213,FEBRERO,2016-02-08,LUNES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,AVENIDA,RIBERA DE CHAPALA,0,1105,NULO,4,NULO,SIN DATOS,SIN DATOS,SIN  DATOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO,NO,NO,NO,NO,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3000,5,SAN FRANCISCO,Robo a casa habitación,-102.25401457,21.95572562
31875,FEBRERO,2016-02-12,VIERNES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,SAN JUAN COSALA,0,410,NULO,0,NULO,CULHUACAN,TEXCOCO,ZAOCALCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO,NO,NO,NO,NO,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,6,SAN FRANCISCO,Robo a casa habitación,-102.24846328,21.95505428
56954,MARZO,2016-03-14,LUNES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,SANTIAGO,0,303,NULO,0,NULO,COYOACAN,CULHUACAN,PONCITLAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5000,7,SAN FRANCISCO,Robo a casa habitación,-102.25143298,21.95661031
59414,MARZO,2016-03-17,JUEVES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,CAJITITLAN,0,512,NULO,1,NULO,TENAYUCA,TEXCOCO,CHAPALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NO,NO,NO,NO,NO,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,SAN FRANCISCO,Robo a casa habitación,-102.24666876,21.95693637
86964,ABRIL,2016-04-19,MARTES,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,CAJITITLAN,0,503,NULO,3,NULO,TEXCOCO,TENAYUCA,ZACOALCO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NO,NO,NO,NO,NO,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,SAN FRANCISCO,Robo a casa habitación,-102.24754605,21.95640892
108726,MAYO,2016-05-14,SABADO,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,TIZAPAN,0,0,SD,0,NULO,COYOACAN,CULHUACAN,URICHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NO,NO,NO,NO,WINDSTAR,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,SAN FRANCISCO,Robo a casa habitación,-102.25239742,21.95729152
