FOLIO,FOLIO_REL,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,ID_ASEN,ID_COL,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,RANGO,HORARIO,PROCESO,VIOLENCIA,ARMA_US,ARMA,PER_SOSP,ALIAS,SEX_AGRE,SEX_AFEC,CAT_SOS,DETENIDO,DET_SPM,MOT_DET,LESION_AFE,LESION_PR,TRASL_HOSP,FALLECIDOS,T_VEH_SOS,DESCRIP,OBJ_ROBADO,HECHOS,CANTIDAD,MONTO,RECUP_ART,MEC_ROBO,MODALIDAD,TIPO_VEHIC,MARCA_AFEC,SUBMA_AFEC,CORP_ACUD,CIERRE_COR,DEN_CASIO,LONG,LAT,OID
250002643,0,30446,AUTOPARTES,1,01/01/2025,1,3,1,FRACCIONAMIENTO,MORELOS I,598,598,CALLE,HERMANOS GALEANA,0,NA,"837,,,",CALLE,CONGRESO DE CHILPANCINGO,5,3,8,25,00:00-02:59,Falso,Falso,9,Ninguna,2 HOMBRES,ND,ND,A,8,0,ND,ND,0,0,Falso,0,N,N,"31,26,28,38,27","Mochila, dinero,bolso, documentos, otros",15000,0,Falso,3,1,AUTOMOVIL,ND,ND,1,13,0,-102.26414,21.855,1034
250002633,0,30411,AUTOPARTES,1,01/01/2025,1,3,1,FRACCIONAMIENTO,OJOCALIENTE III,191,191,CALLE,GABRIEL GARCIA MARQUEZ,0,NA,",,,",CALLE,SAN PEDRO,4,3,46,26,03:00-05:59,Falso,Falso,9,Ninguna,ND,ND,ND,H,8,0,ND,ND,0,0,Falso,0,N,N,27,Documentos,0,0,Falso,1,2,AUTOMOVIL,ND,ND,1,1,0,-102.24456,21.874631,1054
250005021,0,30403,AUTOPARTES,1,01/01/2025,1,3,1,FRACCIONAMIENTO,TROJES DEL SUR,152,152,CALLE,PARQUE DE LOS NOGALES ORIENTE,0,NA,",,,",CALLE,PARQUE DE LOS NOGALES SUR,2,0,0,16,19:00-11:59,Falso,Falso,9,Ninguna,ND,ND,ND,H,8,0,ND,ND,0,0,Falso,0,N,N,2,Computo,0,5000,Falso,1,1,CAMIONETA,FORD,RANGER,1,23,3712,-102.29505,21.84645,1055
250006153,0,30411,AUTOPARTES,1,01/01/2025,1,3,1,COLONIA,OBRAJE,518,518,CALLE,ANAHUAC,0,NA,"102,,,",AVENIDA,JOSE MARIA CHAVEZ,1,0,0,27,Sin datos,Falso,Falso,9,Ninguna,ND,ND,ND,M,8,0,ND,ND,0,0,Falso,0,N,N,24,Bateria,0,0,Falso,1,2,CAMIONETA,CHEVROLET,F10,1,23,3713,-102.2956,21.872077,1056
250021324,0,30446,AUTOPARTES,1,03/01/2025,1,5,1,COMUNIDAD,LOMA DE LOS NEGRITOS,389,389,CALLE,BENITO GALINDO ESPARZA,0,NA,",,,",CALLE,JESUS SANDOVAL,2,20,37,23,19:00-21:29,Falso,Falso,9,Ninguna,1 HOMBRE,EL MELE,ND,H,8,0,ND,ND,0,0,Falso,0,N,N,14,Bicicleta,0,0,Falso,2,1,CAMIONETA,ND,ND,1,1,0,-102.34969,21.870046,1025
250021636,0,30411,AUTOPARTES,1,03/01/2025,1,5,1,FRACCIONAMIENTO,LA LOMITA,270,270,CALLE,PALMILLAS,0,NA,",,,",CALLE,PALMA DE GUADALUPE,5,0,0,27,Sin datos,Falso,Falso,9,Ninguna,1 HOMBRE,FAMILIA,H,H,5,0,ND,ND,0,0,Falso,0,N,N,24,Bateria,0,0,Falso,1,2,CAMIONETA,FORD,EXPLORER,1,13,0,-102.24118,21.861101,1039
250022438,0,30411,AUTOPARTES,1,03/01/2025,1,5,1,FRACCIONAMIENTO,BULEVAR,156,156,CALLE,LUIS ADOLFO,0,NA,",,,",CALLE,HERNAN GONZALEZ,5,0,0,24,21:30-23:59,Falso,Falso,9,Ninguna,ND,ND,ND,M,8,0,ND,ND,0,0,Falso,0,N,N,"24,25","Bateria, llanta",0,0,Falso,1,2,AUTOMOVIL,VOLKSWAGEN,JETTA,1,1,0,-102.29366,21.868087,1040
250018436,0,30411,AUTOPARTES,1,03/01/2025,1,5,1,FRACCIONAMIENTO,OJOCALIENTE III,191,191,CALLE,ESTACION CAÑADA,0,NA,"514,,,",CALLE,EL CUERVERO,4,0,0,17,19:00-12:00,Falso,Falso,9,Ninguna,ND,ND,ND,M,8,0,ND,ND,0,0,Falso,0,N,N,47,Mercancia,0,0,Falso,1,1,CAMIONETA,CHEVROLET,CHEYENNE,1,1,0,-102.24583,21.878045,1057
250025385,0,30446,AUTOPARTES,1,04/01/2025,1,6,1,FRACCIONAMIENTO,OJOCALIENTE III,191,191,CALLE,LA BARRANCA,0,NA,",,,",CALLE,OCOTE,4,15,5,21,12:00-15:29,Verdadero,Falso,9,Ninguna,1 HOMBRE,ND,H,H,8,0,ND,ND,0,0,Falso,0,N,N,"36,28,27","Cartera, dinero, documentos",4500,0,Falso,3,1,AUTOMOVIL,NISSAN,SENTRA,1,6,0,-102.24624,21.875282,1026
250023057,0,30403,AUTOPARTES,1,04/01/2025,1,6,5,CONDOMINIO,CAMPESTRE INGLES,953,953,CALLE,MIGUEL DE LA MADRID,0,NA,",,,",CALLE,JOSE LOPEZ PORTILLO,7,2,12,25,00:00-02:59,Verdadero,Falso,9,Ninguna,1 HOMBRE,ND,H,H,8,0,ND,ND,0,0,Falso,0,N,N,27,Documentos,0,0,Falso,1,1,AUTOMOVIL,MAZDA,ND,1,1,0,-102.33174,21.947831,1041
