FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,INGRESO,DESHABITAD,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,DETENIDO,MOT_DET,LESIONADO,T_VEH_SOS,DESCRIP,REROBADO,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,LON,OID,LONG,LAT
210000271,30414,ROBO A CASA,1,2021-01-01,0,5,5,FRACCIONAMIENTO,BUENAVISTA,198,CALLE,ROSAL,NA,NA,"103,,,",CALLE,CHUCATA,7,0,0,27,9,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,"1,12",0,0,false,1,1,-102.35770000,1,-102.35774030,21.96982939
210000449,30414,ROBO A CASA,1,2021-01-01,0,5,1,FRACCIONAMIENTO,HACIENDAS DE AGUASCALIENTES,410,CALLE,HACIENDA LAS AMARILLAS,NA,NA,"203,,,",CALLE,HACIENDA EL MEZQUITE,4,0,0,25,4,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,"1,6,8,11,21",0,17000,false,1,1,-102.24680000,2,-102.24681530,21.88593613
210000493,30414,ROBO A CASA,1,2021-01-01,0,5,1,CONDOMINIO,RESIDENCIAL GUADALUPE,649,CALLE,MONTEBELLO,NA,NA,"108,,,",AVENIDA,DE LOS ARELLANO,6,0,0,15,5,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,12,0,20000,false,1,1,-102.31410000,3,-102.31410086,21.88747057
210000708,30414,ROBO A CASA,1,2021-01-01,0,5,1,FRACCIONAMIENTO,OJOCALIENTE III,525,CALLE,EL TURICATE,NA,NA,"313,,,",CALLE,LA GLORIA,4,0,0,15,5,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,28,400000,400000,false,1,1,-102.24410000,4,-102.24412161,21.87795638
210000710,30414,ROBO A CASA,1,2021-01-01,0,5,1,FRACCIONAMIENTO,REAL DEL SOL,492R,CIRCUITO,TELESCOPIO,NA,NA,"220,B,,",CIRCUITO,TELESCOPIO,4,0,0,12,6,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,"1,12,18",0,12000,false,1,1,-102.23430000,5,-102.23437438,21.89123959
210000845,30414,ROBO A CASA,1,2021-01-01,0,5,5,FRACCIONAMIENTO,PUERTA GRANDE,162,CALLE,TEJELA,NA,NA,"111,,,",PRIVADA,BAUTISTA,7,0,0,15,4,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,"2,15",0,30000,false,1,1,-102.34190000,6,-102.34197009,21.94359678
210000848,30414,ROBO A CASA,1,2021-01-01,0,5,5,CONDOMINIO,VIÑA ANTIGUA,354P,PRIVADA,DE LA REINA,NA,NA,"109,,,",CALLE,RIO MORCINIQUE,7,0,0,15,4,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,"11,14",0,12000,false,1,1,-102.31200000,7,-102.31201125,21.95178332
210000884,30414,ROBO A CASA,1,2021-01-01,0,5,1,FRACCIONAMIENTO,VISTAS DE ORIENTE,489,CALLE,CATARATAS DEL NIAGARA,NA,NA,"118,,,",CALLE,CATARATAS DEL NIAGARA 110,4,0,0,27,5,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,"2,3,28",4000,10000,false,1,1,-102.23450000,8,-102.23454524,21.88224423
210001104,30414,ROBO A CASA,1,2021-01-01,0,5,1,FRACCIONAMIENTO,RINCONADA DEL PUERTECITO,508R,CALLE,RODRIGO RINCON GALLARDO 802,NA,NA,"105,,,",CALLE,RODRIGO RINCON GALLARDO 7001,3,0,0,15,4,NO,false,false,9,ND,ND,0,NO,0,N,N,NO,6,0,7000,false,1,1,-102.26640000,9,-102.26644406,21.93537971
210001203,30414,ROBO A CASA,1,2021-01-01,0,5,11,FRACCIONAMIENTO,LA RIBERA,350P,CALLE,SAN JUAN COSALA,NA,NA,"204,,,",AVENIDA,RIVERA DE CHAPALA,7,6,36,19,9,DESHABITADA,true,false,9,3 HOMBRES,ND,0,NO,0,N,N,NO,10,0,0,false,1,9,-102.25130000,10,-102.25131664,21.95350387
