FOLIO,FOLIO_REL,ID_INC,INCIDENTE,SUB_TIPO,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,ID_ASEN,ID_COL,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,RANGO,HORARIO,PROCESO,VIOLENCIA,ARMA_US,ARMA,PER_SOSP,ALIAS,SEXO_AGRE,SEXO_AFEC,CAT_SOSP,DETENIDO,DET_SPM,MOT_DET,LESION_AFE,LESION_PR,TRASL_HOSP,FALLECIDOS,T_VEH_SOSP,DESCRIP,OBJ_ROBADO,HECHOS,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,DEN_CASIO,CUENTA_HAB,NOM_SUCUR,SUC_CAJER,UBIC_SUCUR,ESPACIO,A_TRANS_PA,CARR_S_N,ROL_AFE,LONG,LAT,OID
250017258,0,30446,ROBO PERSONA,ND,1,02/01/2025,1,4,1,COLONIA,ZONA CENTRO,501,201,CALLE,FRANCISCO I MADERO,NA,NA,",,,",CALLE,JOSE MARIA MORELOS,1,23,30,24,11:30 p. m.,Falso,Falso,9,ninguna,ND,ND,H,H,8,0,N,N,0,0,Falso,0,N,N,"28,40","dinero,tarjeta",700,700,Falso,1,1,0,NA,NA,0,NA,1,PARADO,NO,MUJER,21.881143,-102.2957,1
250017570,0,30446,ROBO PERSONA,ND,1,03/01/2025,1,5,1,CONDOMINIO,FUENTES DEL LAGO,408,408,AVENIDA,FUENTES DEL LAGO,NA,NA,",,,",AVENIDA,1857,2,4,26,26,04:26 a. m.,Falso,Falso,9,ninguna,1 HOMBRE,ND,H,H,8,0,N,N,0,0,Falso,0,TAXI,TAXI COLOR BLANCO,3,celular,0,0,Falso,1,1,0,NA,NA,0,NA,2,PARADO,NO,HOMBRE,21.85233,-102.346,2
250018886,0,30446,ROBO PERSONA,MARIPOSA,1,03/01/2025,1,5,1,COLONIA,LAS FLORES,266,266,CALLE,MARAVILLAS,NA,NA,",,,",CALLE,LOS LAURELES,2,13,23,21,01:23 p. m.,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,14,bicicleta,0,5000,Falso,1,1,0,NA,NA,0,NA,1,PARADO,NO,MENOR,21.875583,-102.302,3
250020160,0,30446,ROBO PERSONA,MARIPOSA,1,03/01/2025,1,1,5,LOCALIDAD,TEPETATES,992,992,CALLE,FLORIDA,NA,NA,"319,,,",CALLE,MEDELLIN,7,17,7,22,05:07 p. m.,Falso,Falso,9,ninguna,1 HOMBRE VISTE DE NEGRO CON PANTALON MEZCLILLA,EL RAMIRILLO,H,M,8,0,N,N,0,0,Falso,0,N,N,14,bicicleta,0,0,Falso,1,1,0,NA,NA,0,NA,1,PARADO,NO,MUJER,21.955172,-102.3205,4
250028827,0,30446,ROBO PERSONA,MARIPOSA,1,05/01/2025,1,7,5,LOCALIDAD,LOS ARENALES,990,990,PRIVADA,ARROYO ARENAL,NA,NA,"106,,,",CALLE,VICENTE GUERRERO,7,0,16,25,12:16 a. m.,Falso,Falso,9,ninguna,1 HOMBRE,ND,H,H,3,0,N,N,0,0,Falso,0,N,N,14,bicicleta,0,0,Falso,1,2,0,NA,NA,0,NA,1,PARADO,NO,HOMBRE,21.963284,-102.3221,5
250039219,0,30446,ROBO PERSONA,ND,1,06/01/2025,2,1,1,COLONIA,ZONA CENTRO,501,501,CALLE,IGNACIO ALLENDE,NA,NA,",,,",CALLE,5 DE MAYO,1,15,24,21,03:24 p. m.,Falso,Falso,9,ninguna,2 MUJERES ESTATURA BAJA VISTEN DE NEGRO,ND,M,M,8,0,N,N,0,0,Falso,0,N,N,"26,28","bolso,dinero",80000,80000,Falso,1,1,0,NA,NA,0,NA,2,PARADO,NO,MUJER,21.88209,-102.2972,6
250043910,0,30446,ROBO PERSONA,ND,1,07/01/2025,2,2,1,FRACCIONAMIENTO,VISTA DEL SOL I,570,570,AVENIDA,ARQUERO,NA,NA,",,,",CALLE,RESOLANA,5,12,3,21,12:03 p. m.,Falso,Falso,9,ninguna,1 HOMBRE VISTE CAMISA BLANCA LENTES OSCUROS UN TATUAJE EN LA CARA,ND,H,M,8,0,N,N,0,0,Falso,0,N,N,3,celular,0,0,Falso,1,1,0,NA,NA,0,NA,1,PARADO,NO,MUJER,21.860599,-102.2695,7
250049679,0,30446,ROBO PERSONA,MARIPOSA,1,08/01/2025,2,3,1,FRACCIONAMIENTO,JARDINES DE SANTA ELENA 2A SECCION,143,143,CALLE,REPUBLICA DE NICARAGUA,NA,NA,",,,",CALLE,MONTEVIDEO,2,15,14,21,03:14 p. m.,Falso,Falso,9,ninguna,ND,ND,ND,H,0,0,N,N,0,0,Falso,0,N,N,14,bicicleta,0,0,Falso,1,1,0,NA,NA,0,NA,1,PARADO,NO,HOMBRE,21.86547,-102.3044,8
250050052,0,30446,ROBO PERSONA,MARIPOSA,1,08/01/2025,2,3,1,FRACCIONAMIENTO,OJOCALIENTE I,190,190,CALLE,PLAZUELA I,NA,NA,",,,",CALLE,PEÑUELAS,4,16,30,22,04:30 p. m.,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,14,bicicleta,0,0,Falso,1,2,0,NA,NA,0,NA,1,PARADO,NO,HOMBRE,21.886027,-102.2568,9
250002161,0,30421,ROBO PERSONA,ND,1,01/01/2025,1,3,1,FRACCIONAMIENTO,JOSE LOPEZ PORTILLO,175,175,CALLE,SOBERANA CONVENCION MILITAR REVOLUCIONARIA,NA,NA,",,,",CALLE,PROFESOR J GUADALUPEPERALTA,2,3,1,26,03:01 a. m.,Falso,Verdadero,3,contusa,ND,ND,ND,H,6,0,N,N,0,0,Falso,0,N,N,"12,28,29","ropa,dinero, artera",1000,1400,Falso,1,57,0,NA,NA,0,NA,1,ND,NO,HOMBRE,21.849081,-102.3238,10
