FOLIO,MES,FECHA,DIA_SEM,INCIDENTE,MUN_INC,TIPLOC_INC,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,EDIF,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1,VIAL_2,VIAL_P,DESTACAMEN,HORA_ROBO,MIN_ROBO,HORARI_ROB,PROCESO,VIOLENCIA,ARMA_1,ARMA_2,PER_SOSP,CARAC_PER,T_VEH_SOS,GIRO_NEG,NOM_NEG,REPARTIDOR,DINERO,CANTIDAD,MONTO,TECNOLOGIA,COMPUTO,PANTALLA,CELULAR,ROPA,BICI_TRIC,JOYERIA,CARTERA,ELECTRODOM,HERRAMIENT,VEHICULO,MEDICAMENT,OTROS,CROQUETAS,CONSUMO,GASOLINA,PAGAR_CARR,S_DATOS,FARDERO,ALIAS,EMPLEADO,VEH_SOSP,RECUP_ART,LESIONADO,DETENIDO,AZOTEA,BOQUETE,CORTINA,VENTANA,PARTE_DEL,PARTE_TRAS,BANO,DOMO,SIN_DATOS,CIERRE_PRE,OID,LONG,LAT
1935,ENERO,02/01/2018,MARTES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LAS AMERICAS (DELEGACION INSURGENTES),406,AVENIDA,CONVENCION DE 1914 SUR,NA,0,NULO,0,NULO,REPUBLICA DE BRASIL,REPUBLICA DE CHILE,REPUBLICA DE GUATEMALA,INSURGENTES,0,0,21,NO,NO,NO,NO,1 MUJER,0,0,TAXISTA,UBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,,,1,-102.29960000,21.86614300
3436,ENERO,04/01/2018,JUEVES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,J. GUADALUPE PERALTA GAMEZ,411,CALLE,JOSE TRINIDAD VELA SALAS,NA,450,NULO,0,NULO,PROCERES DE LA ENSE­ANZA,CATEDRATICOS,FELIPE COLLAZO GARCIA,TERAN SUR,0,49,25,SI,NO,NO,NO,2 MUJERES,0,0,TAXISTA,TAXI 2841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,,,2,-102.23800000,21.87189100
6522,ENERO,07/01/2018,DOMINGO,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MACIAS ARELLANO,505,CALLE,D,NA,0,NULO,0,NULO,CAMINO AL COBANO,B,P,TERAN NORTE,9,35,20,SI,SI,FUEGO,NO,2 HOMBRES,"1 TATUADO DE LAS MANOS, AMBOS DE NEGRO",0,TAXISTA,TAXI,0,1,700,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,,,3,-102.28340000,21.90533400
8255,ENERO,08/01/2018,LUNES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLAS DEL PUERTECITO,700,CALLE,PUERTO LAZARO CARDENAS,NA,0,NULO,0,NULO,PUERTO DE ENSENADA,PUERTO ESLA DEL CARMEN,PUERTO DOS BOCAS,TERAN NORTE,0,0,24,NO,NO,NO,NO,1 MUJER,0,0,TAXISTA,TAXI 222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,,,4,-102.24800000,21.93818700
13289,ENERO,14/01/2018,DOMINGO,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,BOSQUES DEL PRADO SUR,777,AVENIDA,UNIVERSIDAD,NA,0,NULO,0,NULO,AGUASCALIENTES NORTE,SIERRA DE LAS PALOMAS,SIERRA DE TEPOZTLAN,POCITOS,4,44,26,SI,NO,NO,NO,1 HOMBRE,0,0,TAXISTA,UBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,NO,NO,1,0,0,0,0,0,0,0,0,,,5,-102.31320000,21.91584800
13331,ENERO,14/01/2018,DOMINGO,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,REENCUENTRO,408,AVENIDA,DEL REY,NA,0,NULO,0,NULO,DE LA NATURALEZA,MARGARITA MAZA DE JUAREZ,NINGUNO,MORELOS,6,17,19,SI,NO,NO,NO,1 HOMBRE,0,0,TAXISTA,UBER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,NO,NO,1,0,0,0,0,0,0,0,0,,,6,-102.25180000,21.83845700
16200,ENERO,17/01/2018,MIERCOLES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOS LAURELES II,703,CIRCUITO,EL LAUREL ORIENTE,NULO,510,NULO,0,NULO,DE LA DAMIANTE,EL LAUREL SUR,NINGUNO,TERAN SUR,10,49,20,SI,NO,NO,NO,0,0,0,TAXISTA,TAXI 1457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,,,7,-102.23790000,21.90308200
16844,ENERO,18/01/2018,JUEVES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,LOMAS DEL AJEDREZ,1121,CALLE,DEL JAQUE,NULO,116,NULO,0,NULO,DE LA VICTORIA,DEL REY,DE LA TORRE,MORELOS,1,37,25,SI,NO,NO,NO,0,0,0,TAXISTA,TAXI 240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,,,8,-102.25480000,21.84346700
18533,ENERO,19/01/2018,VIERNES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,CONSTITUCION,794,CALLE,ARTICULO PRIMERO,NULO,0,NULO,0,NULO,ARTICULO 23,ARTICULO 21,ARTICULO 24,TERAN NORTE,22,0,24,SI,SI,PUNZANTE,NO,2 HOMBRES,"1 TATUAJES, MORENO, DELGADO PLAYERA NEGRA",0,TAXISTA,TAXI 4128,0,1,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,,,9,-102.28450000,21.93632600
18756,ENERO,20/01/2018,SABADO,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLERIAS,491,AVENIDA,SIGLO XXI,NULO,0,NULO,0,NULO,PASEO DE VILLERIAS,LA MANZANA,VILLA DE JESUS MARIA,TERAN SUR,1,27,25,SI,SI,CONTUSA,NO,2 HOMBRES,1 PANT. AZUL CAMISA A CUADROS Y GORRA,0,TAXISTA,TAXI 3192,0,1,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,,,10,-102.24940000,21.88330000
22001,ENERO,23/01/2018,MARTES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,MUJERES ILUSTRES,602,CALLE,DIAGONAL ALFIL,NULO,418,NULO,0,NULO,MARIA ASCENCION RENTERIA LOPEZ,DE LA INFANTERIA,CARMEN ESPARZA MEDINA,MORELOS,0,17,25,SI,NO,NO,NO,1 HOMBRE,0,0,TAXISTA,TAXI 3541,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,,,11,-102.25000000,21.84438800
23628,ENERO,24/01/2018,MIERCOLES,ROBO TRANSPORTE,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLAS DE NUESTRA SEðORA DE LA ASUNCION (SECTOR ES502,502,CALLE,JUAN CONTRERAS PALACIOS,NULO,312,NULO,0,NULO,FRANCISCO ARMENGOL,GERONIMO DE LA CUEVA,JESUS GARCIA CORONA,TERAN NORTE,22,0,24,SI,NO,NO,NO,0,0,0,TAXISTA,TAXI 2549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,NO,NO,0,0,0,0,0,0,0,0,0,,,12,-102.25740000,21.93753200
