FOLIO,ID_INC,INCIDENTE,MES,FECHA,DIA_SEM,HORA,MINUTOS,HORARIO,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,TIPO_VIAL2,NOM_VIAL2,TIPO_VIALP,NOM_VIALP,DESTACAMEN,SEC_EST,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,DETENIDO,LESIONADO,T_VEH_SOS,DESCRIP,RECUP_ART,OBJ_ROBADO,CANTIDAD,MONTO,CORP_ACUD,CIERRE_COR,GIRO_NEG,NOM_NEG,REPARTIDOR,INGRESO,MOT_DET,NOM_DET,DET_SPM,ORI_DET,OID,LONG,LAT
200666286,30420,ROBO TRANSPORTE PUBLICO,7,2020-07-03,5,5,50,26,1,FRACCIONAMIENTO,MIRADOR DE LAS CULTURAS,442,AVENIDA,RODOLFO LANDEROS GALLEGOS,NA,NA,",,,",AVENIDA,CULTURA MAYA,CALLE,CULTURA AZTECA,PRIVADA,CULTURA MIXTECA,5,2,false,false,9,1 PERSONA,ND,0,0,N,N,false,36,0,30,1,2,TRANSPORTE PUBLICO,TAXI 3695,0,7,,,,,1,-102.24286917,21.90558621
200670411,30420,ROBO TRANSPORTE PUBLICO,7,2020-07-04,6,2,53,25,1,FRACCIONAMIENTO,NAZARIO ORTIZ GARZA,452,AVENIDA,SIGLO XXI,NA,NA,",,,",BOULEVARD,GUADALUPANO,CALLE,MANUEL GARCIA MARTINEZ,CALLE,ARIAS MUJICA,5,2,true,false,9,1 HOMBRE,ND,0,0,N,N,false,36,0,0,1,4,TRANSPORTE PUBLICO,UBER,0,7,,,,,2,-102.25718044,21.90678284
200672250,30420,ROBO TRANSPORTE PUBLICO,7,2020-07-04,6,15,34,22,1,COLONIA,LA FE,912,AVENIDA,INDEPENDENCIA,NA,NA,",,,",CALLE,MEXICO,CALLE,GRAN AVENIDA,CALLE,ESPERANZA,1,5,true,false,9,1 HOMBRE,ND,0,0,N,N,false,"28,36",500,500,1,1,TRANSPORTE PUBLICO,TAXI 3772,0,7,,,,,3,-102.29482723,21.89144370
200672802,30419,ROBO TRANSPORTE PUBLICO,7,2020-07-04,6,18,29,22,1,COMUNIDAD,OJO DE AGUA DE PALMITAS,49P,CALLE,FRANCISCO JAVIER MINA,NA,NA,",,,",CALLE,VILLA OBREGON,CALLE,CALANDRIAS,CALLE,VILLA FLORES,3,3,true,true,3,1 HOMBRE,ND,0,0,N,N,false,36,0,0,1,1,TRANSPORTE PUBLICO,TAXI 4188,0,7,,,,,4,-102.23183561,21.86086598
200678170,30420,ROBO TRANSPORTE PUBLICO,7,2020-07-05,7,21,33,24,1,FRACCIONAMIENTO,JOSE LOPEZ PORTILLO,955,CALLE,JOSE MARIA GONZALEZ BOCANEGRA,NA,NA,",,,",CALLE,SOBERANA CONVENCION MILITAR REVOLUCIONARIA PONIENTE,CALLE,CORONEL JOSE RINCON GALLARDO,CALLE,RICARDO GARCIA MENDOZA,2,4,false,false,9,3 HOMBRES,ND,0,0,N,N,false,"28,36",400,400,1,1,TRANSPORTE PUBLICO,TAXI 47,0,7,,,,,5,-102.32666021,21.85485200
200679062,30420,ROBO TRANSPORTE PUBLICO,7,2020-07-06,1,0,58,25,1,COLONIA,ZONA CENTRO,906,CALLE,JOSE MARIA MORELOS Y PAVON,NA,NA,",,,",CALLE,UNION,CALLE,GUZMAN,CALLE,LICENCIADO BENITO JUAREZ,1,5,true,false,9,1 HOMBRE,ND,0,0,N,N,false,36,0,0,1,1,TRANSPORTE PUBLICO,DIDI,0,7,,,,,6,-102.29597600,21.88531363
200687458,30420,ROBO TRANSPORTE PUBLICO,7,2020-07-08,3,3,13,26,1,FRACCIONAMIENTO,CANTERAS DE SAN JOSE,400,CALLE,JUANACATLAN,NA,NA,",,,",PROLONGACION,PASEO DE YAHUALICA,CALLE,HUEJUCAR,CALLE,TLATENANGO,2,4,true,false,9,1 HOMBRE,ND,0,0,N,N,false,36,0,320,1,14,TRANSPORTE PUBLICO,TAXI 528,0,7,,,,,7,-102.33268776,21.86030549
200661635,30420,ROBO TRANSPORTE PUBLICO,7,2020-07-01,3,22,4,24,5,COLONIA,EL TORITO,199,CALLE,VICENTE GUERRERO,NA,NA,"115,,,",CALLE,PRIMERO DE MARZO,AVENIDA,FRANCISCO I MADERO,AVENIDA,ALEJANDRO DE LA CRUZ SAUCEDO,7,7,true,false,9,UNAS PERSONAS,ND,0,0,N,N,false,36,0,0,1,14,TRANSPORTE PUBLICO,TAXI 490,0,7,,,,,8,-102.35369586,21.96718689
200010165,30420,ROBO TRANSPORTE PUBLICO,1,2020-01-03,5,23,56,24,1,FRACCIONAMIENTO,VILLA SUR,609,CALLE,FLOR DE NOCHEBUENA 98,NA,NA,",,,",AVENIDA,FLOR DE NOCHEBUENA,CALLE,FLOR DE NOCHEBUENA,CALLE,NINGUNO,3,3,true,false,9,1 HOMBRE,ND,1,0,N,N,false,36,0,0,1,4,TRANSPORTE PUBLICO,TAXI 3520,0,7,,,,,9,-102.27459092,21.82438606
200014373,30420,ROBO TRANSPORTE PUBLICO,1,2020-01-05,7,6,31,19,1,FRACCIONAMIENTO,EL DORADO 1A SECCION,1048,CALLE,SANTANDER,NA,NA,"326,,,",CALLE,ALASKA,CALLE,CANADA,CALLE,MADRID,2,4,true,false,9,UNOS HOMBRES,ND,0,0,N,N,false,36,0,0,1,2,TRANSPORTE PUBLICO,BOLT,0,7,,,,,10,-102.30543593,21.86173416
