FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,DETENIDO,LESIONADO,T_VEH_SOS,DESCRIP,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,GIRO_NEG,NOM_NEG,FARDERO,INGRESO,REPARTIDOR,OID,LONG,LAT
210873683,30419,ROBO TRANSPORTE PUBLICO,7,29/07/2021,30,4,1,COLONIA,COL SAN MARCOS,650,CALLE,PUEBLITO,NA,NA,",,,",CALLE,LONDRES,6,0,44,25,Verdadero,Verdadero,3,2 HOMBRES,ND,0,0,N,N,"3,28",400,400,Falso,1,1,TRANSPORTE PUBLICO,TAXI 826,Falso,9,0,1,-102.31705598,21.87800000
210874359,30420,ROBO TRANSPORTE PUBLICO,7,29/07/2021,30,4,1,FRACCIONAMIENTO,CASA BLANCA,553,CALLE,VIVERO DE LA FLORESTA,NA,NA,",,,",CALLE,CASA BLANCA,5,8,24,19,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,36,0,0,Falso,1,1,TRANSPORTE PUBLICO,TAXI 2905,Falso,9,0,2,-102.27753152,21.85900000
210887913,30419,ROBO TRANSPORTE PUBLICO,7,31/07/2021,30,6,1,FRACCIONAMIENTO,OJOCALIENTE I,741,CALLE,CALVILLITO,NA,NA,"449,,,",CALLE,EL GUARDA,4,23,3,24,Falso,Verdadero,3,"2 HOMBRES, 1 CON TATUAJE EN EL CUELLO LADO IZQUIERDO","""EL PITONGO"" ""EL CHENDO""",0,0,N,N,"3,28,30",300,300,Falso,1,1,TRANSPORTE PUBLICO,TAXI 615,Falso,9,0,3,-102.25114500,21.88100000
210003053,30419,ROBO TRANSPORTE PUBLICO,1,01/01/2021,0,5,1,FRACCIONAMIENTO,JOSE LOPEZ PORTILLO,955,CALLE,JOSE MARIA BOCANEGRA,NA,NA,",,,",CALLE,TENIENTE CORONEL MACARIO SARABIA,2,18,50,22,Falso,Verdadero,3,1 HOMBRE,ND,0,0,N,N,3,0,6000,Falso,1,1,TRANSPORTE PUBLICO,UBER,Falso,9,0,4,-102.32491057,21.85400000
210005989,30420,ROBO TRANSPORTE PUBLICO,1,02/01/2021,0,6,5,FRACCIONAMIENTO,PASEOS DE LAS HACIENDAS,213P,CALLE,PASEOS DEL SAUCE,NA,NA,"408,,,",CALLE,PASEOS DE LA CEIBA,7,19,21,23,Verdadero,Falso,9,UNAS PERSONAS,ND,0,0,N,N,36,0,60,Falso,1,2,TRANSPORTE PUBLICO,TAXI,Falso,9,0,5,-102.34443513,21.99300000
210012792,30419,ROBO TRANSPORTE PUBLICO,1,05/01/2021,1,2,1,FRACCIONAMIENTO,OJOCALIENTE I,741,CALLE,JALTOMATE,NA,NA,"431,,,",CALLE,PLAZUELA,4,4,47,26,Falso,Verdadero,1,2 HOMBRES,ND,0,0,N,N,"3,22,28,29",800,800,Falso,1,1,TRANSPORTE PUBLICO,TAXI 1735,Falso,9,0,6,-102.25339532,21.88300000
210015349,30419,ROBO TRANSPORTE PUBLICO,1,06/01/2021,1,3,1,CONDOMINIO,OJOCALIENTE INEGI,740,AVENIDA,OJOCALIENTE,NA,NA,",,,",CALLE,CIENEGUILLAS,4,7,28,19,Falso,Verdadero,3,3 HOMBRES,ND,0,0,N,N,"3,22,28,29",0,3000,Falso,1,1,TRANSPORTE PUBLICO,TAXI 3715,Falso,9,0,7,-102.24929689,21.87600000
210027177,30419,ROBO TRANSPORTE PUBLICO,1,10/01/2021,1,7,1,COMUNIDAD,JALTOMATE,20P,CARRETERA,25 RIVIER SAN MARCOS,NA,NA,",,,",CALLE,BENITO JUAREZ,3,18,12,22,Falso,Verdadero,1,1 HOMBRE,ND,0,1,N,N,"3,28,30",0,0,Falso,20,13,TRANSPORTE PUBLICO,TAXI 1467,Falso,9,0,8,-102.12307075,22.03300000
210024397,30420,ROBO TRANSPORTE PUBLICO,1,09/01/2021,1,6,1,FRACCIONAMIENTO,LOS PIRULES,1053,CALLE,MAGNOLIA,NA,NA,",,,",CALLE,GIRASOL,2,0,0,22,Falso,Falso,9,1 HOMBRE,ND,0,0,N,N,28,300,300,Falso,1,1,TRANSPORTE PUBLICO,TAXI 3139,Falso,9,0,9,-102.32038534,21.86800000
210025691,30420,ROBO TRANSPORTE PUBLICO,1,10/01/2021,1,7,1,FRACCIONAMIENTO,MORELOS II,622,AVENIDA,SIGLO XXI,NA,NA,",,,",CALLE,HERMANOS GALEANA,5,4,40,26,Verdadero,Falso,9,1 HOMBRE,ND,1,0,N,N,36,0,77,Falso,1,4,TRANSPORTE PUBLICO,TAXI 1688,Falso,9,0,10,-102.26371574,21.85300000
210027465,30420,ROBO TRANSPORTE PUBLICO,1,10/01/2021,1,7,1,FRACCIONAMIENTO,LIBERTAD,695,CALLE,PAULINO N MARTI,NA,NA,"1405,,,",CALLE,PLAN DE LA PROFESA,3,20,33,23,Verdadero,Falso,9,"2 HOMBRES, 1 MUJER",ND,0,0,N,N,36,0,2300,Falso,1,1,TRANSPORTE PUBLICO,TAXI 1476,Falso,9,0,11,-102.27848551,21.93000000
210030779,30419,ROBO TRANSPORTE PUBLICO,1,12/01/2021,2,2,5,CONDOMINIO,RESIDENCIAL ARBORADA,340P,AVENIDA,INDEPENDENCIA,NA,NA,",,,",AVENIDA,GUADALUPE,7,0,40,25,Falso,Verdadero,4,2 HOMBRES,ND,3,0,N,N,28,1000,1000,Falso,1,4,TRANSPORTE PUBLICO,DIDI,Falso,9,0,12,-102.29741513,21.94600000
210032862,30419,ROBO TRANSPORTE PUBLICO,1,12/01/2021,2,2,1,FRACCIONAMIENTO,VILLA LOMA DORADA,500,CALLE,VILLA SERRANA,NA,NA,",,,",CALLE,VILLA CORONA,3,21,43,24,Verdadero,Verdadero,1,2 HOMBRES,ND,0,1,N,N,"3,28",0,0,Falso,1,1,TRANSPORTE PUBLICO,TAXI 2258,Falso,9,0,13,-102.24785546,21.92500000
210033759,30420,ROBO TRANSPORTE PUBLICO,1,13/01/2021,2,3,1,FRACCIONAMIENTO,SANTA REGINA,792R,CALLE,EL MIXTON,NA,NA,"213,A,,",CALLE,NINGUNO,3,10,50,20,Verdadero,Falso,9,2 MUJERES,ND,0,0,N,N,36,0,66,Falso,1,1,TRANSPORTE PUBLICO,TAXI 3128,Falso,9,0,14,-102.25964004,21.92400000
210035960,30420,ROBO TRANSPORTE PUBLICO,1,14/01/2021,2,4,1,FRACCIONAMIENTO,VNSA SECTOR SAN MARCOS,435,CALLE,VALLE DE LOS ROMERO,NA,NA,",,,",CALLE,JUAN DE PADILLA,3,9,57,20,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,36,0,0,Falso,1,2,TRANSPORTE PUBLICO,TAXI 3483,Falso,9,0,15,-102.26650359,21.93000000
210050266,30420,ROBO TRANSPORTE PUBLICO,1,18/01/2021,3,1,1,FRACCIONAMIENTO,LAS CUMBRES,441,CALLE,LA UNION,NA,NA,",,,",CALLE,EL PICACHO,3,20,25,23,Falso,Falso,9,1 HOMBRE,ND,0,0,N,N,3,0,4000,Falso,1,1,TRANSPORTE PUBLICO,TAXI 2580,Falso,9,0,16,-102.26009909,21.91000000
210045098,30420,ROBO TRANSPORTE PUBLICO,1,17/01/2021,2,7,1,FRACCIONAMIENTO,BENITO PALOMINO DENA,499,BOULEVARD,GUADALUPANO,NA,NA,",,,",CALLE,DOCTOR ALFONSO RODRIGUEZ FRANCO,3,8,43,19,Verdadero,Falso,9,1 HOMBRE,ND,0,0,N,N,36,0,60,Falso,1,1,TRANSPORTE PUBLICO,TAXI 1778,Falso,9,0,17,-102.24583038,21.91700000
210065657,30419,ROBO TRANSPORTE PUBLICO,1,23/01/2021,3,6,1,FRACCIONAMIENTO,VILLA TAURINAS,722,CALLE,MARIANO SALAS 128,ND,ND,",,,",CALLE,MARRUBIO,5,0,0,25,Falso,Verdadero,3,1 HOMBRE,ND,0,0,N,N,3,0,2000,Falso,1,1,TRANSPORTE PUBLICO,UBER,Falso,9,0,18,-102.24677985,21.86000000
210065834,30419,ROBO TRANSPORTE PUBLICO,1,23/01/2021,3,6,1,FRACCIONAMIENTO,VISTAS DE ORIENTE,489,AVENIDA,SAN GABRIEL,NA,NA,",,,",AVENIDA,POLIDUCTO,4,4,35,26,Falso,Verdadero,4,"3 HOMBRES, 1 MORENO Y CON BARBA",ND,0,0,N,N,"3,28",800,800,Falso,1,1,TRANSPORTE PUBLICO,TAXI 2120,Falso,9,0,19,-102.24256583,21.87500000
210066200,30419,ROBO TRANSPORTE PUBLICO,1,23/01/2021,3,6,1,FRACCIONAMIENTO,VILLA MONTAÐA,501R,CALLE,CUMBRE DEL LAUDO,NA,NA,",,,",CALLE,MONTE K2,3,0,0,19,Falso,Verdadero,1,2 HOMBRES,ND,0,0,N,N,28,1200,1200,Falso,1,1,TRANSPORTE PUBLICO,TAXI 570,Falso,9,0,20,-102.25681413,21.94700000
210073811,30420,ROBO TRANSPORTE PUBLICO,1,25/01/2021,4,1,1,SIN TIPO,IMSS HOSPITAL DE ZONA 2,414,CALLE,LOS CONOS,NA,NA,",,,",AVENIDA,AGUASCALIENTES ORIENTE,4,3,56,26,Verdadero,Falso,9,1 HOMBRE,ND,1,0,N,N,36,0,0,Falso,1,4,TRANSPORTE PUBLICO,TAXI 392,Falso,9,0,21,-102.25549397,21.87500000
210081178,30419,ROBO TRANSPORTE PUBLICO,1,27/01/2021,4,3,1,FRACCIONAMIENTO,LAS BRISAS,677,CALLE,PEDRO GARCIA ROJAS,NA,NA,",,,",CALLE,MAR CASPIO,6,8,59,19,Falso,Verdadero,1,1 HOMBRE,ND,0,0,N,N,"28,29",1500,1500,Falso,1,1,TRANSPORTE PUBLICO,TAXI 610,Falso,9,0,22,-102.31455215,21.89600000
210082127,30419,ROBO TRANSPORTE PUBLICO,1,27/01/2021,4,3,11,COMUNIDAD,PUERTECITO DE LA VIRGEN,306P,CARRETERA,25 RIVIER SAN MARCOS,NA,NA,",,,",AVENIDA,16 DE SEPTIEMBRE,7,15,3,21,Falso,Verdadero,1,1 HOMBRE,ND,0,0,N,N,"28,29",600,600,Falso,1,1,TRANSPORTE PUBLICO,TAXI 149,Falso,9,0,23,-102.27477075,21.96100000
210083109,30419,ROBO TRANSPORTE PUBLICO,1,27/01/2021,4,3,1,FRACCIONAMIENTO,MUNICIPIO LIBRE,768,AVENIDA,SIGLO XXI,NA,NA,",,,",CALLE,MIGUEL ANGEL BARBERENA VEGA,4,19,37,23,Falso,Verdadero,3,"2 HOMBRES, 1 MUJER",ND,0,0,N,N,3,0,0,Falso,1,1,TRANSPORTE PUBLICO,TAXI 307,Falso,9,0,24,-102.25313675,21.89800000
210085716,30420,ROBO TRANSPORTE PUBLICO,1,28/01/2021,4,4,1,FRACCIONAMIENTO,VILLAS DEL PILAR II,970,AVENIDA,SIGLO XXI,NA,NA,",,,",CALLE,BELISARIO DOMINGUEZ,2,15,54,22,Verdadero,Falso,9,2 HOMBRES,ND,0,0,N,N,36,0,60,Falso,1,1,TRANSPORTE PUBLICO,TAXI 910,Falso,9,0,25,-102.30812530,21.84500000
210090176,30420,ROBO TRANSPORTE PUBLICO,1,29/01/2021,4,5,1,FRACCIONAMIENTO,OJOCALIENTE I,741,CALLE,SAN FRANCISCO DE LOS VIVEROS,NA,NA,",,,",CALLE,EL SALTO DE LOS SALADO,4,0,0,24,Falso,Falso,9,3 HOMBRES,ND,0,0,N,N,28,4500,4500,Falso,1,1,TRANSPORTE PUBLICO,CAMION URBANO NUMERO 5022 RUTA 40,Falso,4,0,26,-102.25675833,21.88100000
