FOLIO,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,ID_ASEN,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,HORARIO,PROCESO,VIOLENCIA,ARMA,PER_SOSP,ALIAS,DETENIDO,DET_SPM,CAT_SOSP,LESIONADO,TRASL_HOSP,FALLECIDOS,T_VEH_SOS,DESCRIP,OBJ_ROBADO,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,GIRO_NEG,NOM_NEG,TRANSP_PUB,FARDERO,INGRESO,REPARTIDOR,FERIA,REROBADO,MOT_DET,CARRETERA,OPORUNISTA,OID,LONG,LAT
220012687,30420,ROBO TRANSPORTE PUBLICO,1,2022-01-03,1,1,1,COLONIA,ALTAVISTA,234,CALLE,JESUS MARIA RODRIGUEZ,NA,NA,"705,,,",CALLE,CARLOS SAGREDO,6,15,13,21,true,false,9,ND,ND,0,N,0,0,false,0,N,N,36,0,0,false,1,1,TRANSPORTE PUBLICO,TAXI,1,false,4,0,,NO,ND,false,,1,-102.30488234,21.89145477
220037087,30420,ROBO TRANSPORTE PUBLICO,1,2022-01-09,1,7,1,COLONIA,EL RIEGO,291,AVENIDA,SIGLO XXI,NA,NA,",,,",AVENIDA,ESPIGA,4,13,50,21,true,false,9,1 HOMBRE,ND,1,N,0,0,false,0,N,N,36,0,0,false,1,4,TRANSPORTE PUBLICO,TAXI 592,1,false,4,0,,NO,ND,false,,2,-102.25283144,21.89133204
220040005,30420,ROBO TRANSPORTE PUBLICO,1,2022-01-10,2,1,1,FRACCIONAMIENTO,LAS AMERICAS,262,AVENIDA,DE LA CONVENCION DE 1914 SUR,NA,NA,",,,",AVENIDA,QUINTA AVENIDA,2,1,8,25,true,false,9,"1 HOMBRE, 1 MUJER",ND,0,N,0,0,false,0,N,N,36,0,27,false,1,2,TRANSPORTE PUBLICO,TAXI 2501,1,false,4,0,,NO,ND,false,,3,-102.29846986,21.86596768
220007296,30420,ROBO TRANSPORTE PUBLICO,1,2022-01-02,52,7,1,FRACCIONAMIENTO,INF MORELOS,93,CALLE,HUNUCMA,NA,NA,",,,",AVENIDA,MARAINO HIDALGO,5,8,26,19,true,false,9,1 MUJER,ND,0,N,0,0,false,0,N,N,36,0,70,false,1,1,TRANSPORTE PUBLICO,TAXI 3945,1,false,9,0,,NO,ND,false,,4,-102.25836771,21.86100205
220063611,30419,ROBO TRANSPORTE PUBLICO,1,2022-01-16,2,7,1,FRACCIONAMIENTO,VILLA LAS PALMAS II,365,CALLE,FRANCISCO JAVIER MINA,NA,NA,",,,",AVENIDA,PROCERES DE LA ENSEÑANZA,5,0,0,25,false,true,8,2 HOMBRES,ND,0,N,0,0,false,0,N,N,28,600,600,false,1,69,TRANSPORTE PUBLICO,TAXI 1813,1,false,9,0,,NO,ND,false,,5,-102.23419591,21.86117239
220069315,30419,ROBO TRANSPORTE PUBLICO,1,2022-01-17,3,1,1,FRACCIONAMIENTO,SAN JORGE,322,CALLE,MIGUEL HIDALGO Y COSTILLA,NA,NA,",,,",PROLONGACION,IXTLAHUATL,5,0,0,20,false,true,"1,3","1 HOMBRE, TIPO HOMOSEXUAL, 2 MUJERES",ND,0,N,0,0,false,0,N,N,"6,27,28",900,900,false,1,1,TRANSPORTE PUBLICO,TAXI 1972,1,false,4,0,,NO,ND,false,,6,-102.23802510,21.86295524
220060821,30420,ROBO TRANSPORTE PUBLICO,1,2022-01-15,2,6,1,FRACCIONAMIENTO,EJIDO OJOCALIENTE,559,AVENIDA,AGUASCALIENTES ORIENTE,NA,NA,",,,",CALLE,OJOCALIENTE,4,11,34,20,true,false,9,"1 HOMBRE, 1 MUJER","VANESSA ALEJANDRA LOPEZ ROQUE, AXEL SALVADOR DIAZ DE LEON",2,N,0,0,false,0,N,N,"3,28",0,0,false,1,4,TRANSPORTE PUBLICO,TAXI 3150,1,false,9,0,,NO,ROBO A COND. TTE. PUB. CON VIO,false,,7,-102.25915378,21.88289702
220104175,30419,ROBO TRANSPORTE PUBLICO,1,2022-01-26,4,3,1,FRACCIONAMIENTO,NAZARIO ORTIZ GARZA,222,AVENIDA,SIGLO XXI,NA,NA,",,,",BOULEVARD,GUADALUPANO,3,0,0,25,false,true,10,3 HOMBRES,ND,0,N,0,0,false,0,N,N,"3,28",0,0,false,1,2,TRANSPORTE PUBLICO,TAXI 1218,1,false,9,0,,NO,ND,false,,8,-102.25662301,21.90685646
220112705,30419,ROBO TRANSPORTE PUBLICO,1,2022-01-28,4,5,1,COLONIA,COLONIA SAN MARCOS,145,CALLE,GENERAL EMILIANO ZAPATA,NA,NA,",,,",CALLE,DOCTOR PEDRO DE ALBA,6,0,0,20,false,true,1,1 HOMBRE,ND,0,N,0,0,false,0,N,N,"3,28",120,1620,false,1,1,TRANSPORTE PUBLICO,TAXI 2678,1,false,9,0,,NO,ND,false,,9,-102.30933517,21.88284365
220120969,30419,ROBO TRANSPORTE PUBLICO,1,2022-01-30,4,7,1,FRACCIONAMIENTO,"VILLA DE NUESTRA SEÑORA DE LA ASUNCION, SECTOR ENCINO",331,AVENIDA,SIGLO XXI,NA,NA,",,,",CALLE,JACINTO LOPEZ BRAVO,3,0,0,26,false,true,1,2 HOMBRES,ND,0,N,0,0,false,0,N,N,"3,28,36",400,400,false,1,1,TRANSPORTE PUBLICO,TAXI 2294,1,false,9,0,,NO,ND,false,,10,-102.26730481,21.92784424
220112811,30420,ROBO TRANSPORTE PUBLICO,1,2022-01-28,4,5,1,UNIDAD HABITACIONAL,IV CENTENARIO,618,AVENIDA,DE LOS FUNDADORES,NA,NA,",,,",CALLE,HOMBRES ILUSTRES,5,0,0,21,false,false,9,ND,ND,0,N,0,0,false,0,N,N,28,350,350,false,1,1,TRANSPORTE PUBLICO,TAXI 2229,1,false,4,0,,NO,ND,false,,11,-102.28021959,21.87092079
220051728,30420,ROBO TRANSPORTE PUBLICO,1,2022-01-13,2,4,1,FRACCIONAMIENTO,PARRAS,224,CALLE,PARRAS,NA,NA,"217,,,",CALLE,VIÑEDO,3,4,13,26,true,false,9,1 HOMBRE,ND,1,N,0,0,false,0,N,N,36,0,0,false,1,4,TRANSPORTE PUBLICO,UBER,1,false,4,0,,NO,ND,false,,12,-102.27866383,21.91361955
220097411,30420,ROBO TRANSPORTE PUBLICO,1,2022-01-24,4,1,1,SIN TIPO,LA PERLA NORTE,605R,BOULEVARD,A ZACATECAS,NA,NA,",,,",CARRETERA,25 RIVIER SAN MARCOS,3,8,22,19,true,false,9,"2 HOMBRES, 2 MUJERES",ND,0,N,0,0,false,0,N,N,34,0,0,false,1,2,TRANSPORTE PUBLICO,COMBI,1,false,4,0,,NO,ND,false,,13,-102.28924383,21.96222349
220082038,30419,ROBO TRANSPORTE PUBLICO,1,2022-01-20,3,4,1,FRACCIONAMIENTO,BAJIO DE LAS PALMAS,588,PROLONGACION,IXTLAHUATL,NA,NA,",,,",CALLE,PALMA MEXICANA,5,15,29,21,false,true,1,"1 HOMBRE, CON ALOPECIA",ND,0,N,0,0,false,0,N,N,"3,28",950,5950,false,1,1,TRANSPORTE PUBLICO,UBER,1,false,4,0,,NO,ND,false,,14,-102.24051336,21.86335950
220091359,30419,ROBO TRANSPORTE PUBLICO,1,2022-01-22,3,6,1,CONDOMINIO VERTICAL,OJOCALIENTE FOVISSSTE I,279,AVENIDA,PASEO DE LA CRUZ,NA,NA,",,,",AVENIDA,ANTARES,5,0,0,23,false,true,1,1 HOMBRE,ND,0,N,0,0,false,0,N,N,"3,36",0,2000,false,1,1,TRANSPORTE PUBLICO,TAXI 2274,1,false,4,0,,NO,ND,false,,15,-102.25965608,21.87420357
220136834,30419,ROBO TRANSPORTE PUBLICO,2,2022-02-02,5,3,1,COLONIA,J REFUGIO ESPARZA REYES,206,AVENIDA,SIGLO XXI,NA,NA,",,,",CALLE,CARLOS A MADRAZO,3,23,0,24,false,true,2,2 HOMBRES,ND,0,N,0,0,false,0,N,N,"3,28",700,700,false,1,1,TRANSPORTE PUBLICO,TAXI 1872,1,false,4,0,,NO,ND,false,,16,-102.25850089,21.90898192
220152844,30420,ROBO TRANSPORTE PUBLICO,2,2022-02-06,5,7,6,COMUNIDAD,EMILIANO ZAPATA,1132,CALLE,NIÑOS HEROES,NA,NA,"206,,,",CALLE,5 DE FEBRERO,7,20,23,23,true,false,9,1 HOMBRE,ND,0,N,0,0,false,0,N,N,36,0,0,false,1,1,TRANSPORTE PUBLICO,TAXI 2253,1,false,9,0,,NO,ND,false,,17,-102.29789098,22.10653107
220154777,30420,ROBO TRANSPORTE PUBLICO,2,2022-02-07,6,1,1,UNIDAD HABITACIONAL,POTREROS DEL OESTE,167,AVENIDA,SIGLO XXI,NA,NA,",,,",CALLE,CANARIO,2,5,6,26,true,false,9,1 HOMBRE,ND,1,N,0,0,false,0,N,N,36,0,0,false,1,1,TRANSPORTE PUBLICO,TAXI 250,1,false,4,0,,NO,ND,false,,18,-102.29903330,21.84515147
220154795,30420,ROBO TRANSPORTE PUBLICO,2,2022-02-07,6,1,1,COLONIA,DEL TRABAJO,246,AVENIDA,SIGLO XIX,NA,NA,",,,",AVENIDA,DE LA CONVENCION DE 1914 ORIENTE,4,5,29,26,true,false,9,1 HOMBRE,ND,0,N,0,0,false,0,N,N,36,0,0,false,1,69,TRANSPORTE PUBLICO,TAXI 668,1,false,4,0,,NO,ND,false,,19,-102.27363618,21.88960486
220009531,30420,ROBO TRANSPORTE PUBLICO,2,2022-01-02,5,3,1,FRACCIONAMIENTO,MISION DEL CAMPANARIO,651,BOULEVARD,MANUEL J CLOUTHIER,NA,NA,",,,",CALLE,PASEO DE LA SOLEDAD,6,19,55,23,true,false,9,1 HOMBRE,ND,0,N,0,0,false,0,N,N,36,0,0,false,1,2,TRANSPORTE PUBLICO,TAXI 133,1,false,0,0,,NO,ND,false,,20,-102.32156775,21.93233167
220177621,30420,ROBO TRANSPORTE PUBLICO,2,2022-02-12,6,6,1,FRACCIONAMIENTO,MORELOS II,188,CALLE,SOBERANIA DEL PUEBLO,NA,NA,"110,,,",CALLE,MEXICO LIBRE,5,0,0,23,false,false,9,1 HOMBRE,ND,0,N,0,0,false,0,N,N,3,0,0,false,1,1,TRANSPORTE PUBLICO,TAXI,1,false,9,0,,NO,ND,false,,21,-102.26390323,21.84940602
220161429,30420,ROBO TRANSPORTE PUBLICO,2,2022-02-08,6,2,11,FRACCIONAMIENTO,LA RIBERA,1340,CALLE,NAPIZARO,NA,NA,",,,",CALLE,CULHUACAN,7,23,41,24,true,false,9,1 HOMBRE,ND,0,N,0,0,false,0,N,N,36,0,0,false,1,69,TRANSPORTE PUBLICO,TAXI 1525,1,false,4,0,,NO,ND,false,,22,-102.24902141,21.95433490
220165650,30420,ROBO TRANSPORTE PUBLICO,2,2022-02-09,6,3,1,FRACCIONAMIENTO,LAS AMERICAS,262,AVENIDA,DE LA CONVENCION DE 1914 SUR,NA,NA,",,,",AVENIDA,QUINTA AVENIDA,2,22,25,24,true,false,9,1 HOMBRE,ND,0,N,0,0,false,0,N,N,36,0,0,false,1,69,TRANSPORTE PUBLICO,TAXI 4276,1,false,4,0,,NO,ND,false,,23,-102.29854056,21.86598008
220185294,30419,ROBO TRANSPORTE PUBLICO,2,2022-02-14,7,1,1,CONDOMINIO,RESIDENCIAL DEL PARQUE,281,AVENIDA,HEROE DE NACOZARI SUR,NA,NA,",,,",CIRCUITO,EL TULE,5,0,0,21,false,true,1,"1 HOMBRE, TATUAJE EN LA OREJA IZQUIERDA DE UNA RUINA",ND,0,N,0,1,false,0,N,N,28,400,400,false,1,1,TRANSPORTE PUBLICO,CAMION URBANO YOVOY 4069,1,false,4,0,,NO,ND,false,,24,-102.28118047,21.84911015
220187493,30419,ROBO TRANSPORTE PUBLICO,2,2022-02-15,7,2,1,COLONIA,EL RIEGO,291,AVENIDA,ESPIGA,NA,NA,",,,",CALLE,HACIENDA JOSE MARIA MORELOS,4,0,0,25,false,true,1,1 HOMBRE,ND,0,N,0,0,false,0,N,N,"3,36",0,0,false,1,1,TRANSPORTE PUBLICO,TAXI PLATAFORMA,1,false,4,0,,NO,ND,false,,25,-102.24544934,21.89491150
