FOLIO,MES,FECHA,DIA_SEM,HORA,MINUTOS,MUNICIPIO,LOCALIDAD,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,ED_INC,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1_INC,VIAL_2_INC,VIAL_P_INC,CUENT_HAB,DINERO,CANTIDAD,BANCO,BOLSO,CARTERA,TECNOLOGIA,CELULAR,JOYERIA,ROPA,BICICLETA,OTROS,OID,FE_16,VEH_SOSP,INCIDENTE,LONG,LAT
798,ENERO,2016-01-01,VIERNES,15,41,SAN FRANCISCO DE LOS ROMO,URBANA,FRACCIONAMIENTO,HIDALGO,8,CALLE,LICENCIADO CARLOS SALINAS DE GORTARI,,623,,,0,,,,NULO,NULO,0,,NULO,NULO,NULO,NULO,NULO,NULO,BICICLETA,NULO,1,,,Robo a persona,-102.26933654,22.06798653
1909,ENERO,2016-01-02,SABADO,10,29,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,NAZARIO ORTIZ GARZA,452,CALLE,MANUEL GARCIA MARTINEZ,,0,,,0,,,,NULO,NULO,0,,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,2,,,Robo a persona,-102.26446509,21.90400037
1224,ENERO,2016-01-01,VIERNES,23,54,AGUASCALIENTES,URBANA,UNIDAD HABITACIONAL,POTREROS DEL OESTE,1098,AVENIDA,SIGLO XXI,,0,,,0,,,,NULO,NULO,0,,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,3,,,Robo a persona,-102.29906462,21.84515057
1510,ENERO,2016-01-02,SABADO,13,58,AGUASCALIENTES,URBANA,COLONIA,ZONA CENTRO,906,CALLE,DOCTOR JESUS DIAZ DE LEON,,101,,,A,,,,NULO,NULO,0,,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,4,,,Robo a persona,-102.29432672,21.88101340
2066,ENERO,2016-01-03,DOMINGO,1,2,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,TRIANA,1095,AVENIDA,PASEO DE LA CRUZ,,0,,,0,,,,NULO,DINERO,300,,NULO,CARTERA,NULO,NULO,NULO,NULO,NULO,NULO,5,,,Robo a persona,-102.29070782,21.87289682
3202,ENERO,2016-01-04,LUNES,16,26,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,ESPAÑA,1052,CALLE,BARCELONA,,0,,,0,,,,NULO,DINERO,800,,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,6,,,Robo a persona,-102.31568624,21.86197910
3885,ENERO,2016-01-05,MARTES,17,26,AGUASCALIENTES,URBANA,COLONIA,ZONA CENTRO,906,CALLE,5 DE MAYO,,0,,,0,,,,NULO,NULO,0,,NULO,CARTERA,NULO,NULO,NULO,NULO,NULO,NULO,7,,,Robo a persona,-102.29767836,21.88390931
4449,ENERO,2016-01-06,MIERCOLES,17,31,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,CUMBRES III,320-P,CALLE,DURAZNO,,0,,,0,,,,NULO,NULO,0,,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,8,,,Robo a persona,-102.23749004,21.92377215
5035,ENERO,2016-01-07,JUEVES,16,33,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLERIAS,491,CALLE,HACIENDA CHICHIMECO,,0,,,0,,,,NULO,NULO,0,,NULO,CARTERA,NULO,CELULAR,NULO,NULO,NULO,NULO,9,,,Robo a persona,-102.24380108,21.88613820
5190,ENERO,2016-01-07,JUEVES,21,15,AGUASCALIENTES,URBANA,COLONIA,OJO DE AGUA,986,AVENIDA,CONVENCION DE 1914 SUR,,0,,,0,,,,NULO,DINERO,250,,NULO,CARTERA,NULO,NULO,NULO,NULO,NULO,NULO,10,,,Robo a persona,-102.27995639,21.86693113
5792,ENERO,2016-01-08,VIERNES,19,41,JESUS MARIA,URBANA,SIN TIPO,CORRAL DE BARRANCOS,142,AVENIDA,GUADALUPE,,0,,,0,,,,NULO,NULO,0,,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,11,,,Robo a persona,-102.32465063,21.95047350
5886,ENERO,2016-01-08,VIERNES,21,38,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,JARDINES DE CASA BLANCA,570,CALLE,VIVERO DE LA HACIENDA,,511,,,0,,,,NULO,NULO,0,,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,12,,,Robo a persona,-102.27326579,21.85063281
6059,ENERO,2016-01-09,SABADO,3,34,JESUS MARIA,URBANA,COLONIA,J. GOMEZ PORTUGAL ORIENTE,125,CALLE,ALEGRIA,,0,,,0,,,,NULO,NULO,0,,NULO,NULO,NULO,CELULAR,NULO,NULO,BICICLETA,NULO,13,,,Robo a persona,-102.28584482,21.99535908
7010,ENERO,2016-01-10,DOMINGO,5,41,AGUASCALIENTES,URBANA,BARRIO,LA PURISIMA,915,AVENIDA,LICENCIADO ADOLFO LOPEZ MATEOS PONIENTE,,0,,,0,,,,NULO,DINERO,200,,NULO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,14,,,Robo a persona,-102.28417709,21.87917777
7022,ENERO,2016-01-10,DOMINGO,6,20,AGUASCALIENTES,URBANA,BARRIO,LA PURISIMA,915,CALLE,PODER LEGISLATIVO,,0,,,0,,,,NULO,NULO,0,,NULO,NULO,NULO,CELULAR,NULO,NULO,NULO,NULO,15,,,Robo a persona,-102.28465129,21.87915677
8017,ENERO,2016-01-11,LUNES,14,53,AGUASCALIENTES,URBANA,SIN TIPO,DESARROLLO SIN DELIMITACION OFICIAL NO. 80,924,AVENIDA,CONVENCION DE 1914 PONIENTE,,0,,,0,,,,NULO,NULO,0,,BOLSO,NULO,NULO,NULO,NULO,NULO,NULO,NULO,16,,,Robo a persona,-102.31220938,21.88566198
