FOLIO,MES,FECHA,DIA_SEM,HORA,MINUTOS,MUNICIPIO,LOCALIDAD,TIPO_ASEN,NOM_ASEN,OID_ASEN,DESTAC_SEG,TIPO_VIAL,NOM_VIAL,ED_INC,NUM_EXT,NUM_EXTC,NUM_INT,NUM_INTC,VIAL_1_INC,VIAL_2_INC,VIAL_P_INC,ARMA_1,ARMA_2,VIOLENCIA,CUENT_HAB,DINERO,CANTIDAD,BANCO,UBIC_BANC,BOLSO,CARTERA,TECNOLOGIA,CELULAR,JOYERIA,ROPA,BICICLETA,MOCHILA,LLAVES,OTROS,TRANS_S_N,UBIC_TRANS,LESIONADO,TRASL_HOSP,FIL_SOSP,ALIAS_SOSP,VEH_SOSP,TIPO_VEH,MONTO,PROCESO,DETENIDO,CIERRE_PRE,OBJ_RECUP,PR_FERIA,OID,INCIDENTE,LONG,LAT
634,ENERO,2018-01-01,LUNES,6,46,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,RODOLFO LANDEROS GALLEGOS,459,TERAN NORTE,AVENIDA,RODOLFO LANDEROS GALLEGOS,NA,0,N,0,N,RODOLFO LANDEROS GALLEGOS,PAZ ROMO VIVAR,OLGA DELGADILLO,CORTANTE,NA,SI,N,0,0,N,NA,0,0,0,0,0,0,0,0,0,1,SI,VIA PUBLICA,SI,HGZ2,ND,N,N,N,0,NO,0,,,NO,1,Robo a persona,-102.25153261,21.90287747
588,ENERO,2018-01-01,LUNES,5,57,AGUASCALIENTES,RURAL,COLONIA,NORIAS DE PASO HONDO,352,MORELOS,CARRETERA,70 OJUELOS - AGUASCALIENTES,NA,0,N,0,N,SALVADOR ALLENDE,FELIPE ANGELES,FRANCISCO VILLA,NA,NA,NO,N,0,0,N,NULO,0,1,0,1,0,0,0,0,0,0,SI,BORDO VEHICULO,NO,NULO,NULO,NULO,NULO,N,0,NULO,0,,,NULO,2,Robo a persona,-102.20679678,21.85590456
929,ENERO,2018-01-01,LUNES,14,0,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLA LAS PALMAS III,564,MORELOS,AVENIDA,MARIANO HIDALGO,NA,3612,N,0,N,PALMA BISMARCK,PALMA NEGRA,PALMA AZUCAR,CONTUSA,NA,SI,N,0,0,N,NULO,0,0,0,1,0,1,0,0,0,0,SI,VIA PUBLICA,NO,NULO,2 SUJETOS VISTEN PANTALON MEZCLILLA,NULO,NULO,N,0,NULO,0,,,NULO,3,Robo a persona,-102.23666110,21.85105702
676,ENERO,2018-01-01,LUNES,7,37,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,CIUDAD INDUSTRIAL,982,MORELOS,AVENIDA,JULIO DIAZ TORRE,NA,0,N,0,N,JESUS RIVERA FRANCO,SIGLO XXI,ANGEL DORRONSORO GANDARA,NA,NA,NO,N,0,0,N,NULO,0,0,0,0,0,0,0,0,0,1,SI,VIA PUBLICA,SI,SE NEGO,1 SUJETO,NULO,NULO,N,0,NULO,0,,,NULO,4,Robo a persona,-102.28077007,21.84560753
990,ENERO,2018-01-01,LUNES,15,47,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,EJIDO OJOCALIENTE,356,TERAN SUR,AVENIDA,ALAMEDA,NA,0,N,0,N,RODOLFO LANDEROS GALLEGOS,20 DE NOVIEMBRE,LAZARO MALDONADO DEL RIO,CONTUSA,NA,SI,N,0,0,N,NULO,0,0,0,1,0,0,0,0,0,0,SI,VIA PUBLICA,NO,NULO,NULO,NULO,NULO,N,0,NULO,0,,,NULO,5,Robo a persona,-102.26363365,21.88647349
1402,ENERO,2018-01-01,LUNES,21,37,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,ESPAÑA,1052,INSURGENTES,CALLE,MADRID,NA,0,N,0,N,ALAMO,ZAMORA,SANTANDER,CORTANTE,NA,SI,N,0,0,N,NULO,0,1,0,0,1,1,0,0,0,0,SI,VIA PUBLICA,NO,NULO,NULO,NULO,NULO,N,3000,NULO,0,,,NULO,6,Robo a persona,-102.31663381,21.86699213
1378,ENERO,2018-01-01,LUNES,21,22,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,VILLA MONTAÑA,502-2,TERAN NORTE,CALLE,MANUEL ZAVALA MADRIGAL,NA,0,N,0,N,FRANCISCO DE J HERRERA,VILLA MONTAÐA,JOSE BUSTAMANTE,NA,NA,NO,N,0,0,N,NULO,1,0,0,1,0,0,0,0,0,0,NO,DOMICILIO,NO,NULO,NULO,EX ESPOSO,NULO,N,0,NULO,0,,,NULO,7,Robo a persona,-102.26402666,21.93754424
1368,ENERO,2018-01-01,LUNES,21,17,JESUS MARIA,RURAL,SIN TIPO,EL REFUGIO,145,JM,CARRETERA,52 EL CERESO - JESUS MARIA,NA,0,N,0,N,NINGUNO,NINGUNO,NINGUNO,CONTUSA,NA,SI,N,0,0,N,NULO,0,0,0,0,0,1,0,0,0,0,SI,VIA PUBLICA,NO,NULO,8 SUJETOS,NULO,MOTOCICLETAS,MOTOCICLETA,0,NULO,0,,,NULO,8,Robo a persona,-102.36937598,21.94238352
1291,ENERO,2018-01-01,LUNES,20,28,JESUS MARIA,URBANA,COLONIA,EL TORITO,199,JM,CALLE,CRISTOBAL COLON,NA,0,N,0,N,SOR JUAN INES DE LA CRUZ,AMADO NERVO,LUIS DONALDO COLOSIO,CONTUSA,NA,SI,N,0,0,N,NULO,0,0,0,0,0,0,1,0,0,0,SI,VIA PUBLICA,NO,NULO,1 SUJETO,NULO,NULO,N,20000,NULO,0,,,NULO,9,Robo a persona,-102.35494246,21.97074137
1114,ENERO,2018-01-01,LUNES,17,53,AGUASCALIENTES,URBANA,FRACCIONAMIENTO,J GUADALUPE PERALTA GAMEZ,411,TERAN SUR,AVENIDA,POLIDUCTO,NA,0,N,0,N,SALUD,LUZ MARIA SALDIVAR RAMIREZ,CATEDRATICOS,CONTUSA,NA,SI,N,0,0,N,NULO,0,0,0,1,0,0,0,0,0,0,SI,VIA PUBLICA,NO,NULO,1 SUJETO VISTE CHAMARRA AZUL MARINO PANTALON MEZCLILLA,NULO,NULO,N,2000,NULO,0,,,NULO,10,Robo a persona,-102.24122536,21.86874511
