FOLIO,ID_INC,MES,FECHA,DIA_SEM,HORA,MINUTOS,HORARIO,MUNICIPIO,TIPO_ASEN,NOM_ASEN,OID_ASEN,TIPO_VIAL,NOM_VIAL,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,TIPO_VIAL2,NOM_VIAL2,TIPO_VIALP,NOM_VIALP,DESTACAMEN,PROCESO,VIOLENCIA,ARMA,CUENTA_HAB,NOM_SUCUR,SUC_CAJER,UBIC_SUCUR,FALLECIDOS,PER_SOSP,ALIAS,DETENIDO,LESIONADO,TRASL_HOSP,T_VEH_SOSP,DESCRIP,RECUP_ART,OBJ_ROBADO,CANTIDAD,MONTO,CORP_ACUD,ESPACIO,CIERRE_COR,OID,INCIDENTE,LONG,LAT
98,30421,1,2019-01-01,2,0,43,0,5,FRACCIONAMIENTO,AGUA CLARA,189,AVENIDA,ALEJANDRO DE LA CRUZ,NA,",,,",CALLE,AGUAS MADRES,BOULEVARD,MIGUEL DE LA MADRID,CALLE,AGUA REGIA,7,false,true,1,NA,NA,0,NA,0,2 SUJETOS,N,0,0,false,N,N,false,"27,28,29",400,400,1,1,2,1,Robo a persona,-102.33791156,21.95568488
622,30421,1,2019-01-01,2,33,7,0,5,COMUNIDAD,MARAVILLAS,183-P,AVENIDA,GUADALUPE,NA,",,,",CARRETERA,MARAVILLAS PASO BLANCO,N,N,CALLE,BENITO JUAREZ,7,false,true,3,NA,NA,0,NA,0,3 SUJETOS,N,0,0,false,COCHE,COCHE DODGE NEON COLOR ORO PLACAS AM155A,false,"3,28,29",3500,12500,1,1,2,2,Robo a persona,-102.32370059,21.95065741
1566,30422,1,2019-01-02,3,1,4,0,1,FRACCIONAMIENTO,CIUDAD INDUSTRIAL,982,CALLE,JULIO DIAZ TORRE,NA,",,,",CALLE,JOSE MARIA ROMO,CALLE,JOSE BARBA ALONSO,CALLE,ANSELMO LOPEZ ARAMBULA,3,false,false,9,NA,NA,0,NA,0,2 SUJETOS,N,0,0,false,COCHE,CARRO TIPO JETTA COLOR GRIS VIDRIOS POLARIZADOS,false,"3,28",750,4750,1,1,2,3,Robo a persona,-102.27892882,21.83222413
1677,30421,1,2019-01-02,3,8,52,0,1,FRACCIONAMIENTO,RODOLFO LANDEROS GALLEGOS,459,CALLE,ESCARAMUZA,NA,",,,",CALLE,ALTAGRACIA REYES A,AVENIDA,SIGLO XXI,AVENIDA,RODOLFO LANDEROS GALLEGOS,4,false,true,3,NA,NA,0,NA,0,3 SUJETOS,N,0,0,false,N,N,false,"3,28",0,0,1,1,1,4,Robo a persona,-102.25398590,21.90028541
1800,30422,1,2019-01-02,3,13,12,0,1,FRACCIONAMIENTO,MUNICIPIO LIBRE,768,CALLE,COMERCIANTES,NA,"100,,,",CALLE,ESFUERZO NACIONAL,CALLE,CATARATAS,CALLE,INGENIEROS,4,false,false,9,NA,NA,0,NA,0,1 SUJETO,N,0,0,false,N,N,false,28,4000,4000,1,1,6,5,Robo a persona,-102.26114261,21.89130781
1852,30421,1,2019-01-02,3,14,39,0,1,FRACCIONAMIENTO,MISION DE SANTA LUCIA,586,AVENIDA,SIGLO XXI,NA,",,,",CALLE,MISION DE SANTA MARIA DE JESUS SACRAMENTADO VENEGAS DE LA TORRE,CALLE,MISION DE SAN MARGARITO FLORES DE GARCIA,CALLE,MISION DE SAN ROMAN ADAME ROSALES,3,false,true,1,NA,NA,0,NA,0,1 SUJETO,N,0,0,false,N,N,false,"3,28,29,31,38",400,400,1,1,2,6,Robo a persona,-102.27325419,21.84990876
2120,30422,1,2019-01-02,3,19,56,0,1,COLONIA,SAN MARCOS (DELEGACION CENTRO),736,AVENIDA,CONVENCION DE 1914 PONIENTE,NA,",,,",CALLE,NICOLAS RAMIREZ,AVENIDA,LICENCIADO ADOLFO LOPEZ MATEOS PONIENTE,CALLE,NIETO,6,false,false,9,TARJETA,BANCOMER,0,LOPEZ MATEOS PONIENTE Y CONVENCION,0,1 SUJETO,N,0,0,false,CAMIONETA,CAMIONETA CERRADA COLOR NEGRA CON VIDRIOS POLARIZADOS,false,40,0,0,1,2,6,7,Robo a persona,-102.31173261,21.87448556
2261,30421,1,2019-01-02,3,22,26,0,1,FRACCIONAMIENTO,VILLAS DE NUESTRA SE¥ORA DE LA ASUNCION (SECTOR GUADALUPE),402,CALLE,FELIPE DE UREÑA,NA,"314,,,",CALLE,REFUGIO GONZALEZ RAMIREZ,CALLE,ALFONSO DE ANDA CUELLAR,CALLE,JOSE E FEMAT GUTIERREZ,5,false,true,3,NA,NA,0,NA,0,ND,N,0,0,false,N,N,false,"3,15",0,6,1,0,6,8,Robo a persona,-102.25584589,21.92830615
2644,30422,1,2019-01-03,4,12,40,0,1,COLONIA,ALTAVISTA,922,CALLE,AQUILES SERDAN,NA,",,,",CALLE,GUILLERMO PRIETO,CALLE,PROFESOR EDMUNDO GAMEZ OROZCO,CALLE,FRANCISCO VILLA,6,false,false,9,NA,NA,0,NA,0,1 SUJETO,N,0,0,false,N,N,false,3,0,3000,1,1,2,9,Robo a persona,-102.30331266,21.89472539
2914,30421,1,2019-01-03,4,7,2,0,1,FRACCIONAMIENTO,MORELOS I,1120,CALLE,30 DE JULIO,NA,",,,",CALLE,CONGRESO DE CHILPANCINGO,CALLE,ARTILLERO MIER,AVENIDA,HEROE INMORTAL,3,false,true,3,NA,NA,0,NA,0,5 SUJETOS,N,0,0,false,N,N,false,38,0,0,1,1,27,10,Robo a persona,-102.26744425,21.85438115
2993,30421,1,2019-01-03,4,19,50,0,1,COLONIA,ZONA CENTRO,906,CALLE,JUAN DE MONTORO,NA,"479,,,",CALLE,COSIO SUR,CALLE,JUAN DE MONTORO,CALLE,JOSEFA ORTIZ DE DOMINGUEZ,1,false,true,3,NA,NA,0,NA,0,2 SUJETOS,N,0,0,false,N,N,false,3,0,3000,1,3,1,11,Robo a persona,-102.28723473,21.88223049
3115,30421,1,2019-01-03,4,22,10,0,1,FRACCIONAMIENTO,SOLIDARIDAD II,579,AVENIDA,SIGLO XXI,NA,",,,",CALLE,CERRO DEL MIXTON,CALLE,ATOTONITLAN,CALLE,CERRO DEL MIXTON,3,false,true,1,NA,NA,0,NA,0,2 SUJETOS 3,N,0,0,false,N,N,false,"3,12",0,2500,1,1,1,12,Robo a persona,-102.24718912,21.86406023
3534,30421,1,2019-01-04,5,13,47,0,1,FRACCIONAMIENTO,MISION DE SANTA LUCIA,586,AVENIDA,HEROE INMORTAL,NA,",,,",CALLE,JESUS RIVERA FRANCO,CALLE,SAN RODRIGO AGUILAR ALEMAN,CALLE,SAN DAVID ROLDAN LARA,3,false,true,3,NA,NA,0,NA,0,3 SUJETOS,N,0,0,false,N,N,false,12,0,0,1,1,1,13,Robo a persona,-102.26925716,21.84539825
3587,30421,1,2019-01-04,5,15,0,0,1,FRACCIONAMIENTO,INSURGENTES,1046,CALLE,GENERAL LUIS MOYA,NA,"1706,,,",CALLE,GENERAL LUCIO BLANCO,CALLE,GENERAL ROQUE GONZALEZ GARZA,CALLE,ABRAHAM GONZALEZ,2,false,true,1,NA,NA,0,NA,0,1 SUJETO,N,0,0,false,N,N,false,3,0,2000,1,1,1,14,Robo a persona,-102.30367111,21.84687951
3668,30421,1,2019-01-04,5,16,6,0,5,COLONIA,LA ESCALERA,219,CALLE,LAS FLORES,NA,"108,C,,",CALLE,MIRASOLES,CALLE,NIAGARA,CALLE,NIAGARA NORTE,7,false,true,8,NA,NA,0,NA,0,1 SUJETO,N,0,0,false,N,N,false,14,0,2000,1,1,1,15,Robo a persona,-102.34692577,21.97050464
3846,30422,1,2019-01-04,5,20,0,0,1,BARRIO,LA SALUD,1122,CALLE,DELICIAS,NA,",,,",CALLE,SANTOS DEGOLLADO,CALLE,PRINCESITA,CALLE,BUSTAMANTE,3,false,false,9,NA,NA,0,NA,0,1 SUJETO,N,0,0,false,N,N,false,3,0,2600,1,3,2,16,Robo a persona,-102.28400674,21.86991063
4141,30421,1,2019-01-05,6,1,19,0,1,FRACCIONAMIENTO,FIDEL VELAZQUEZ,766,AVENIDA,OJOCALIENTE,NA,",,,",ANDADOR,PLAZA FUENTE DE HERCULES,CALLE,N,CALLE,PLAZA FUENTE DE HERCULES,4,false,true,1,NA,NA,0,NA,0,3 SUJETOS,N,0,0,false,N,N,false,"6,28,29",180,180,1,1,2,17,Robo a persona,-102.25845888,21.89277431
4185,30421,1,2019-01-05,6,4,36,0,1,FRACCIONAMIENTO,PERIODISTAS,404,CALLE,REDACTORES,NA,"201,,,",AVENIDA,AMALIA GOMEZ ZEPEDA,AVENIDA,DEL REY,CALLE,DISEÑADORES,3,false,true,8,NA,NA,0,NA,0,ND,N,0,0,false,MOTOCICLETA,MOTOCICLETA,false,3,4500,4500,1,1,1,18,Robo a persona,-102.24916799,21.85162393
4256,30421,1,2019-01-05,6,5,58,0,1,FRACCIONAMIENTO,LUIS ORTEGA DOUGLAS,440,AVENIDA,SIGLO XXI,NA,",,,",CALLE,EL GIGANTE,CALLE,EL PICACHO,CALLE,EL YUGO,5,true,true,8,NA,NA,0,NA,0,1 SUJETO,N,0,0,false,N,N,false,"3,38",0,0,1,1,2,19,Robo a persona,-102.25923954,21.90931081
4356,30421,1,2019-01-05,6,10,53,0,1,FRACCIONAMIENTO,VILLAS DE NUESTRA SE¥ORA DE LA ASUNCION (SECTOR ESTACION),502,CALLE,MANUEL FERNANDEZ SANCHEZ,NA,",,,",CALLE,JESUS GARCIA CORONA,CALLE,JUAN G ALVARADO,CALLE,FRANCISCO DE J HERRERA L,5,false,true,1,NA,NA,0,NA,0,6 HOMBRES,N,0,0,false,N,N,false,"6,31",0,1000,1,1,57,20,Robo a persona,-102.25896999,21.94047246
4623,30421,1,2019-01-05,6,16,19,0,1,FRACCIONAMIENTO,COLINAS DE ORIENTE,460,AVENIDA,GOBERNANTES,NA,"820,,,",CALLE,HIGUERA,AVENIDA,OJOCALIENTE,CALLE,HIGUERA,4,false,true,3,NA,NA,0,NA,0,ND,N,0,0,false,COCHE,COCHE VERSA COLOR ROJO,false,"3,29",0,1500,1,1,1,21,Robo a persona,-102.26071053,21.90385696
4766,30422,1,2019-01-05,6,19,13,0,1,COLONIA,LAS FLORES,1072,CALLE,CAMELIAS,NA,",,,",CALLE,LOS LAURELES,AVENIDA,DE LAS ORQUIDEAS,CALLE,TULIPANES,2,false,false,9,NA,NA,0,NA,0,2 HOMBRES,N,0,0,false,MOTOCICLETA,MOTOCICLETA COLOR VERDE,false,3,0,2500,1,1,1,22,Robo a persona,-102.30386906,21.87409573
4808,30421,1,2019-01-05,6,20,11,0,11,DESARROLLO ESPECIAL,UNION GANADERA,3,CARRETERA,45,NA,",,,",N,N,N,N,N,N,7,false,true,3,NA,NA,0,NA,0,2 HOMBRES,N,1,0,false,N,N,true,3,0,0,1,1,4,23,Robo a persona,-102.27911151,22.06391269
4846,30422,1,2019-01-05,6,20,49,0,1,FRACCIONAMIENTO,EL COBANO,474,CALLE,LIBRA,NA,",,,",CALLE,LOMA NEVADA,CALLE,PISCIS,CALLE,OSA MAYOR,5,false,false,9,NA,NA,0,NA,0,1 HOMBRE,N,0,0,false,MOTOCICLETA,MOTOCICLETA,false,3,0,9000,1,1,1,24,Robo a persona,-102.27536392,21.90396370
4890,30421,1,2019-01-05,6,21,40,0,1,FRACCIONAMIENTO,PERIODISTAS,404,AVENIDA,DEL REY,NA,",,,",CALLE,LINOPTIPISTAS,CALLE,AMALIA GOMEZ ZEPEDA,CALLE,REPORTEROS,3,false,true,1,NA,NA,0,NA,0,1 HOMBRE CON UN TATUAJE EN EL CUELLO,N,0,0,false,N,N,false,3,0,0,1,1,6,25,Robo a persona,-102.25047004,21.85169732
5014,30422,1,2019-01-05,6,23,9,0,1,COLONIA,OJO DE AGUA,535,AVENIDA,CONVENCION DE 1914 ORIENTE,NA,",,,",AVENIDA,MARIANO ESCOBEDO,AVENIDA,FERROCARRIL,CALLE,CEDAZO,3,false,false,9,NA,NA,0,NA,0,3 HOMBRES,N,0,0,false,N,N,false,"3,6,29,31",1000,9000,1,1,1,26,Robo a persona,-102.27729639,21.86793628
