FOLIO,FOLIO_REL,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,ID_ASEN,ID_COL,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,RANGO,HORARIO,INGRESO,DESHABITAD,PROCESO,VIOLENCIA,ARMAS_US,ARMA,PER_SOSP,ALIAS,SEXO_AGRE,SEXO_AFEC,CAT_SOS,DETENIDO,MOT_DET,DET_SPM,LESION_AFE,LESION_PR,TRASL_HOSP,FALLECIDOS,T_VEH_SOS,DESCRIP,REROBADO,OBJ_ROBADO,HECHOS,CANTIDAD,MONTO,RECUP_ART,CORP_ACUD,CIERRE_COR,DEN_CASIO,LONG,LAT,OID
250007446,0,30414,ROBO A CASA,1,01/01/2025,1,3,1,FRACCIONAMIENTO,LOS ANGELES,603,603,CALLE,ARTEMIS,NA,NA,"308,,,",CALLE,VIÑEDOS RIVIER,3,0,0,19,07:00 a. m.,4,NO,Falso,Falso,9,ninguna,1 HOMBRE,ND,H,H,8,0,N,N,0,0,Falso,0,N,N,NO,6,tecnologia,0,0,Falso,1,1,0,-102.27729,21.9546357,1
250010100,0,30414,ROBO A CASA,1,01/01/2025,1,8,5,CONDOMINIO,TROJES SAN CRISTOBAL,1089,1089,CALLE,TROJE PABELLON,NA,NA,"133,,,",AVENIDA,ADOLFO LOPEZ MATEOS,7,0,0,1,dias solo,2,NO,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,NO,"2,6,12,15","computo, tecnologia, ropa, joyeria",0,216000,Falso,1,1,0,-102.30817,21.9428374,2
250011692,0,30414,ROBO A CASA,1,02/01/2025,1,4,1,FRACCIONAMIENTO,VISTAS DE ORIENTE,353,353,CALLE,CATARATAS DEL NIAGARA,NA,NA,"119,,,",CALLE,SANTIAGO 202,4,5,10,26,05:10 a. m.,4,NO,Falso,Falso,9,ninguna,ND,ND,ND,M,8,0,N,N,0,0,Falso,0,N,N,NO,14,bicicleta,0,0,Falso,1,1,0,-102.23432,21.8822038,3
250011877,0,30414,ROBO A CASA,1,02/01/2025,1,4,5,FRACCIONAMIENTO,BUENAVISTA,1070,1070,CALLE,MEZQUITAL,NA,NA,"444,,,",CALLE,REES FISCHER,7,0,0,27,sin datos,9,NO,Falso,Falso,9,ninguna,ND,ND,ND,M,8,0,N,N,0,0,Falso,0,N,N,NO,"3,28","celular, dinero",900,900,Falso,1,6,0,-102.35855,21.9685337,4
250013591,0,30414,ROBO A CASA,1,02/01/2025,1,4,1,FRACCIONAMIENTO,PILAR BLANCO,142,142,BOULEVARD,AGUILA,NA,6MT,",,7,",ANDADOR,FAISAN,2,0,0,27,sin datos,9,NO,Falso,Falso,9,ninguna,HERMANO,ND,H,M,5,0,N,N,0,0,Falso,0,N,N,NO,18,tanque de gas,0,0,Falso,1,10,0,-102.29815,21.8502286,5
250014297,0,30414,ROBO A CASA,1,02/01/2025,1,8,1,COMUNIDAD,SAN ANTONIO DE PEÑUELAS,15,15,CALLE,FRESNOS,NA,NA,",,,",CALLE,JACARANDA,2,0,0,1,dias solo,4,SOLA,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,NO,"1,8,10","pantalla, electrodomesticos, acabados",0,80000,Falso,1,1,0,-102.29801,21.6778937,6
250014554,0,30414,ROBO A CASA,1,02/01/2025,1,8,5,CONDOMINIO,RINCON DEL PILAR,983,983,CALLE,PUENTE DEL PILAR,NA,NA,"114,,,",CALLE,PUENTE DE PIEDRA,7,0,0,1,dias solo,6,SOLA,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,NO,1,pantalla,0,30000,Falso,1,1,0,-102.34376,21.9369908,7
250015048,0,30414,ROBO A CASA,1,02/01/2025,1,4,1,FRACCIONAMIENTO,"VILLA DE NUESTRA SEÑORA DE LA ASUNCION, SECTOR GUADALUPE",342,342,CIRCUITO,NOTREDAME,NA,NA,1111,CALLE,ELIAS DE LARA,3,0,0,18,dias solo,4,NO,Falso,Falso,9,ninguna,ND,ND,ND,M,8,0,N,N,0,0,Falso,0,N,N,NO,"8,9,18","electrodomesticos, mobiliario, tanque de gas",0,0,Falso,1,1,0,-102.25295,21.9287502,8
250015558,0,30414,ROBO A CASA,1,02/01/2025,1,4,1,FRACCIONAMIENTO,VILLA MONTAÑA,601,601,CALLE,NEVADO DE PALERMO,NA,NA,"404,D,,",PROLONGACION,CONSTITUCIONALISTA,3,0,0,27,sin datos,4,NO,Falso,Falso,9,ninguna,ND,ND,ND,M,8,0,N,N,0,0,Falso,0,N,N,NO,"1,14,18","pantalla, bicicleta, tanque de gas",0,10000,Falso,"1,23",1,3716,-102.25519,21.9447934,9
250018340,0,30414,ROBO A CASA,1,03/01/2025,1,8,10,CASA,CASA CERCA EL BARRENO,1300R,0,CARRETERA,68,6.3,NA,",,,",N,N,7,0,0,1,dias solo,9,SOLA,Falso,Falso,9,ninguna,ND,ND,ND,M,8,0,N,N,0,0,Falso,0,N,N,NO,"5,8,18","equipo de sonido, electrodomesticos, tanque de gas",0,0,Falso,1,28,0,-102.16117,21.9086776,10
250019690,0,30414,ROBO A CASA,1,03/01/2025,1,5,6,BARRIO,PALO ALTO,1128,1128,CALLEJON,ANGOSTO,NA,NA,"17,,,",CALLE,RIO SAN PEDRO,7,0,0,27,sin datos,9,NO,Falso,Falso,9,ninguna,1 HOMBRE,EL PILLINO,H,M,8,0,N,N,0,0,Falso,0,N,N,NO,"14,24","bicicleta, bateria",0,0,Verdadero,1,1,0,-102.26906,22.1452074,11
250001539,0,50102,ROBO A CASA,1,01/01/2025,1,3,1,FRACCIONAMIENTO,MORELOS I,598,598,CALLE,HERMANOS GALEANA,NA,NA,"704,,,",CALLE,HERMANOS BRAVO,5,0,0,27,sin datos,9,NO,Falso,Falso,9,ninguna,ND,ND,ND,H,8,1,ROBO DOMICILIARIO,MIGUEL BARCA SOTO 32 AÑOS,0,0,Falso,0,N,N,NO,39,sin datos,0,0,Falso,1,4,0,-102.2641,21.8555917,12
250006036,0,30404,ROBO A CASA,1,01/01/2025,1,3,1,FRACCIONAMIENTO,VILLA DE LA LOMA,336,336,CALLE,LOMA DEL PUMA,NA,NA,"143,,,",CALLE,LOMA DEL JABALI,3,0,0,18,dias solo,4,NO,Falso,Falso,9,ninguna,VECINO,ND,H,M,6,0,N,N,0,0,Falso,0,N,N,NO,10,acabados,0,0,Falso,1,1,0,-102.2472,21.912296,13
250006883,0,30446,ROBO A CASA,1,01/01/2025,1,3,1,FRACCIONAMIENTO,VILLA MONTAÑA,601,601,CALLE,CERRO LIRIMA,NA,NA,"112,C,,",CALLE,MONTES DE TOLEDO,3,0,0,27,sin datos,4,NO,Falso,Falso,9,ninguna,ND,ND,ND,M,8,0,N,N,0,0,Falso,0,N,N,NO,12,ropa,0,500,Falso,1,6,0,-102.25593,21.9470506,14
250007160,0,50107,ROBO A CASA,1,01/01/2025,1,3,1,FRACCIONAMIENTO,COLINAS DEL RIO,663,663,CALLE,MAR CARIBE,NA,NA,"316,,,",CALLE,RIO COLORADO,6,0,0,27,sin datos,4,NO,Falso,Falso,9,ninguna,EMPLEADA DOMESTICA,ND,H,H,2,0,N,N,0,0,Falso,0,N,N,NO,28,dinero,0,50000,Falso,1,1,0,-102.32214,21.8967049,15
250010730,0,30446,ROBO A CASA,1,01/01/2025,1,3,1,FRACCIONAMIENTO,PASEOS DE SAN ANTONIO,634,634,CALLE,KALAMARIA,NA,NA,"114,B,,",AVENIDA,RANCHO SAN ANTONIO,5,23,15,24,11:15 p. m.,4,NO,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,NO,14,bicicleta,0,50000,Falso,1,1,0,-102.26893,21.8105451,16
250011352,0,30904,ROBO A CASA,1,02/01/2025,1,4,1,FRACCIONAMIENTO,"VILLA DE NUESTRA SEÑORA DE LA ASUNCION, SECTOR ESTACION",354,354,CALLE,MIGUEL ROMO GONZALEZ,NA,NA,"217,,,",CALLE,RAFAEL GOMEZ RAMIREZ,3,1,54,25,01:54 a. m.,1,NO,Verdadero,Falso,9,ninguna,1 HOMBRE,ND,H,H,8,1,DISTURBIO,RAYAN ALEXIS PEDROZA 16 AÑOS,0,0,Falso,0,N,N,NO,10,acabados,0,0,Falso,1,4,0,-102.25571,21.9385016,17
250017172,0,50102,ROBO A CASA,1,03/01/2025,1,5,1,FRACCIONAMIENTO,"VILLA DE NUESTRA SEÑORA DE LA ASUNCION, SECTOR GUADALUPE",342,342,PRIVADA,DE GUADALUPE,NA,NA,"46,B,,",CALLE,FEDERICO MENDEZ,3,1,10,25,01:10 a. m.,4,NO,Falso,Falso,9,ninguna,ND,ND,ND,M,8,0,N,N,0,0,Falso,0,N,N,NO,10,acabados,0,0,Falso,1,2,0,-102.24998,21.9299978,18
250020572,0,30414,ROBO A CASA,1,03/01/2025,1,8,1,FRACCIONAMIENTO,PASEOS DE SAN ANTONIO,634,634,CALLE,KOZANI,NA,NA,"115,,,",CALLE,LIVORNO,5,0,0,1,dias solo,4,NO,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,NO,"1,5,8,11,12,27","pantalla, equipo de sonido, electrodomesticos, herramienta, ropa, documentos",0,52500,Falso,"1,23",1,3722,-102.27002,21.8110849,19
250021041,0,30414,ROBO A CASA,1,03/01/2025,1,5,1,FRACCIONAMIENTO,HACIENDAS DE AGUASCALIENTES,530,530,CALLE,HACIENDA EL MILAGRO,NA,NA,"639,,,",CALLE,ARELLANO,4,0,0,3,13:30-19:55,5,NO,Falso,Falso,9,ninguna,1 HOMBRE DELGADO,ND,H,H,8,0,N,N,0,0,Falso,0,N,N,NO,15,joyeria,0,40000,Falso,1,1,0,-102.25031,21.8829144,20
250022021,0,30414,ROBO A CASA,1,03/01/2025,1,5,1,FRACCIONAMIENTO,PERIODISTAS,204,204,CALLE,EDITORIALISTAS,NA,NA,"115,,,",AVENIDA,AMALIA GOMEZ ZEPEDA,5,21,40,24,09:40 p. m.,9,NO,Falso,Falso,9,ninguna,PAPA,ND,H,M,5,0,N,N,0,0,Falso,0,N,N,NO,18,tanque de gas,0,0,Falso,1,1,0,-102.25144,21.8531949,21
250022411,0,30414,ROBO A CASA,1,03/01/2025,1,8,1,FRACCIONAMIENTO,PINTORES MEXICANOS,671,671,CALLE,PEDRO CORONEL,NA,NA,"332,,,",CALLE,JOSE LUIS CUEVAS,3,0,0,1,dias solo,3,SOLA,Falso,Falso,9,ninguna,ND,ND,ND,M,8,0,N,N,0,0,Falso,0,N,N,NO,"1,2,42","pantalla, computo, instrumentos musicales",0,25000,Falso,1,1,0,-102.26288,21.9207257,22
250023166,0,30414,ROBO A CASA,1,04/01/2025,1,6,5,FRACCIONAMIENTO,BARRANQUILLAS,951R,0,BOULEVARD,MIGUEL DE LA MADRID HURTADO,NA,NA,",,,",CALLE,BRETAÑA,7,0,0,25,02:50 a. m.,4,NO,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,NO,5,equipo de sonido,0,100,Falso,1,1,0,-102.33394,21.9504547,23
250023346,0,30414,ROBO A CASA,1,04/01/2025,1,6,1,FRACCIONAMIENTO,PARRAS,224,224,CALLE,CARDENAL,NA,NA,"200,,,",CALLE,VIÑEDO,3,4,44,26,04:44 a. m.,1,NO,Falso,Falso,9,ninguna,1 HOMBRE,ND,H,M,8,0,N,N,0,0,Falso,0,N,N,NO,14,bicicleta,0,0,Falso,1,1,0,-102.27783,21.9129838,24
250023365,0,30904,ROBO A CASA,1,04/01/2025,1,6,1,CONDOMINIO,LOS LAURELES III,549,549,CALLE,HELECHO,NA,NA,"106,,,",CALLE,HELECHO,4,5,6,26,05:06 a. m.,1,NO,Falso,Falso,9,ninguna,ND,ND,ND,M,8,0,N,N,0,0,Falso,0,N,N,NO,10,acabados,0,0,Falso,1,6,0,-102.24061,21.9060492,25
250023410,0,30414,ROBO A CASA,1,04/01/2025,1,6,1,FRACCIONAMIENTO,LOS PERICOS,287,287,CALLE,SAN BERNARDO,NA,NA,"123,,,",AVENIDA,CULTURA OTOMI SUR,4,0,0,15,22:00-05:26,4,NO,Falso,Falso,9,ninguna,1 HOMBRE,ND,ND,M,8,0,N,N,0,0,Falso,0,N,N,NO,"11,19","herramienta, material de construccion",0,4600,Falso,"1,23",1,3723,-102.24606,21.8995688,26
250023514,0,30414,ROBO A CASA,1,04/01/2025,1,6,1,FRACCIONAMIENTO,VILLA MONTAÑA,601,601,CALLE,CERRO NOVILLO,NA,NA,"105,,,",CALLE,FRANCISCO DE J HERRERA L,3,0,0,16,20:00-06:20,7,NO,Falso,Falso,9,ninguna,ND,ND,ND,M,8,0,N,N,0,0,Falso,0,N,N,NO,"12,38","ropa, otros",0,0,Falso,1,11,0,-102.26083,21.9398276,27
250023800,0,30414,ROBO A CASA,1,04/01/2025,1,6,1,FRACCIONAMIENTO,PASEOS DE SAN ANTONIO,634,634,CALLE,MAURITANIA,NA,NA,"107,B,,",AVENIDA,PASEOS DE LA HABANA,5,0,0,5,00:00-05:59,4,NO,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,NO,"11,14","herramienta, bicicleta",0,0,Falso,1,1,0,-102.26909,21.8093254,28
250023925,0,30414,ROBO A CASA,1,04/01/2025,1,6,1,FRACCIONAMIENTO,"VILLA DE NUESTRA SEÑORA DE LA ASUNCION, SECTOR GUADALUPE",342,342,CALLE,CELIA MARIA MARTINEZ,NA,NA,"124,,,",CALLE,FRANCISCO TISCAREÑO,3,5,20,26,05:20 a. m.,4,NO,Falso,Falso,9,ninguna,ND,RICARDO CARACHEO LARA EL CHINO,ND,H,8,1,AGRESIONES,RICARDO CARACHEO LARA 52 AÑOS,0,0,Falso,0,N,N,NO,"11,24","herramienta, bateria",0,7000,Falso,"1,23",4,3724,-102.25704,21.933345,29
250026646,0,30414,ROBO A CASA,1,04/01/2025,1,6,1,COMUNIDAD,GENERAL JOSE MARIA MORELOS Y PAVON (CAÑADA HONDA),51,51,CALLE,LOMA VERDE,NA,NA,"206,,,",CALLE,PEÑASCO,3,0,0,18,17:00-18:50,4,NO,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,NO,"1,11","pantalla, herramienta",0,0,Falso,1,1,0,-102.20572,21.9977338,30
250027081,0,30414,ROBO A CASA,1,04/01/2025,1,6,1,FRACCIONAMIENTO,VIVANTA RESIDENCIAL,1109R,1109,CIRCUITO,VIVANTA,NA,NA,"703,,,",CALLE,NIÑOS HEROES,6,0,0,14,18:00-20:00,5,NO,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,NO,18,"pantalla, electrodomesticos",0,70000,Falso,"1,23",1,3725,-102.29262,21.9390751,31
250028035,0,30414,ROBO A CASA,1,04/01/2025,1,6,1,FRACCIONAMIENTO,LOMAS DEL CHAPULIN,463,463,CALLE,ARROYO,NA,NA,"1204,,,",CALLE,ENEBRO,5,0,0,10,06:00-21:40,4,NO,Falso,Falso,9,ninguna,ND,ND,ND,M,8,0,N,N,0,0,Falso,0,N,N,NO,10,acabados,0,0,Falso,1,1,0,-102.24407,21.856733,32
250030030,0,30414,ROBO A CASA,1,05/01/2025,1,7,1,COLONIA,GREMIAL,613,613,CALLE,CORONEL FELIX DE LA PAZ,NA,NA,"606,,,",AVENIDA,HEROE DE NACOZARI NORTE,6,0,0,27,sin datos,4,NO,Falso,Falso,9,ninguna,ND,ND,ND,M,8,0,N,N,0,0,Falso,0,N,N,NO,6,tecnologia,0,3700,Falso,"1,23",1,3727,-102.28742,21.896727,33
250031164,0,30446,ROBO A CASA,1,05/01/2025,1,7,1,FRACCIONAMIENTO,VALLE DE LOS CACTUS,360,360,ANDADOR,CHAMACUERO 604,NA,NA,"26,,,",AVENIDA,PASEO DE LA BIZNAGA,4,0,0,5,00:00-05:59,4,NO,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,NO,10,acabados,0,0,Falso,1,1,0,-102.23033,21.8664221,34
250031325,0,30414,ROBO A CASA,1,05/01/2025,1,7,5,FRACCIONAMIENTO,LA PALMA,0,0,AVENIDA,SIGLO XXI,NA,NA,",,,",N,N,7,0,0,16,22:00-12:00,5,NO,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,NO,"11,19","herramienta, material de construccion",0,5000,Falso,1,1,0,-102.35788,21.9452183,35
250032758,0,30414,ROBO A CASA,1,04/01/2025,1,6,1,RESIDENCIAL,CADAQUES,506,506,CALLE,PASEO DE LA SOLEDAD,NA,NA,"600,,20,20,,,",AVENIDA,PASEO DE LA SOLEDAD,6,19,38,23,07:38 p. m.,4,NO,Falso,Falso,9,ninguna,1 HOMBRE,ND,H,H,8,0,N,N,0,0,Falso,0,N,N,NO,14,bicicleta,0,13000,Falso,1,1,0,-102.30853,21.930647,36
250033925,250030537,30414,ROBO A CASA,1,05/01/2025,1,7,5,FRACCIONAMIENTO,RINCONADA SAN MIGUELITO,897,897,CALLE,SAN DANIEL,NA,NA,"610,,,",CALLE,ANGELES,7,0,0,26,05:50 a. m.,4,NO,Falso,Falso,9,ninguna,1 HOMBRE,ND,H,M,8,0,N,N,0,0,Falso,0,N,N,NO,19,material de construccion,0,0,Falso,1,1,0,-102.33316,21.9580661,37
250034536,0,30446,ROBO A CASA,1,05/01/2025,1,7,1,FRACCIONAMIENTO,PERIODISTAS,204,204,CALLE,GRABADORES,NA,NA,"122,,,",AVENIDA,DEL REY,5,8,0,19,08:00 a. m.,4,NO,Falso,Falso,9,ninguna,1 HOMBRE,ND,H,M,8,1,DISTURBIO,JORGE ALEJANDRO GARCIA RAMIREZ 28 AÑOS,0,0,Falso,0,N,N,NO,9,mobiliario,0,3500,Falso,1,4,0,-102.24737,21.8516587,38
250035714,0,31001,ROBO A CASA,1,05/01/2025,1,7,1,FRACCIONAMIENTO,CAMPESTRE 3A SECCION,108,108,CALLE,DEL HUIZACHE,NA,NA,"122,,,",CALLE,DEL MEZQUITE,6,22,45,24,10:45 p. m.,3,NO,Falso,Falso,9,ninguna,2 HOMBRES,ND,H,M,8,0,N,N,0,0,Falso,0,N,N,NO,"18,38","dinero, otros",50000,60000,Falso,"1,23",1,3732,-102.32308,21.9290098,39
250036136,0,50107,ROBO A CASA,1,05/01/2025,1,7,1,COLONIA,OBRAJE,518,518,CALLE,GENERAL VICENTE GUERRERO SUR,NA,NA,"354,,,",AVENIDA,ADOLFO LOPEZ MATEOS PONIENTE,1,0,0,14,16:30-23:45,9,NO,Falso,Falso,9,ninguna,HERMANA,ND,M,M,5,0,N,N,0,0,Falso,0,N,N,NO,10,acabados,0,0,Falso,1,11,0,-102.29815,21.876207,40
