FOLIO,FOLIO_REL,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,ID_ASEN,ID_COL,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,RANGO,HORARIO,PROCESO,VIOLENCIA,ARMA_US,ARMA,PER_SOSP,ALIAS,SEXO_AGRE,SEXO_AFEC,CAT_SOSP,DETENIDO,DET_SPM,MOT_DET,LESION_AFE,LESION_PR,TRASL_HOSP,FALLECIDOS,T_VEH_SOS,DESCRIP,RECUP_ART,CORP_ACUD,CIERRE_COR,DEN_CASIO,CARRETERA,TIPO_CARR,MARCA,SUBMARCA,MODELO,COLOR,PLACAS,SERIE,MOTOR,EDO_PLACAS,HECHOS,TRANSP_PUB,TIPO_VEH,TRANSPTTA,A_TRANS_PA,LLAVES_PUE,LPR,CARP_INV,CASA_VEH,ASEN_REC,COND_REC,CORP_REC,FECHA_REC,DIA_REC,MUN_REC,LONG,LAT,FERIA,EXTORSION,OID
250009697,0,30463,ROBO DE MOTOCICLETA,1,01/01/2025,1,3,1,FRACCIONAMIENTO,EJIDO OJOCALIENTE,559,559,AVENIDA,TECNOLOGICO,NA,NA,",,,",CALLE,PUENTE DE ALVARADO,4,21,30,24,09:30 p. m.,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,Verdadero,1,1,0,Falso,NA,ITALIKA,FT125,2023,NEGRO,74CNJ3,ND,ND,AGUASCALIENTES,ITALIKA FT125 2023 NEGRO,0,MOTO,Falso,PARADO,Falso,Falso,ND,Falso,RUSTICOS CALPULLI,5,AGS,02/01/2025,4,1,-102.26074,21.8791913,0,,1
250011116,0,30463,ROBO DE MOTOCICLETA,1,02/01/2025,1,4,1,FRACCIONAMIENTO,"VILLA DE NUESTRA SEÑORA DE LA ASUNCION, SECTOR ESTACION",354,354,CALLE,RAFAEL GOMEZ RAMIREZ,NA,NA,"502,,,",CALLE,MIGUEL ROMO GONZALEZ,3,0,0,25,00:00-02:59,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,Verdadero,1,1,0,Falso,NA,ITALIKA,DT150,2020,NARANJA,64CJN3,ND,ND,AGUASCALIENTES,ITALIKA DT150 2020 NARANJA,0,MOTO,Falso,PARADO,Falso,Falso,ND,Falso,VNSA,5,AGS,01/01/2025,3,1,-102.25529,21.9381908,0,,2
250011148,0,30463,ROBO DE MOTOCICLETA,1,02/01/2025,1,4,4,RURAL,REFUGIO DE PROVIDENCIA (LA PROVIDENCIA),889,889,CALLE,INSURGENTES,NA,NA,",,,",CALLE,EMILIANO ZAPATA,7,0,0,24,21:30-22:00,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,Falso,1,1,0,Falso,NA,ITALIKA,150Z,0,AMARILLO CON NEGRO,77AKE1,3SCA5ALB8N1006407,ND,AGUASCALIENTES,ITALIKA 150Z AMARILLO CON NEGRO,0,MOTO,Falso,PARADO,Falso,Falso,ND,Falso,,,,01/01/1900,0,0,-102.2573,22.3475463,0,,3
250011776,0,30463,ROBO DE MOTOCICLETA,1,02/01/2025,1,4,1,FRACCIONAMIENTO,HACIENDAS DE AGUASCALIENTES,530,530,CALLE,HACIENDA GRACIAS A DIOS,NA,NA,"122,,,",CALLE,HACIENDA SAN ISIDRO,4,0,0,5,00:00-05:59,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,Falso,1,2,0,Falso,NA,ITALIKA,150CC,0,NEGRO,ND,ND,ND,ND,ITALIKA 150CC NEGRO,0,MOTO,Falso,PARADO,Falso,Falso,ND,Falso,,,,01/01/1900,0,0,-102.24871,21.8870693,0,,4
250020927,0,30463,ROBO DE MOTOCICLETA,1,03/01/2025,1,5,1,FRACCIONAMIENTO,"VILLA DE NUESTRA SEÑORA DE LA ASUNCION, SECTOR ENCINO",331,331,AVENIDA,SIGLO XXI,NA,NA,",,,",PROLONGACION,ADORATRICES,3,0,0,23,19:00-19:36,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,Falso,1,1,0,Falso,NA,ITALIKA,ND,2024,NEGRO CON VERDE,6ACPS5,3SCK2AET7R1060625,ND,AGUASCALIENTES,ITALIKA 2024 NEGRO CON VERDE,0,MOTO,Falso,PARADO,Falso,Falso,CI/AGS/00241/01-25,Falso,,,,01/01/1900,0,0,-102.26462,21.9254842,0,,5
250476997,0,30414,ROBO DE MOTOCICLETA,3,07/03/2025,10,5,1,FRACCIONAMIENTO,ESPAÑA,171,171,AVENIDA,AGUASCALIENTES PONIENTE,NA,NA,"1703,,,",CALLE,BURGOS,2,6,30,19,06:30 a. m.,Falso,Falso,9,ninguna,1 HOMBRE,"""EL MARIACHI""",H,H,8,0,N,N,0,0,Falso,0,N,N,Falso,20,13,0,Falso,NA,APRILLA,ND,2010,GRIS CON NEGRO,ND,LFSTCKPR1A110410,ND,ND,APRILLA 2010 GRIS CON NEGRO,0,MOTO,Falso,PARADO,Falso,Falso,CI/AGS/06656/03-25,Verdadero,,,,01/01/1900,0,0,-102.31759,21.8658532,0,Falso,161
250021536,0,30463,ROBO DE MOTOCICLETA,1,03/01/2025,1,5,1,FRACCIONAMIENTO,CALICANTOS II,506,506,AVENIDA,ARROYO EL MOLINO,NA,NA,"615,,,",PROLONGACION,GENERAL IGNACIO ZARAGOZA,6,20,30,23,08:30 p. m.,Falso,Falso,9,ninguna,1 PERSONA,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,Falso,1,1,0,Falso,NA,HONDA,150CC,2016,BLANCO,03CPY2,3HC1CA4173GY30968,ND,AGUASCALIENTES,HONDA 150CC 2016 BLANCO,0,MOTO,Falso,PARADO,Falso,Falso,CI/AGS/00244/01-25,Falso,,,,01/01/1900,0,0,-102.30711,21.9336741,0,,7
250026659,0,30463,ROBO DE MOTOCICLETA,1,04/01/2025,1,6,1,FRACCIONAMIENTO,INFONAVIT MORELOS,93,93,AVENIDA,AGUASCALIENTES SUR,NA,NA,",,,",CALLE,LOLTUN,5,0,0,23,19:00-20:00,Falso,Falso,9,ninguna,"1 HOMBRE,VISTE SUDADERA CON CAPUCHA PUESTA",BRYAN,H,H,8,0,N,N,0,0,Falso,0,N,N,Falso,"1,23",1,3726,Falso,NA,ITALIKA,150CC,2020,NEGRO CON VERDE,18CHS3,3SCPZWE2K1022662,ND,AGUASCALIENTES,ITALIKA 150CC 2020 NEGRO CON VERDE,0,MOTO,Falso,PARADO,Falso,Falso,CI/AGS/00312/01-25,Falso,,,,01/01/1900,0,0,-102.25709,21.8594765,0,,8
250027896,0,30463,ROBO DE MOTOCICLETA,1,04/01/2025,1,6,5,FRACCIONAMIENTO,PASEOS DE AGUASCALIENTES,930,930,CALLE,PASEOS DE FRUTILANDIA,NA,NA,"109,,,",AVENIDA,PASEOS DE AGUASCALIENTES,7,0,0,23,18:30-19:00,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,Falso,1,1,0,Falso,NA,ITALIKA,DM250,2021,AZUL CIELO,78AJR7,LZSK4FKK9MF125112,ND,AGUASCALIENTES,ITALIKA DM250 2021 AZUL CIELO,0,MOTO,Falso,PARADO,Falso,Falso,ND,Falso,,,,01/01/1900,0,0,-102.29155,21.9677683,0,,9
250032160,0,30463,ROBO DE MOTOCICLETA,1,05/01/2025,1,7,1,FRACCIONAMIENTO,PASEOS DEL SOL,529,529,PRIVADA,SEGUNDA PRIVADA INGENIERO CARLOS ENRIQUE AGUILERA VILLEGAS,NA,NA,"215,,,",CALLE,ARQUITECTO CARLOS ENRIQUE AGUILERA VILLEGAS,4,0,0,5,00:00-05:59,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,Falso,1,1,0,Falso,NA,ITALIKA,125CC,2019,BLANCO,A9NR6,3SCPBTDE6K1010223,ND,AGUASCALIENTES,ITALIKA 125CC 2019 BLANCO,0,MOTO,Falso,PARADO,Falso,Falso,CI/AGS/00340/01-25,Falso,,,,01/01/1900,0,0,-102.23676,21.8993369,0,,10
