FOLIO,FOLIO_REL,ID_INC,INCIDENTE,MES,FECHA,NUM_SEM,DIA_SEM,MUNICIPIO,TIPO_ASEN,NOM_ASEN,ID_ASEN,ID_COL,TIPO_VIAL,NOM_VIAL,KM,EDIFICIO,NUMERO,TIPO_VIAL1,NOM_VIAL1,DESTACAMEN,HORA,MINUTOS,RANGO,HORARIO,PROCESO,VIOLENCIA,ARMA_US,ARMA,PER_SOSP,ALIAS,SEXO_AGRE,SEXO_AFEC,CAT_SOSP,DETENIDO,DET_SPM,MOT_DET,LESION_AFE,LESION_PR,TRASL_HOSP,FALLECIDOS,T_VEH_SOS,DESCRIP,HECHOS,RECUP_ART,CORP_ACUD,CIERRE_COR,DEN_CASIO,CARRETERA,TIPO_CARR,MARCA,SUBMARCA,MODELO,COLOR,PLACAS,SERIE,EDO_PLACAS,TRANSP_PUB,TIPO_VEH,TRANSPTTA,A_TRANS_PA,LLAVES_PUE,LPR,CARP_INV,CASA_VEH,ASEN_REC,COND_REC,CORP_REC,FECHA_REC,DIA_REC,MUN_REC,LONG,LAT,TEN_EXT,OID
250004315,0,30430,ROBO DE VEHICULO,1,01/01/2025,1,3,1,COMUNIDAD,LOS CAÑOS,56,56,CALLE,BENITO PALOMINO DENA,NA,NA,"101,,,",CALLE,PINO SUAREZ,2,0,0,5,00:00-05:59,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,FORD RANGER 1989 BLANCO,Falso,1,1,0,Falso,NA,FORD,RANGER,1989,BLANCO,AA9374A,1FTCR10T3KUB98930,AGUASCALIENTES,0,CAMIONETA,Falso,PARADO,Falso,Falso,ND,Falso,,,,01/01/1900,0,0,-102.46292,21.78356,,2
250018341,0,30430,ROBO DE VEHICULO,1,03/01/2025,1,5,1,FRACCIONAMIENTO,MUJERES ILUSTRES,457,457,AVENIDA,AMALIA GOMEZ ZEPEDA,NA,NA,"143,,,",CALLE,JUANA DE ARCO,5,0,0,6,03:00-09:00,Falso,Falso,9,ninguna,ND,ND,ND,M,8,0,N,N,0,0,Falso,0,N,N,NISSAN TSURU 2002 OCRE,Verdadero,"1,23",1,3717,Falso,NA,NISSAN,TSURU,2002,OCRE,AFP173B,3N1E31542K454171,AGUASCALIENTES,0,COCHE,Falso,PARADO,Falso,Falso,CI/AGS/00168/01-25,Falso,TERR. AL MALACATE,5,PE,04/01/2025,6,1,-102.24934,21.84834,,3
250021173,0,30430,ROBO DE VEHICULO,1,03/01/2025,1,5,1,COLONIA,INDUSTRIAL,240,240,CALLE,ALFREDO LEWIS,NA,NA,",,,",AVENIDA,PETROLEOS MEXICANOS,6,19,39,23,07:39 p. m.,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,VOLKSWAGEN JETTA 1997 AZUL,Verdadero,1,1,0,Falso,NA,VOLKSWAGEN,JETTA,1997,AZUL,ADH880F,VWJ2A1H8VM215684,AGUASCALIENTES,0,COCHE,Falso,PARADO,Falso,Falso,CI/AGS/00236/01-25,Falso,OLIVARES SANTANA,5,AGS,03/01/2025,5,1,-102.29287,21.89953,,4
250024495,0,30430,ROBO DE VEHICULO,1,04/01/2025,1,6,1,FRACCIONAMIENTO,LA RINCONADA,129,129,CALLE,ROBLE,NA,NA,"526,,,",CALLE,OAXACA,6,0,0,18,dia solo,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,JAC J7 2022 ROJO,Falso,1,1,0,Falso,NA,JAC,J7,2022,ROJO,AAG800E,ND,AGUASCALIENTES,0,COCHE,Falso,PARADO,Falso,Falso,ND,Falso,,,,01/01/1900,0,0,-102.29736,21.90457,,5
250026820,0,30430,ROBO DE VEHICULO,1,04/01/2025,1,6,1,FRACCIONAMIENTO,EMILIANO ZAPATA,185,185,AVENIDA,SIGLO XXI,NA,NA,",,,",AVENIDA,MARIANO HIDALGO,5,0,0,22,17:00-18:00,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,NISSAN TSURU 1998 GRIS,Verdadero,1,1,0,Falso,NA,NISSAN,TSURU,1998,GRIS,AFD556F,ND,AGUASCALIENTES,0,COCHE,Falso,PARADO,Falso,Falso, CI/AGS/00304/01-25,Falso,MORELOS II,5,AGS,04/01/2025,6,1,-102.25669,21.85505,,6
250027979,0,30430,ROBO DE VEHICULO,1,04/01/2025,1,6,1,BARRIO,BARRIO SAN MARCOS,85,85,CALLE,MANUEL M PONCE,NA,NA,",,,",CALLE,EDUARDO J CORREA,1,0,0,4,19:00-22:00,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,NISSAN SENTRA 2001 TINTO,Falso,1,1,0,Falso,NA,NISSAN,SENTRA,2001,TINTO,ABU091A,ND,AGUASCALIENTES,0,COCHE,Falso,PARADO,Falso,Falso,ND,Falso,,,,01/01/1900,0,0,-102.30205,21.87938,,7
250036988,0,30430,ROBO DE VEHICULO,1,06/01/2025,2,1,1,FRACCIONAMIENTO,NATURA,371,371,CALLE,FEDERICO MENDEZ,NA,NA,"214,,,",AVENIDA,GERONIMO DE LA CUEVA,3,6,23,19,06:23 a. m.,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,FORD IKON 2004 GRIS,Verdadero,1,4,0,Falso,NA,FORD,IKON,2004,GRIS,AAP977C,3FALP05B04M111482,AGUASCALIENTES,0,COCHE,Falso,PARADO,Verdadero,Falso,ND,Falso,NATURA,5,AGS,06/01/2025,1,1,-102.25628,21.93441,,8
250043455,0,30430,ROBO DE VEHICULO,1,07/01/2025,2,2,1,FRACCIONAMIENTO,HACIENDAS DE AGUASCALIENTES,530,530,AVENIDA,HACIENDA DE OJOCALIENTE,NA,NA,"248,,,",CALLE,HACIENDA SAN ANTONIO DE LOS PEDROZZA,4,5,44,26,05:44 a. m.,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,OLDSMOBILE 1998 GRIS,Verdadero,"1,23",1,3736,Falso,NA,OLDSMOBILE,SILHOUETTE,1998,GRIS,AEY173F,1GHDX03E4WD249773,AGUASCALIENTES,0,CAMIONETA,Falso,PARADO,Falso,Falso,CI/AGS/00503/01-25,Falso,OJOCALIENTE I,5,AGS,07/01/2025,2,1,-102.24588,21.88924,,9
250053248,0,30430,ROBO DE VEHICULO,1,09/01/2025,2,4,1,FRACCIONAMIENTO,"VILLA DE NUESTRA SEÑORA DE LA ASUNCION, SECTOR ESTACION",354,354,CALLE,MANUEL ZAVALA MADRIGAL,NA,NA,"123,,,",AVENIDA,VALLE DE LOS ROMEROS,3,6,53,19,06:53 a. m.,Falso,Falso,9,ninguna,ND,ND,ND,H,8,0,N,N,0,0,Falso,0,N,N,CHEVROLET AVEO 2013 PLATA,Verdadero,1,1,0,Falso,NA,CHEVROLET,AVEO,2013,PLATA,ZGF896E,3G1TA5AFZDL156462,ZACATECAS,0,COCHE,Falso,PARADO,Verdadero,Falso,ND,Falso,VNSA ESTACION,5,AGS,09/01/2025,4,1,-102.26308,21.93697,,12
250232389,0,30430,ROBO DE VEHICULO,2,06/02/2025,6,4,1,FRACCIONAMIENTO,CASASOLIDA,168,168,CALLE,CERRO DE LAS CAMPANAS,NA,NA,"128,,,",CALLE,MONTE ALTO,2,0,0,16,20:00-07:00,Falso,Falso,9,ninguna,ND,ND,ND,M,8,0,N,N,0,0,Falso,0,N,N,NISSAN TSURU 2008 BLANCO,Falso,"1,23",1,3838,Falso,NA,NISSAN,TSURU,2008,BLANCO,AAA064A,3N1EB31S08K302932,AGUASCALIENTES,0,COCHE,Falso,PARADO,Falso,Falso,CI/AGS/03250/02-25,Falso,,,,01/01/1900,0,0,-102.29796,21.83283,,70
